category,source,target,tgt_lng
01_character,아스나(바니걸),明日奈（邦妮）,zh-CN
01_character,อาสึนะ (บันนี่เกิร์ล),明日奈（邦妮）,zh-CN
01_character,ナツ,夏,zh-CN
01_character,Natsu,夏,zh-CN
01_character,나츠,夏,zh-CN
01_character,นัตสึ,夏,zh-CN
01_character,チナツ（温泉）,千夏（温泉）,zh-CN
01_character,千夏(溫泉),千夏（温泉）,zh-CN
01_character,Chinatsu (Hot Spring),千夏（温泉）,zh-CN
01_character,치나츠(온천),千夏（温泉）,zh-CN
01_character,ชินัตสึ (ออนเซ็น),千夏（温泉）,zh-CN
01_character,アル（正月）,爱露（新年）,zh-CN
01_character,亞瑠(正月),爱露（新年）,zh-CN
01_character,Aru (New Year),爱露（新年）,zh-CN
01_character,아루(새해),爱露（新年）,zh-CN
01_character,อารุ (ปีใหม่),爱露（新年）,zh-CN
01_character,ムツキ（正月）,睦月（新年）,zh-CN
01_character,無月(正月),睦月（新年）,zh-CN
01_character,Mutsuki (New Year),睦月（新年）,zh-CN
01_character,무츠키(새해),睦月（新年）,zh-CN
01_character,มุสึกิ (ปีใหม่),睦月（新年）,zh-CN
01_character,ワカモ,若藻,zh-CN
01_character,Wakamo,若藻,zh-CN
01_character,와카모,若藻,zh-CN
01_character,วาคาโมะ,若藻,zh-CN
01_character,ミモリ,三森,zh-CN
01_character,Mimori,三森,zh-CN
01_character,미모리,三森,zh-CN
01_character,มิโมริ,三森,zh-CN
01_character,ウイ,忧,zh-CN
01_character,憂,忧,zh-CN
01_character,Ui,忧,zh-CN
01_character,우이,忧,zh-CN
01_character,อุย,忧,zh-CN
01_character,ヒナタ,日向,zh-CN
01_character,Hinata,日向,zh-CN
01_character,히나타,日向,zh-CN
01_character,ฮินาตะ,日向,zh-CN
01_character,マリナ,真里奈,zh-CN
01_character,瑪麗娜,真里奈,zh-CN
01_character,Marina,真里奈,zh-CN
01_character,마리나,真里奈,zh-CN
01_character,มารินะ,真里奈,zh-CN
01_character,ミヤコ,宫子,zh-CN
01_character,都子,宫子,zh-CN
01_character,Miyako,宫子,zh-CN
01_character,미야코,宫子,zh-CN
01_character,มิยาโกะ,宫子,zh-CN
01_character,ミユ,美游,zh-CN
01_character,美優,美游,zh-CN
01_character,Miyu,美游,zh-CN
01_character,미유,美游,zh-CN
01_character,มิยุ,美游,zh-CN
01_character,ツクヨ,月咏,zh-CN
01_character,月夜,月咏,zh-CN
01_character,Tsukuyo,月咏,zh-CN
01_character,츠쿠요,月咏,zh-CN
01_character,สึคุโยะ,月咏,zh-CN
01_character,ミサキ,美咲,zh-CN
01_character,Misaki,美咲,zh-CN
01_character,미사키,美咲,zh-CN
01_character,มิซากิ,美咲,zh-CN
01_character,アツコ,亚津子,zh-CN
01_character,敦子,亚津子,zh-CN
01_character,Atsuko,亚津子,zh-CN
01_character,아츠코,亚津子,zh-CN
01_character,อาสึโกะ,亚津子,zh-CN
01_character,ワカモ（水着）,若藻（泳装）,zh-CN
01_character,若藻(泳裝),若藻（泳装）,zh-CN
01_character,Wakamo (Swimsuit),若藻（泳装）,zh-CN
01_character,와카모(수영복),若藻（泳装）,zh-CN
01_character,วาคาโมะ (ชุดว่ายน้ำ),若藻（泳装）,zh-CN
01_character,ノノミ（水着）,野宫（泳装）,zh-CN
01_character,野乃美(泳裝),野宫（泳装）,zh-CN
01_character,Nonomi (Swimsuit),野宫（泳装）,zh-CN
01_character,노노미(수영복),野宫（泳装）,zh-CN
01_character,โนโนมิ (ชุดว่ายน้ำ),野宫（泳装）,zh-CN
01_character,ホシノ（水着）,星野（泳装）,zh-CN
01_character,星野(泳裝),星野（泳装）,zh-CN
01_character,Hoshino (Swimsuit),星野（泳装）,zh-CN
01_character,호시노(수영복),星野（泳装）,zh-CN
01_character,โฮชิโนะ (ชุดว่ายน้ำ),星野（泳装）,zh-CN
01_character,イズナ（水着）,泉奈（泳装）,zh-CN
01_character,伊樹菜(泳裝),泉奈（泳装）,zh-CN
01_character,Izuna (Swimsuit),泉奈（泳装）,zh-CN
01_character,이즈나(수영복),泉奈（泳装）,zh-CN
01_character,อิซุนะ (ชุดว่ายน้ำ),泉奈（泳装）,zh-CN
01_character,チセ（水着）,千世（泳装）,zh-CN
01_character,知世(泳裝),千世（泳装）,zh-CN
01_character,Chise (Swimsuit),千世（泳装）,zh-CN
01_character,치세(수영복),千世（泳装）,zh-CN
01_character,ชิเซะ (ชุดว่ายน้ำ),千世（泳装）,zh-CN
01_character,サオリ,纱织,zh-CN
01_character,沙織,纱织,zh-CN
01_character,Saori,纱织,zh-CN
01_character,사오리,纱织,zh-CN
01_character,ซาโอริ,纱织,zh-CN
01_character,カズサ,和纱,zh-CN
01_character,千紗,和纱,zh-CN
01_character,Kazusa,和纱,zh-CN
01_character,카즈사,和纱,zh-CN
01_character,คาซึสะ,和纱,zh-CN
01_character,ココナ,心奈,zh-CN
01_character,心菜,心奈,zh-CN
01_character,Kokona,心奈,zh-CN
01_character,코코나,心奈,zh-CN
01_character,โคโคน่า,心奈,zh-CN
01_character,ウタハ（応援団）,歌原（应援团）,zh-CN
01_character,詠葉(應援團),歌原（应援团）,zh-CN
01_character,Utaha (Cheer Squad),歌原（应援团）,zh-CN
01_character,우타하(응원단),歌原（应援团）,zh-CN
01_character,อุทาฮะ (ชุดเชียร์),歌原（应援团）,zh-CN
01_character,ノア,诺亚,zh-CN
01_character,乃愛,诺亚,zh-CN
01_character,Noa,诺亚,zh-CN
01_character,노아,诺亚,zh-CN
01_character,โนอา,诺亚,zh-CN
01_character,ユウカ（体操服）,优香（体操服）,zh-CN
01_character,優香(體育服),优香（体操服）,zh-CN
01_character,Yuuka (Track),优香（体操服）,zh-CN
01_character,유우카(체육복),优香（体操服）,zh-CN
01_character,ยูกะ (ชุดพละ),优香（体操服）,zh-CN
01_character,マリー（体操服）,玛丽（体操服）,zh-CN
01_character,瑪麗(體育服),玛丽（体操服）,zh-CN
01_character,Mari (Track),玛丽（体操服）,zh-CN
01_character,마리(체육복),玛丽（体操服）,zh-CN
01_character,มารี (ชุดพละ),玛丽（体操服）,zh-CN
01_character,シグレ,时雨,zh-CN
01_character,時雨,时雨,zh-CN
01_character,Shigure,时雨,zh-CN
01_character,시구레,时雨,zh-CN
01_character,ชิกุเระ,时雨,zh-CN
01_character,セリナ（クリスマス）,芹娜（圣诞）,zh-CN
01_character,芹奈(聖誕節),芹娜（圣诞）,zh-CN
01_character,Serina (Christmas),芹娜（圣诞）,zh-CN
01_character,세리나(크리스마스),芹娜（圣诞）,zh-CN
01_character,เซรินะ (คริสต์มาส),芹娜（圣诞）,zh-CN
01_character,ハルナ（正月）,晴奈（新年）,zh-CN
01_character,羽留奈(正月),晴奈（新年）,zh-CN
01_character,Haruna (New Year),晴奈（新年）,zh-CN
01_character,하루나(새해),晴奈（新年）,zh-CN
01_character,ฮารุนะ (ปีใหม่),晴奈（新年）,zh-CN
01_character,ミネ,美祢,zh-CN
01_character,美禰,美祢,zh-CN
01_character,Mine,美祢,zh-CN
01_character,미네,美祢,zh-CN
01_character,มิเนะ,美祢,zh-CN
01_character,ミカ,未花,zh-CN
01_character,彌香,未花,zh-CN
01_character,Mika,未花,zh-CN
01_character,미카,未花,zh-CN
01_character,มิกะ,未花,zh-CN
01_character,メグ,惠,zh-CN
01_character,Megu,惠,zh-CN
01_character,메구,惠,zh-CN
01_character,เมกุ,惠,zh-CN
01_character,サクラコ,樱子,zh-CN
01_character,櫻子,樱子,zh-CN
01_character,Sakurako,樱子,zh-CN
01_character,사쿠라코,樱子,zh-CN
01_character,ซากุระโกะ,樱子,zh-CN
01_character,トキ,时,zh-CN
01_character,季,时,zh-CN
01_character,Toki,时,zh-CN
01_character,토키,时,zh-CN
01_character,โทคิ,时,zh-CN
01_character,コユキ,小雪,zh-CN
01_character,Koyuki,小雪,zh-CN
01_character,코유키,小雪,zh-CN
01_character,โคยูกิ,小雪,zh-CN
01_character,カヨコ（正月）,佳代子（新年）,zh-CN
01_character,佳世子(正月),佳代子（新年）,zh-CN
01_character,Kayoko (New Year),佳代子（新年）,zh-CN
01_character,카요코(새해),佳代子（新年）,zh-CN
01_character,คาโยโกะ (ปีใหม่),佳代子（新年）,zh-CN
01_character,カホ,果穗,zh-CN
01_character,佳穗,果穗,zh-CN
01_character,Kaho,果穗,zh-CN
01_character,카호,果穗,zh-CN
01_character,คาโฮะ,果穗,zh-CN
01_character,アリス（メイド）,爱丽丝（女仆）,zh-CN
01_character,愛麗絲(女僕),爱丽丝（女仆）,zh-CN
01_character,Aris (Maid),爱丽丝（女仆）,zh-CN
01_character,아리스(메이드),爱丽丝（女仆）,zh-CN
01_character,อาริสึ (ชุดเมด),爱丽丝（女仆）,zh-CN
01_character,トキ（バニーガール）,时（兔女郎）,zh-CN
01_character,季(兔女郎),时（兔女郎）,zh-CN
01_character,Toki (Bunny),时（兔女郎）,zh-CN
01_character,토키(바니걸),时（兔女郎）,zh-CN
01_character,โทคิ (บันนี่เกิร์ล),时（兔女郎）,zh-CN
01_character,レイサ,玲纱,zh-CN
01_character,澪紗,玲纱,zh-CN
01_character,Reisa,玲纱,zh-CN
01_character,레이사,玲纱,zh-CN
01_character,เรอิสะ,玲纱,zh-CN
01_character,ルミ,流美,zh-CN
01_character,瑠美,流美,zh-CN
01_character,Rumi,流美,zh-CN
01_character,루미,流美,zh-CN
01_character,รูมิ,流美,zh-CN
01_character,ミナ,弥奈,zh-CN
01_character,美奈,弥奈,zh-CN
01_character,Mina,弥奈,zh-CN
01_character,미나,弥奈,zh-CN
01_character,มินะ,弥奈,zh-CN
01_character,ミヤコ（水着）,宫子（泳装）,zh-CN
01_character,都子(泳裝),宫子（泳装）,zh-CN
01_character,Miyako (Swimsuit),宫子（泳装）,zh-CN
01_character,미야코(수영복),宫子（泳装）,zh-CN
01_character,มิยาโกะ (ชุดว่ายน้ำ),宫子（泳装）,zh-CN
01_character,サキ（水着）,咲（泳装）,zh-CN
01_character,咲希(泳裝),咲（泳装）,zh-CN
01_character,Saki (Swimsuit),咲（泳装）,zh-CN
01_character,사키(수영복),咲（泳装）,zh-CN
01_character,ซากิ (ชุดว่ายน้ำ),咲（泳装）,zh-CN
01_character,ウイ（水着）,忧（泳装）,zh-CN
01_character,憂(泳裝),忧（泳装）,zh-CN
01_character,Ui (Swimsuit),忧（泳装）,zh-CN
01_character,우이(수영복),忧（泳装）,zh-CN
01_character,อุย (ชุดว่ายน้ำ),忧（泳装）,zh-CN
01_character,ハナコ（水着）,花子（泳装）,zh-CN
01_character,花子(泳裝),花子（泳装）,zh-CN
01_character,Hanako (Swimsuit),花子（泳装）,zh-CN
01_character,하나코(수영복),花子（泳装）,zh-CN
01_character,ฮานาโกะ (ชุดว่ายน้ำ),花子（泳装）,zh-CN
01_character,メル,芽留,zh-CN
01_character,愛瑠,芽留,zh-CN
01_character,Meru,芽留,zh-CN
01_character,메루,芽留,zh-CN
01_character,เมรุ,芽留,zh-CN
01_character,コトリ（応援団）,琴里(应援团),zh-CN
01_character,亞都梨(應援團),琴里(应援团),zh-CN
01_character,Kotori (Cheer Squad),琴里(应援团),zh-CN
01_character,코토리(응원단),琴里(应援团),zh-CN
01_character,โคโทริ (ชุดเชียร์),琴里(应援团),zh-CN
01_character,イチカ,一花,zh-CN
01_character,Ichika,一花,zh-CN
01_character,이치카,一花,zh-CN
01_character,อิจิกะ,一花,zh-CN
01_character,カスミ,霞,zh-CN
01_character,佳澄,霞,zh-CN
01_character,Kasumi,霞,zh-CN
01_character,카스미,霞,zh-CN
01_character,คาสุมิ,霞,zh-CN
01_character,Misaka Mikoto,御坂美琴,zh-CN
01_character,미사카 미코토,御坂美琴,zh-CN
01_character,มิซากะ มิโคโตะ,御坂美琴,zh-CN
01_character,Shokuhou Misaki,食蜂操祈,zh-CN
01_character,쇼쿠호 미사키,食蜂操祈,zh-CN
01_character,โชคุโฮว มิซากิ,食蜂操祈,zh-CN
01_character,ユカリ,紫草,zh-CN
01_character,紫,紫草,zh-CN
01_character,Yukari,紫草,zh-CN
01_character,유카리,紫草,zh-CN
01_character,ยูคาริ,紫草,zh-CN
01_character,レンゲ,莲华,zh-CN
01_character,蓮華,莲华,zh-CN
01_character,Renge,莲华,zh-CN
01_character,렌게,莲华,zh-CN
01_character,เรนเกะ,莲华,zh-CN
01_character,キキョウ,桔梗,zh-CN
01_character,Kikyou,桔梗,zh-CN
01_character,키쿄,桔梗,zh-CN
01_character,คิเคียว,桔梗,zh-CN
01_character,コタマ（キャンプ）,小玉（露营）,zh-CN
01_character,小玉(露營),小玉（露营）,zh-CN
01_character,Kotama (Camp),小玉（露营）,zh-CN
01_character,코타마(캠핑),小玉（露营）,zh-CN
01_character,โคทามะ (แคมป์),小玉（露营）,zh-CN
01_character,ハレ（キャンプ）,晴（露营）,zh-CN
01_character,晴(露營),晴（露营）,zh-CN
01_character,Hare (Camp),晴（露营）,zh-CN
01_character,하레(캠핑),晴（露营）,zh-CN
01_character,ฮาเระ (แคมป์),晴（露营）,zh-CN
01_character,ヒナ（ドレス）,日奈（礼服）,zh-CN
01_character,陽奈(禮服),日奈（礼服）,zh-CN
01_character,Hina (Dress),日奈（礼服）,zh-CN
01_character,히나(드레스),日奈（礼服）,zh-CN
01_character,ฮินะ (เดรส),日奈（礼服）,zh-CN
01_character,アコ（ドレス）,亚子（礼服）,zh-CN
01_character,亞子(禮服),亚子（礼服）,zh-CN
01_character,Ako (Dress),亚子（礼服）,zh-CN
01_character,아코(드레스),亚子（礼服）,zh-CN
01_character,อาโกะ (เดรส),亚子（礼服）,zh-CN
01_character,カヨコ（ドレス）,佳代子（礼服）,zh-CN
01_character,佳世子(禮服),佳代子（礼服）,zh-CN
01_character,Kayoko (Dress),佳代子（礼服）,zh-CN
01_character,카요코(드레스),佳代子（礼服）,zh-CN
01_character,คาโยโกะ (เดรส),佳代子（礼服）,zh-CN
01_character,アル（ドレス）,阿露（礼服）,zh-CN
01_character,亞瑠(禮服),阿露（礼服）,zh-CN
01_character,Aru (Dress),阿露（礼服）,zh-CN
01_character,아루(드레스),阿露（礼服）,zh-CN
01_character,อารุ (เดรส),阿露（礼服）,zh-CN
01_character,ウミカ,海香,zh-CN
01_character,海花,海香,zh-CN
01_character,Umika,海香,zh-CN
01_character,우미카,海香,zh-CN
01_character,อุมิกะ,海香,zh-CN
01_character,カズサ（バンド）,和纱（乐队）,zh-CN
01_character,千紗(樂團),和纱（乐队）,zh-CN
01_character,Kazusa (Band),和纱（乐队）,zh-CN
01_character,카즈사(밴드),和纱（乐队）,zh-CN
01_character,คาซึสะ (วงดนตรี),和纱（乐队）,zh-CN
01_character,ヨシミ（バンド）,好美（乐队）,zh-CN
01_character,喜美(樂團),好美（乐队）,zh-CN
01_character,Yoshimi (Band),好美（乐队）,zh-CN
01_character,요시미(밴드),好美（乐队）,zh-CN
01_character,โยชิมิ (วงดนตรี),好美（乐队）,zh-CN
01_character,キララ,绮罗罗,zh-CN
01_character,綺羅羅,绮罗罗,zh-CN
01_character,Kirara,绮罗罗,zh-CN
01_character,키라라,绮罗罗,zh-CN
01_character,คิราระ,绮罗罗,zh-CN
01_character,モモイ（メイド）,桃井（女仆）,zh-CN
01_character,桃井(女僕),桃井（女仆）,zh-CN
01_character,Momoi (Maid),桃井（女仆）,zh-CN
01_character,모모이(메이드),桃井（女仆）,zh-CN
01_character,โมโมอิ (ชุดเมด),桃井（女仆）,zh-CN
01_character,ミドリ（メイド）,绿（女仆）,zh-CN
01_character,綠(女僕),绿（女仆）,zh-CN
01_character,Midori (Maid),绿（女仆）,zh-CN
01_character,미도리(메이드),绿（女仆）,zh-CN
01_character,มิโดริ (ชุดเมด),绿（女仆）,zh-CN
01_character,カンナ（水着）,环奈（泳装）,zh-CN
01_character,環奈(泳裝),环奈（泳装）,zh-CN
01_character,Kanna (Swimsuit),环奈（泳装）,zh-CN
01_character,칸나(수영복),环奈（泳装）,zh-CN
01_character,คันนะ (ชุดว่ายน้ำ),环奈（泳装）,zh-CN
01_character,モエ（水着）,萌绘（泳装）,zh-CN
01_character,萌(泳裝),萌绘（泳装）,zh-CN
01_character,Moe (Swimsuit),萌绘（泳装）,zh-CN
01_character,모에(수영복),萌绘（泳装）,zh-CN
01_character,โมเอะ (ชุดว่ายน้ำ),萌绘（泳装）,zh-CN
01_character,ホシノ（臨戦）,星野（临战）,zh-CN
01_character,星野（臨戰）,星野（临战）,zh-CN
01_character,Hoshino (Armed),星野（临战）,zh-CN
01_character,호시노(무장),星野（临战）,zh-CN
01_character,โฮชิโนะ (คอมแบต),星野（临战）,zh-CN
01_character,シロコ＊テラー,白子＊恐怖,zh-CN
01_character,Shiroko Terror,白子＊恐怖,zh-CN
01_character,시로코*테러,白子＊恐怖,zh-CN
01_character,ชิโรโกะ (เทอเรอร์),白子＊恐怖,zh-CN
01_character,サオリ（水着）,纱织（泳装）,zh-CN
01_character,沙織（泳裝）,纱织（泳装）,zh-CN
01_character,Saori (Swimsuit),纱织（泳装）,zh-CN
01_character,사오리(수영복),纱织（泳装）,zh-CN
01_character,ซาโอริ (ชุดว่ายน้ำ),纱织（泳装）,zh-CN
01_character,ヒヨリ（水着）,日和（泳装）,zh-CN
01_character,日和（泳裝）,日和（泳装）,zh-CN
01_character,Hiyori (Swimsuit),日和（泳装）,zh-CN
01_character,히요리(수영복),日和（泳装）,zh-CN
01_character,ฮิโยริ (ชุดว่ายน้ำ),日和（泳装）,zh-CN
01_character,マリナ（チーパオ）,玛利娜（旗袍）,zh-CN
01_character,瑪麗娜（旗袍）,玛利娜（旗袍）,zh-CN
01_character,Marina (Qipao),玛利娜（旗袍）,zh-CN
01_character,마리나(치파오),玛利娜（旗袍）,zh-CN
01_character,มารินะ (กี่เผ้า),玛利娜（旗袍）,zh-CN
01_character,レイジョ,丽情,zh-CN
01_character,令女,丽情,zh-CN
01_character,Reijo,丽情,zh-CN
01_character,레이죠,丽情,zh-CN
01_character,เรย์โจ,丽情,zh-CN
01_character,マリー（アイドル）,玛丽（偶像）,zh-CN
01_character,瑪麗（偶像）,玛丽（偶像）,zh-CN
01_character,Mari (Idol),玛丽（偶像）,zh-CN
01_character,마리(아이돌),玛丽（偶像）,zh-CN
01_character,มารี (ไอดอล),玛丽（偶像）,zh-CN
01_character,サクラコ（アイドル）,樱子（偶像）,zh-CN
01_character,櫻子（偶像）,樱子（偶像）,zh-CN
01_character,Sakurako (Idol),樱子（偶像）,zh-CN
01_character,사쿠라코(아이돌),樱子（偶像）,zh-CN
01_character,ซากุระโกะ (ไอดอล),樱子（偶像）,zh-CN
01_character,チアキ,千秋,zh-CN
01_character,Chiaki,千秋,zh-CN
01_character,치아키,千秋,zh-CN
01_character,จิอากิ,千秋,zh-CN
01_character,ユウカ（パジャマ）,优香（睡衣）,zh-CN
01_character,優香（睡衣）,优香（睡衣）,zh-CN
01_character,Yuuka (Pajamas),优香（睡衣）,zh-CN
01_character,유우카(파자마),优香（睡衣）,zh-CN
01_character,ยูกะ (ชุดนอน),优香（睡衣）,zh-CN
01_character,ノア（パジャマ）,诺亚（睡衣）,zh-CN
01_character,乃愛（睡衣）,诺亚（睡衣）,zh-CN
01_character,Noa (Pajamas),诺亚（睡衣）,zh-CN
01_character,노아(파자마),诺亚（睡衣）,zh-CN
01_character,โนอา (ชุดนอน),诺亚（睡衣）,zh-CN
01_character,アカネ,茜,zh-CN
01_character,朱音,茜,zh-CN
01_character,Akane,茜,zh-CN
01_character,아카네,茜,zh-CN
01_character,อาคาเนะ,茜,zh-CN
01_character,チセ,千世,zh-CN
01_character,知世,千世,zh-CN
01_character,Chise,千世,zh-CN
01_character,치세,千世,zh-CN
01_character,ชิเซะ,千世,zh-CN
01_character,アカリ,明里,zh-CN
01_character,亞伽里,明里,zh-CN
01_character,Akari,明里,zh-CN
01_character,아카리,明里,zh-CN
01_character,อาคาริ,明里,zh-CN
01_character,ハスミ,莲见,zh-CN
01_character,蓮實,莲见,zh-CN
01_character,Hasumi,莲见,zh-CN
01_character,하스미,莲见,zh-CN
01_character,ฮาสุมิ,莲见,zh-CN
01_character,ノノミ,野宫,zh-CN
01_character,野乃美,野宫,zh-CN
01_character,Nonomi,野宫,zh-CN
01_character,노노미,野宫,zh-CN
01_character,โนโนมิ,野宫,zh-CN
01_character,カヨコ,佳代子,zh-CN
01_character,佳世子,佳代子,zh-CN
01_character,Kayoko,佳代子,zh-CN
01_character,카요코,佳代子,zh-CN
01_character,คาโยโกะ,佳代子,zh-CN
01_character,ムツキ,睦月,zh-CN
01_character,無月,睦月,zh-CN
01_character,Mutsuki,睦月,zh-CN
01_character,무츠키,睦月,zh-CN
01_character,มุสึกิ,睦月,zh-CN
01_character,ジュンコ,纯子,zh-CN
01_character,淳子,纯子,zh-CN
01_character,Junko,纯子,zh-CN
01_character,준코,纯子,zh-CN
01_character,จุนโกะ,纯子,zh-CN
01_character,セリカ,芹香,zh-CN
01_character,茜香,芹香,zh-CN
01_character,Serika,芹香,zh-CN
01_character,세리카,芹香,zh-CN
01_character,เซริกะ,芹香,zh-CN
01_character,ツバキ,椿,zh-CN
01_character,Tsubaki,椿,zh-CN
01_character,츠바키,椿,zh-CN
01_character,สึบากิ,椿,zh-CN
01_character,ユウカ,优香,zh-CN
01_character,優香,优香,zh-CN
01_character,Yuuka,优香,zh-CN
01_character,유우카,优香,zh-CN
01_character,ยูกะ,优香,zh-CN
01_character,モモイ,桃,zh-CN
01_character,桃井,桃,zh-CN
01_character,Momoi,桃,zh-CN
01_character,모모이,桃,zh-CN
01_character,โมโมอิ,桃,zh-CN
01_character,キリノ,桐乃,zh-CN
01_character,Kirino,桐乃,zh-CN
01_character,키리노,桐乃,zh-CN
