ship_id,zh_CN,en,ja,zh_TW,ko,english_name,ship_type_zh,ship_type_en,nation_zh,nation_en,variant
102191,小海伦娜,Lena,リトル・ヘレナ,小海倫娜,꼬마 헬레나,USS Helena,轻巡,Light Cruiser,白鹰,Eagle Union,
102201,小克利夫兰,Clevelad,リトル・クリーブランド,小克里夫蘭,꼬마 클리블랜드,USS Cleveland,轻巡,Light Cruiser,白鹰,Eagle Union,
102211,小圣地亚哥,Li'l Sandy,リトル・サンディエゴ,小聖地牙哥,꼬마 샌디에이고,USS San Diego,轻巡,Light Cruiser,白鹰,Eagle Union,
102221,圣胡安,San Juan,サンフアン,聖胡安,산후안,USS San Juan,轻巡,Light Cruiser,白鹰,Eagle Union,
102231,伯明翰,Birmingham,バーミンガム,伯明罕,버밍햄,USS Birmingham,轻巡,Light Cruiser,白鹰,Eagle Union,
102241,克利夫兰(μ兵装),Cleveland μ,クリーブランド(μ兵装),克里夫蘭(μ兵裝),클리블랜드(μ장비),USS Cleveland,轻巡,Light Cruiser,白鹰,Eagle Union,μ兵装
102251,比洛克西,Biloxi,ビロクシ,比洛克西,빌럭시,USS Biloxi,轻巡,Light Cruiser,白鹰,Eagle Union,
102261,里诺,Reno,リノ,雷諾,리노,USS Reno,轻巡,Light Cruiser,白鹰,Eagle Union,
102271,马布尔黑德,Marblehead,マーブルヘッド,馬布爾黑德,마블헤드,USS Marblehead,轻巡,Light Cruiser,白鹰,Eagle Union,
102291,博伊西,Boise,ボイシ,波夕,보이시,USS Boise,轻巡,Light Cruiser,白鹰,Eagle Union,
102311,休斯敦II,Houston II,ヒューストンⅡ,休士頓II,휴스턴Ⅱ,USS Houston II,轻巡,Light Cruiser,白鹰,Eagle Union,II型
102321,博伊西(μ兵装),Boise μ,ボイシ(μ兵装),波夕(μ兵裝),보이시(μ장비),USS Boise,轻巡,Light Cruiser,白鹰,Eagle Union,μ兵装
102331,法戈,Fargo,ファーゴ,法戈,파고,USS Fargo,轻巡,Light Cruiser,白鹰,Eagle Union,
102341,圣塔菲,Santa Fe,サンタフェ,聖塔菲,산타페,USS Santa Fe,轻巡,Light Cruiser,白鹰,Eagle Union,
102351,帕萨迪纳,Pasadena,パサデナ,帕沙第納,패서디나,USS Pasadena,轻巡,Light Cruiser,白鹰,Eagle Union,
103011,彭萨科拉,Pensacola,ペンサコーラ,彭薩科拉,펜사콜라,USS Pensacola,重巡,Heavy Cruiser,白鹰,Eagle Union,
103021,盐湖城,Salt Lake City,ソルトレイクシティ,鹽湖城,솔트레이크시티,USS Salt Lake City,重巡,Heavy Cruiser,白鹰,Eagle Union,
103031,北安普敦,Northampton,ノーザンプトン,北安普敦,노샘프턴,USS Northampton,重巡,Heavy Cruiser,白鹰,Eagle Union,
103041,芝加哥,Chicago,シカゴ,芝加哥,시카고,USS Chicago,重巡,Heavy Cruiser,白鹰,Eagle Union,
103051,休斯敦,Houston,ヒューストン,休士頓,휴스턴,USS Houston,重巡,Heavy Cruiser,白鹰,Eagle Union,
103061,波特兰,Portland,ポートランド,波特蘭,포틀랜드,USS Portland,重巡,Heavy Cruiser,白鹰,Eagle Union,
103071,印第安纳波利斯,Indianapolis,インディアナポリス,印第安納波利斯,인디애나폴리스,USS Indianapolis,重巡,Heavy Cruiser,白鹰,Eagle Union,
103081,阿斯托利亚,Astoria,アストリア,阿斯托利亞,아스토리아,USS Astoria,重巡,Heavy Cruiser,白鹰,Eagle Union,
103091,昆西,Quincy,クインシー,昆西,퀸시,USS Quincy,重巡,Heavy Cruiser,白鹰,Eagle Union,
103101,文森斯,Vincennes,ヴィンセンス,文森尼斯,빈센스,USS Vincennes,重巡,Heavy Cruiser,白鹰,Eagle Union,
103111,威奇塔,Wichita,ウィチタ,威奇塔,위치타,USS Wichita,重巡,Heavy Cruiser,白鹰,Eagle Union,
103121,新奥尔良,New Orleans,ニューオリンズ,紐奧良,뉴올리언스,USS New Orleans,重巡,Heavy Cruiser,白鹰,Eagle Union,
103131,明尼阿波利斯,Minneapolis,ミネアポリス,明尼亞波利斯,미니애폴리스,USS Minneapolis,重巡,Heavy Cruiser,白鹰,Eagle Union,
103141,旧金山,San Francisco,サンフランシスコ,舊金山,샌프란시스코,USS San Francisco,重巡,Heavy Cruiser,白鹰,Eagle Union,
103161,巴尔的摩,Baltimore,ボルチモア,巴爾的摩,볼티모어,USS Baltimore,重巡,Heavy Cruiser,白鹰,Eagle Union,
103241,布莱默顿,Bremerton,ブレマートン,布雷默頓,브레머튼,USS Bremerton,重巡,Heavy Cruiser,白鹰,Eagle Union,
103251,巴尔的摩(μ兵装),Baltimore μ,ボルチモア(μ兵装),巴爾的摩(μ兵裝),볼티모어(μ장비),USS Baltimore,重巡,Heavy Cruiser,白鹰,Eagle Union,μ兵装
103261,北安普敦II,Northampton II,ノーザンプトンⅡ,北安普敦II,노샘프턴Ⅱ,USS Northampton II,重巡,Heavy Cruiser,白鹰,Eagle Union,II型
103271,路易斯维尔,Louisville,ルイビル,路易斯維爾,루이빌,USS Louisville,重巡,Heavy Cruiser,白鹰,Eagle Union,
103281,匹兹堡,Pittsburgh,ピッツバーグ,匹茲堡,피츠버그,USS Pittsburgh,重巡,Heavy Cruiser,白鹰,Eagle Union,
103291,小安克雷奇,Little Anchorage,リトル・アンカレッジ,小安克拉治,꼬마 앵커리지,USS Anchorage,重巡,Heavy Cruiser,白鹰,Eagle Union,
104011,星座,Constellation,コンステレーション,星座,컨스텔레이션,USS Constellation,战巡,Battlecruiser,白鹰,Eagle Union,
105011,内华达,Nevada,ネバダ,內華達,네바다,USS Nevada,战列,Battleship,白鹰,Eagle Union,
105021,俄克拉荷马,Oklahoma,オクラホマ,奧克拉荷馬,오클라호마,USS Oklahoma,战列,Battleship,白鹰,Eagle Union,
105031,宾夕法尼亚,Pennsylvania,ペンシルベニア,賓夕法尼亞,펜실베이니아,USS Pennsylvania,战列,Battleship,白鹰,Eagle Union,
105041,亚利桑那,Arizona,アリゾナ,亞利桑那,애리조나,USS Arizona,战列,Battleship,白鹰,Eagle Union,
105071,田纳西,Tennessee,テネシー,田納西,테네시,USS Tennessee,战列,Battleship,白鹰,Eagle Union,
105081,加利福尼亚,California,カリフォルニア,加利福尼亞,캘리포니아,USS California,战列,Battleship,白鹰,Eagle Union,
105091,科罗拉多,Colorado,コロラド,科羅拉多,콜로라도,USS Colorado,战列,Battleship,白鹰,Eagle Union,
105101,马里兰,Maryland,メリーランド,馬里蘭,메릴랜드,USS Maryland,战列,Battleship,白鹰,Eagle Union,
105111,西弗吉尼亚,West Virginia,ウェストバージニア,西維吉尼亞,웨스트버지니아,USS West Virginia,战列,Battleship,白鹰,Eagle Union,
105121,北卡罗来纳,North Carolina,ノースカロライナ,北卡羅來納,노스캐롤라이나,USS North Carolina,战列,Battleship,白鹰,Eagle Union,
105131,华盛顿,Washington,ワシントン,華盛頓,워싱턴,USS Washington,战列,Battleship,白鹰,Eagle Union,
105141,南达科他,South Dakota,サウスダコタ,南達科他,사우스다코타,USS South Dakota,战列,Battleship,白鹰,Eagle Union,
105151,印第安纳,Indiana,インディアナ,印第安納,인디애나,USS Indiana,战列,Battleship,白鹰,Eagle Union,
105171,新泽西,New Jersey,ニュージャージー,紐澤西,뉴저지,USS New Jersey,战列,Battleship,白鹰,Eagle Union,
105191,马萨诸塞,Massachusetts,マサチューセッツ,麻薩諸塞,매사추세츠,USS Massachusetts,战列,Battleship,白鹰,Eagle Union,
105201,阿拉巴马,Alabama,アラバマ,阿拉巴馬,앨라배마,USS Alabama,战列,Battleship,白鹰,Eagle Union,
106011,长岛,Long Island,ロング・アイランド,長島,롱 아일랜드,USS Long Island,轻航,Light Carrier,白鹰,Eagle Union,
106021,博格,Bogue,ボーグ,博格,보그,USS Bogue,轻航,Light Carrier,白鹰,Eagle Union,
106551,卡萨布兰卡,Casablanca,カサブランカ,卡薩布蘭卡,카사블랑카,USS Casablanca,轻航,Light Carrier,白鹰,Eagle Union,
107011,兰利,Langley,ラングレー,蘭利,랭글리,USS Langley,轻航,Light Carrier,白鹰,Eagle Union,
107021,列克星敦,Lexington,レキシントン,列星頓,렉싱턴,USS Lexington,正航,Aircraft Carrier,白鹰,Eagle Union,
107031,萨拉托加,Saratoga,サラトガ,薩拉托加,새러토가,USS Saratoga,正航,Aircraft Carrier,白鹰,Eagle Union,
107041,突击者,Ranger,レンジャー,遊騎兵,레인저,USS Ranger,轻航,Light Carrier,白鹰,Eagle Union,
107051,约克城,Yorktown,ヨークタウン,約克鎮,요크타운,USS Yorktown,正航,Aircraft Carrier,白鹰,Eagle Union,
107061,企业,Enterprise,エンタープライズ,企業,엔터프라이즈,USS Enterprise,正航,Aircraft Carrier,白鹰,Eagle Union,
107071,大黄蜂,Hornet,ホーネット,大黃蜂,호넷,USS Hornet,正航,Aircraft Carrier,白鹰,Eagle Union,
107081,胡蜂,Wasp,ワスプ,胡蜂,와스프,USS Wasp,正航,Aircraft Carrier,白鹰,Eagle Union,
107091,埃塞克斯,Essex,エセックス,艾塞克斯,에식스,USS Essex,正航,Aircraft Carrier,白鹰,Eagle Union,
107101,约克城II,Yorktown II,ヨークタウンⅡ,約克鎮II,요크타운Ⅱ,USS Yorktown II,正航,Aircraft Carrier,白鹰,Eagle Union,II型
107111,无畏,Intrepid,イントレピッド,無畏,인트레피드,USS Intrepid,正航,Aircraft Carrier,白鹰,Eagle Union,
107121,大黄蜂II,Hornet II,ホーネットⅡ,大黃蜂II,호넷Ⅱ,USS Hornet II,正航,Aircraft Carrier,白鹰,Eagle Union,II型
107131,富兰克林,Franklin,フランクリン,富蘭克林,프랭클린,USS Franklin,正航,Aircraft Carrier,白鹰,Eagle Union,
107141,提康德罗加,Ticonderoga,タイコンデロガ,提康德羅加,타이콘데로가,USS Ticonderoga,正航,Aircraft Carrier,白鹰,Eagle Union,
107161,列克星敦II,Lexington II,レキシントンⅡ,列星頓II,렉싱턴Ⅱ,USS Lexington II,正航,Aircraft Carrier,白鹰,Eagle Union,II型
107171,邦克山,Bunker Hill,バンカー・ヒル,碉堡山,벙커힐,USS Bunker Hill,正航,Aircraft Carrier,白鹰,Eagle Union,
107221,独立,Independence,インディペンデンス,獨立,인디펜던스,USS Independence,轻航,Light Carrier,白鹰,Eagle Union,
107231,普林斯顿,Princeton,プリンストン,普林斯頓,프린스턴,USS Princeton,轻航,Light Carrier,白鹰,Eagle Union,
107251,科本斯,Cowpens,カウペンス,考彭斯,카우펜스,USS Cowpens,轻航,Light Carrier,白鹰,Eagle Union,
107271,兰利II,Langley II,ラングレーⅡ,蘭利II,랭글리Ⅱ,USS Langley II,轻航,Light Carrier,白鹰,Eagle Union,II型
107291,巴丹,Bataan,バターン,巴丹,바탄,USS Bataan,轻航,Light Carrier,白鹰,Eagle Union,
107301,圣哈辛托,San Jacinto,サン・ジャシント,聖哈辛托,샌 재신토,USS San Jacinto,轻航,Light Carrier,白鹰,Eagle Union,
107381,香格里拉,Shangri-La,シャングリラ,香格里拉,샹그릴라,USS Shangri-La,正航,Aircraft Carrier,白鹰,Eagle Union,
107991,小企业,Little Enterprise,リトル・エンタープライズ,小企業,꼬마 엔터프라이즈,USS Enterprise,正航,Aircraft Carrier,白鹰,Eagle Union,
108011,鲦鱼,Dace,デイス,鰷魚,데이스,USS Dace,潜艇,Submarine,白鹰,Eagle Union,
108021,大青花鱼,Albacore,アルバコア,大青花魚,알바코어,USS Albacore,潜艇,Submarine,白鹰,Eagle Union,
108031,棘鳍,Cavalla,カヴァラ,棘鰭,카발라,USS Cavalla,潜艇,Submarine,白鹰,Eagle Union,
108041,蓝鳃鱼,Bluegill,ブルーギル,藍鰓魚,블루길,USS Bluegill,潜艇,Submarine,白鹰,Eagle Union,
108051,大青花鱼(μ兵装),Albacore μ,アルバコア(μ兵装),大青花魚(μ兵裝),알바코어(μ장비),USS Albacore,潜艇,Submarine,白鹰,Eagle Union,μ兵装
108061,射水鱼,Archerfish,アーチャーフィッシュ,射水魚,아처피시,USS Archerfish,潜艇,Submarine,白鹰,Eagle Union,
108071,鹦鹉螺,Nautilus,ノーチラス,鸚鵡螺,노틸러스,USS Nautilus,潜艇,Submarine,白鹰,Eagle Union,
108081,松鲷,Flasher,フラッシャー,松鯛,플래셔,USS Flasher,潜艇,Submarine,白鹰,Eagle Union,
108091,鲱鱼,Herring,ヘリング,鯡魚,헤링,USS Herring,潜艇,Submarine,白鹰,Eagle Union,
112011,女灶神,Vestal,ヴェスタル,女灶神,베스탈,USS Vestal,维修,Repair,白鹰,Eagle Union,
118021,关岛,Guam,グアム,關島,괌,USS Guam,超巡,Large Cruiser,白鹰,Eagle Union,
199011,西雅图,Seattle,シアトル,西雅圖,시애틀,USS Seattle,轻巡,Light Cruiser,白鹰,Eagle Union,
199021,佐治亚,Georgia,ジョージア,喬治亞,조지아,USS Georgia,战列,Battleship,白鹰,Eagle Union,
199031,安克雷奇,Anchorage,アンカレッジ,安克拉治,앵커리지,USS Anchorage,重巡,Heavy Cruiser,白鹰,Eagle Union,
199041,奇尔沙治,Kearsarge,キアサージ,奇爾沙治,키어사지,USS Kearsarge,航战,Aviation Battleship,白鹰,Eagle Union,
199051,哈尔福德,Halford,ハルフォード,哈爾福德,할포드,USS Halford,驱逐,Destroyer,白鹰,Eagle Union,
199061,堪萨斯,Kansas,カンザス,堪薩斯,캔자스,USS Kansas,战列,Battleship,白鹰,Eagle Union,
201011,女将,Amazon,アマゾン,女將,아마존,HMS Amazon,驱逐,Destroyer,皇家,Royal Navy,
201021,阿卡司塔,Acasta,アカスタ,阿卡司塔,아카스타,HMS Acasta,驱逐,Destroyer,皇家,Royal Navy,
201031,热心,Ardent,アーデント,熱心,아덴트,HMS Ardent,驱逐,Destroyer,皇家,Royal Navy,
201061,小猎兔犬,Beagle,ビーグル,小獵兔犬,비글,HMS Beagle,驱逐,Destroyer,皇家,Royal Navy,
201071,大斗犬,Bulldog,ブルドッグ,大鬥犬,불독,HMS Bulldog,驱逐,Destroyer,皇家,Royal Navy,
201081,彗星,Comet,コメット,彗星,코멧,HMS Comet,驱逐,Destroyer,皇家,Royal Navy,
201091,新月,Crescent,クレセント,新月,크레센트,HMS Crescent,驱逐,Destroyer,皇家,Royal Navy,
201101,小天鹅,Cygnet,シグニット,小天鵝,시그넷,HMS Cygnet,驱逐,Destroyer,皇家,Royal Navy,
201111,狐提,Foxhound,フォックスハウンド,狐提,폭스하운드,HMS Foxhound,驱逐,Destroyer,皇家,Royal Navy,
201121,命运女神,Fortune,フォーチュン,命運女神,포춘,HMS Fortune,驱逐,Destroyer,皇家,Royal Navy,
201131,格伦维尔,Grenville,グレンヴィル,格倫維爾,그렌빌,HMS Grenville,驱逐,Destroyer,皇家,Royal Navy,
201141,萤火虫,Glowworm,グローウォーム,螢火蟲,글로우웜,HMS Glowworm,驱逐,Destroyer,皇家,Royal Navy,
201161,勇敢,Hardy,ハーディ,勇敢,하디,HMS Hardy,驱逐,Destroyer,皇家,Royal Navy,
201201,猎人,Hunter,ハンター,獵人,헌터,HMS Hunter,驱逐,Destroyer,皇家,Royal Navy,
201211,标枪,Javelin,ジャベリン,標槍,재블린,HMS Javelin,驱逐,Destroyer,皇家,Royal Navy,
201221,天后,Juno,ジュノー,天后,주노,HMS Juno,驱逐,Destroyer,皇家,Royal Navy,
201231,吸血鬼,Vampire,ヴァンパイア,吸血鬼,뱀파이어,HMS Vampire,驱逐,Destroyer,皇家,Royal Navy,
201241,丘比特,Jupiter,ジュピター,丘比特,주피터,HMS Jupiter,驱逐,Destroyer,皇家,Royal Navy,
201251,泽西,Jersey,ジャージー,澤西,저지,HMS Jersey,驱逐,Destroyer,皇家,Royal Navy,
201261,无敌,Matchless,マッチレス,無敵,매치리스,HMS Matchless,驱逐,Destroyer,皇家,Royal Navy,
201271,火枪手,Musketeer,マスケティーア,火槍手,머스킷티어,HMS Musketeer,驱逐,Destroyer,皇家,Royal Navy,
201291,回声,Echo,エコー,回聲,에코,HMS Echo,驱逐,Destroyer,皇家,Royal Navy,
201321,爱斯基摩人,Eskimo,エスキモー,愛斯基摩,에스키모,HMS Eskimo,驱逐,Destroyer,皇家,Royal Navy,
201331,伊卡洛斯,Icarus,イカルス,伊卡洛斯,이카로스,HMS Icarus,驱逐,Destroyer,皇家,Royal Navy,
201341,贾维斯,Jervis,ジャーヴィス,傑維斯,저비스,HMS Jervis,驱逐,Destroyer,皇家,Royal Navy,
201351,雅努斯,Janus,ジェーナス,雅努斯,재너스,HMS Janus,驱逐,Destroyer,皇家,Royal Navy,
201361,英雄,Hero,ヒーロー,英雄,히어로,HMS Hero,驱逐,Destroyer,皇家,Royal Navy,
201371,努比亚人,Nubian,ヌビアン,努比亞,누비안,HMS Nubian,驱逐,Destroyer,皇家,Royal Navy,
201381,特拉法尔加,Trafalgar,トラファルガー,特拉法加,트라팔가,HMS Trafalgar,驱逐,Destroyer,皇家,Royal Navy,
201391,勇气,Gallant,ギャラント,勇氣,갤런트,HMS Gallant,驱逐,Destroyer,皇家,Royal Navy,
202011,利安得,Leander,リアンダー,利安得,리엔더,HMS Leander,轻巡,Light Cruiser,皇家,Royal Navy,
202021,阿基里斯,Achilles,アキリーズ,阿基里斯,아킬레스,HMS Achilles,轻巡,Light Cruiser,皇家,Royal Navy,
202031,阿贾克斯,Ajax,エイジャックス,阿賈克斯,에이잭스,HMS Ajax,轻巡,Light Cruiser,皇家,Royal Navy,
202041,黛朵,Dido,ダイドー,黛朵,다이도,HMS Dido,轻巡,Light Cruiser,皇家,Royal Navy,
202071,南安普顿,Southampton,サウサンプトン,南安普敦,사우스햄튼,HMS Southampton,轻巡,Light Cruiser,皇家,Royal Navy,
202081,谢菲尔德,Sheffield,シェフィールド,謝菲爾德,셰필드,HMS Sheffield,轻巡,Light Cruiser,皇家,Royal Navy,
202091,曼彻斯特,Manchester,マンチェスター,曼徹斯特,맨체스터,HMS Manchester,轻巡,Light Cruiser,皇家,Royal Navy,
202101,格罗斯特,Gloucester,グロスター,格洛斯特,글로스터,HMS Gloucester,轻巡,Light Cruiser,皇家,Royal Navy,
202111,爱丁堡,Edinburgh,エディンバラ,愛丁堡,에든버러,HMS Edinburgh,轻巡,Light Cruiser,皇家,Royal Navy,
202121,贝尔法斯特,Belfast,ベルファスト,貝爾法斯特,벨파스트,HMS Belfast,轻巡,Light Cruiser,皇家,Royal Navy,
202131,阿瑞托莎,Arethusa,アリシューザ,阿瑞托莎,아레투사,HMS Arethusa,轻巡,Light Cruiser,皇家,Royal Navy,
202141,加拉蒂亚,Galatea,ガラティア,加拉蒂亞,갈라테아,HMS Galatea,轻巡,Light Cruiser,皇家,Royal Navy,
202151,欧若拉,Aurora,オーロラ,歐若拉,오로라,HMS Aurora,轻巡,Light Cruiser,皇家,Royal Navy,
202161,斐济,Fiji,フィジー,斐濟,피지,HMS Fiji,轻巡,Light Cruiser,皇家,Royal Navy,
202171,牙买加,Jamaica,ジャマイカ,牙買加,자메이카,HMS Jamaica,轻巡,Light Cruiser,皇家,Royal Navy,
