source,target,tgt_lng,src_lng,name_code_id,kind,ship_type,ship_id,en,ja,zh_TW,wiki_note
Ariake,榎,zh-CN,en,31,ship,驱逐,301251,Ariake,有明,有明,
아리아케,榎,zh-CN,ko,31,ship,驱逐,301251,Ariake,有明,有明,
夕暮,棭,zh-CN,zh-CN,32,ship,驱逐,301261,Yuugure,夕暮,夕暮,
Yuugure,棭,zh-CN,en,32,ship,驱逐,301261,Yuugure,夕暮,夕暮,
유구레,棭,zh-CN,ko,32,ship,驱逐,301261,Yuugure,夕暮,夕暮,
睦月,松,zh-CN,zh-CN,33,ship,驱逐,301321,Mutsuki,睦月,睦月,
Mutsuki,松,zh-CN,en,33,ship,驱逐,301321,Mutsuki,睦月,睦月,
무츠키,松,zh-CN,ko,33,ship,驱逐,301321,Mutsuki,睦月,睦月,
如月,樟,zh-CN,zh-CN,34,ship,驱逐,301331,Kisaragi,如月,如月,
Kisaragi,樟,zh-CN,en,34,ship,驱逐,301331,Kisaragi,如月,如月,
키사라기,樟,zh-CN,ko,34,ship,驱逐,301331,Kisaragi,如月,如月,
夕云,茭,zh-CN,zh-CN,35,ship,,,,,,
卷云,荨,zh-CN,zh-CN,36,ship,,,,,,
夕张,狐,zh-CN,zh-CN,37,ship,轻巡,302011,Yuubari,夕張,夕張,
Yuubari,狐,zh-CN,en,37,ship,轻巡,302011,Yuubari,夕張,夕張,
夕張,狐,zh-CN,ja,37,ship,轻巡,302011,Yuubari,夕張,夕張,
夕張,狐,zh-CN,zh-TW,37,ship,轻巡,302011,Yuubari,夕張,夕張,
유바리,狐,zh-CN,ko,37,ship,轻巡,302011,Yuubari,夕張,夕張,
川内,貆,zh-CN,zh-CN,38,ship,轻巡,302121,Sendai,川内,川內,
Sendai,貆,zh-CN,en,38,ship,轻巡,302121,Sendai,川内,川內,
川內,貆,zh-CN,zh-TW,38,ship,轻巡,302121,Sendai,川内,川內,
센다이,貆,zh-CN,ko,38,ship,轻巡,302121,Sendai,川内,川內,
神通,貎,zh-CN,zh-CN,39,ship,轻巡,302131,Jintsuu,神通,神通,
Jintsuu,貎,zh-CN,en,39,ship,轻巡,302131,Jintsuu,神通,神通,
진츠,貎,zh-CN,ko,39,ship,轻巡,302131,Jintsuu,神通,神通,
那珂,豻,zh-CN,zh-CN,40,ship,轻巡,302141,Naka,那珂,那珂,
Naka,豻,zh-CN,en,40,ship,轻巡,302141,Naka,那珂,那珂,
나카,豻,zh-CN,ko,40,ship,轻巡,302141,Naka,那珂,那珂,
天龙,豺,zh-CN,zh-CN,41,ship,,,,,,
龙田,豹,zh-CN,zh-CN,42,ship,,,,,,
球磨,熊,zh-CN,zh-CN,43,ship,,,,,,
北上,狸,zh-CN,zh-CN,44,ship,,,,,,
大井,獾,zh-CN,zh-CN,45,ship,,,,,,
长良,貊,zh-CN,zh-CN,46,ship,轻巡,302041,Nagara,長良,長良,
Nagara,貊,zh-CN,en,46,ship,轻巡,302041,Nagara,長良,長良,
長良,貊,zh-CN,ja,46,ship,轻巡,302041,Nagara,長良,長良,
長良,貊,zh-CN,zh-TW,46,ship,轻巡,302041,Nagara,長良,長良,
나가라,貊,zh-CN,ko,46,ship,轻巡,302041,Nagara,長良,長良,
阿武隈,貃,zh-CN,zh-CN,47,ship,轻巡,302091,Abukuma,阿武隈,阿武隈,
Abukuma,貃,zh-CN,en,47,ship,轻巡,302091,Abukuma,阿武隈,阿武隈,
아부쿠마,貃,zh-CN,ko,47,ship,轻巡,302091,Abukuma,阿武隈,阿武隈,
五十铃,貉,zh-CN,zh-CN,48,ship,轻巡,302051,Isuzu,五十鈴,五十鈴,
Isuzu,貉,zh-CN,en,48,ship,轻巡,302051,Isuzu,五十鈴,五十鈴,
五十鈴,貉,zh-CN,ja,48,ship,轻巡,302051,Isuzu,五十鈴,五十鈴,
五十鈴,貉,zh-CN,zh-TW,48,ship,轻巡,302051,Isuzu,五十鈴,五十鈴,
이스즈,貉,zh-CN,ko,48,ship,轻巡,302051,Isuzu,五十鈴,五十鈴,
阿贺野,豼,zh-CN,zh-CN,49,ship,轻巡,302201,Agano,阿賀野,阿賀野,
Agano,豼,zh-CN,en,49,ship,轻巡,302201,Agano,阿賀野,阿賀野,
阿賀野,豼,zh-CN,ja,49,ship,轻巡,302201,Agano,阿賀野,阿賀野,
阿賀野,豼,zh-CN,zh-TW,49,ship,轻巡,302201,Agano,阿賀野,阿賀野,
아가노,豼,zh-CN,ko,49,ship,轻巡,302201,Agano,阿賀野,阿賀野,
能代,貅,zh-CN,zh-CN,50,ship,轻巡,302211,Noshiro,能代,能代,
Noshiro,貅,zh-CN,en,50,ship,轻巡,302211,Noshiro,能代,能代,
노시로,貅,zh-CN,ko,50,ship,轻巡,302211,Noshiro,能代,能代,
矢矧,貁,zh-CN,zh-CN,51,ship,,,,,,
大淀,淀,zh-CN,zh-CN,52,ship,,,,,,
古鹰,狼,zh-CN,zh-CN,53,ship,重巡,303011,Furutaka,古鷹,古鷹,
Furutaka,狼,zh-CN,en,53,ship,重巡,303011,Furutaka,古鷹,古鷹,
古鷹,狼,zh-CN,ja,53,ship,重巡,303011,Furutaka,古鷹,古鷹,
古鷹,狼,zh-CN,zh-TW,53,ship,重巡,303011,Furutaka,古鷹,古鷹,
후루타카,狼,zh-CN,ko,53,ship,重巡,303011,Furutaka,古鷹,古鷹,
加古,狌,zh-CN,zh-CN,54,ship,重巡,303021,Kako,加古,加古,
Kako,狌,zh-CN,en,54,ship,重巡,303021,Kako,加古,加古,
카코,狌,zh-CN,ko,54,ship,重巡,303021,Kako,加古,加古,
青叶,犹,zh-CN,zh-CN,55,ship,重巡,303031,Aoba,青葉,青葉,
Aoba,犹,zh-CN,en,55,ship,重巡,303031,Aoba,青葉,青葉,
青葉,犹,zh-CN,ja,55,ship,重巡,303031,Aoba,青葉,青葉,
青葉,犹,zh-CN,zh-TW,55,ship,重巡,303031,Aoba,青葉,青葉,
아오바,犹,zh-CN,ko,55,ship,重巡,303031,Aoba,青葉,青葉,
衣笠,猅,zh-CN,zh-CN,56,ship,重巡,303041,Kinugasa,衣笠,衣笠,
Kinugasa,猅,zh-CN,en,56,ship,重巡,303041,Kinugasa,衣笠,衣笠,
키누가사,猅,zh-CN,ko,56,ship,重巡,303041,Kinugasa,衣笠,衣笠,
最上,猨,zh-CN,zh-CN,57,ship,轻巡,302101,Mogami,最上,最上,wiki: 猿
Mogami,猨,zh-CN,en,57,ship,轻巡,302101,Mogami,最上,最上,wiki: 猿
모가미,猨,zh-CN,ko,57,ship,轻巡,302101,Mogami,最上,最上,wiki: 猿
三隈,狻,zh-CN,zh-CN,58,ship,轻巡,302111,Mikuma,三隈,三隈,
Mikuma,狻,zh-CN,en,58,ship,轻巡,302111,Mikuma,三隈,三隈,
미쿠마,狻,zh-CN,ko,58,ship,轻巡,302111,Mikuma,三隈,三隈,
铃谷,狺,zh-CN,zh-CN,59,ship,重巡,303171,Suzuya,鈴谷,鈴谷,
Suzuya,狺,zh-CN,en,59,ship,重巡,303171,Suzuya,鈴谷,鈴谷,
鈴谷,狺,zh-CN,ja,59,ship,重巡,303171,Suzuya,鈴谷,鈴谷,
鈴谷,狺,zh-CN,zh-TW,59,ship,重巡,303171,Suzuya,鈴谷,鈴谷,
스즈야,狺,zh-CN,ko,59,ship,重巡,303171,Suzuya,鈴谷,鈴谷,
熊野,猁,zh-CN,zh-CN,60,ship,重巡,303181,Kumano,熊野,熊野,
Kumano,猁,zh-CN,en,60,ship,重巡,303181,Kumano,熊野,熊野,
쿠마노,猁,zh-CN,ko,60,ship,重巡,303181,Kumano,熊野,熊野,
利根,猑,zh-CN,zh-CN,61,ship,战列,900013,Tone,利根,利根,
Tone,猑,zh-CN,en,61,ship,战列,900013,Tone,利根,利根,
筑摩,狘,zh-CN,zh-CN,62,ship,重巡,303061,Chikuma,筑摩,築摩,
Chikuma,狘,zh-CN,en,62,ship,重巡,303061,Chikuma,筑摩,築摩,
築摩,狘,zh-CN,zh-TW,62,ship,重巡,303061,Chikuma,筑摩,築摩,
치쿠마,狘,zh-CN,ko,62,ship,重巡,303061,Chikuma,筑摩,築摩,
妙高,獌,zh-CN,zh-CN,63,ship,重巡,303071,Myoukou,妙高,妙高,
Myoukou,獌,zh-CN,en,63,ship,重巡,303071,Myoukou,妙高,妙高,
묘코,獌,zh-CN,ko,63,ship,重巡,303071,Myoukou,妙高,妙高,
那智,狏,zh-CN,zh-CN,64,ship,重巡,303081,Nachi,那智,那智,
Nachi,狏,zh-CN,en,64,ship,重巡,303081,Nachi,那智,那智,
나치,狏,zh-CN,ko,64,ship,重巡,303081,Nachi,那智,那智,
羽黑,犰,zh-CN,zh-CN,65,ship,重巡,303101,Haguro,羽黒,羽黑,
Haguro,犰,zh-CN,en,65,ship,重巡,303101,Haguro,羽黒,羽黑,
羽黒,犰,zh-CN,ja,65,ship,重巡,303101,Haguro,羽黒,羽黑,
하구로,犰,zh-CN,ko,65,ship,重巡,303101,Haguro,羽黒,羽黑,
高雄,獒,zh-CN,zh-CN,66,ship,重巡,303111,Takao,高雄,高雄,
Takao,獒,zh-CN,en,66,ship,重巡,303111,Takao,高雄,高雄,
타카오,獒,zh-CN,ko,66,ship,重巡,303111,Takao,高雄,高雄,
爱宕,犬,zh-CN,zh-CN,67,ship,重巡,303121,Atago,愛宕,愛宕,
Atago,犬,zh-CN,en,67,ship,重巡,303121,Atago,愛宕,愛宕,
愛宕,犬,zh-CN,ja,67,ship,重巡,303121,Atago,愛宕,愛宕,
愛宕,犬,zh-CN,zh-TW,67,ship,重巡,303121,Atago,愛宕,愛宕,
아타고,犬,zh-CN,ko,67,ship,重巡,303121,Atago,愛宕,愛宕,
摩耶,犮,zh-CN,zh-CN,68,ship,重巡,303131,Maya,摩耶,摩耶,
Maya,犮,zh-CN,en,68,ship,重巡,303131,Maya,摩耶,摩耶,
마야,犮,zh-CN,ko,68,ship,重巡,303131,Maya,摩耶,摩耶,
鸟海,猋,zh-CN,zh-CN,69,ship,重巡,303141,Choukai,鳥海,鳥海,
Choukai,猋,zh-CN,en,69,ship,重巡,303141,Choukai,鳥海,鳥海,
鳥海,猋,zh-CN,ja,69,ship,重巡,303141,Choukai,鳥海,鳥海,
鳥海,猋,zh-CN,zh-TW,69,ship,重巡,303141,Choukai,鳥海,鳥海,
초카이,猋,zh-CN,ko,69,ship,重巡,303141,Choukai,鳥海,鳥海,
金刚,鲤,zh-CN,zh-CN,70,ship,战巡,304011,Kongou,金剛,金剛,
Kongou,鲤,zh-CN,en,70,ship,战巡,304011,Kongou,金剛,金剛,
金剛,鲤,zh-CN,ja,70,ship,战巡,304011,Kongou,金剛,金剛,
金剛,鲤,zh-CN,zh-TW,70,ship,战巡,304011,Kongou,金剛,金剛,
콘고,鲤,zh-CN,ko,70,ship,战巡,304011,Kongou,金剛,金剛,
比叡,鲟,zh-CN,zh-CN,71,ship,战巡,304021,Hiei,比叡,比叡,
Hiei,鲟,zh-CN,en,71,ship,战巡,304021,Hiei,比叡,比叡,
히에이,鲟,zh-CN,ko,71,ship,战巡,304021,Hiei,比叡,比叡,
榛名,鲑,zh-CN,zh-CN,72,ship,战巡,304031,Haruna,榛名,榛名,
Haruna,鲑,zh-CN,en,72,ship,战巡,304031,Haruna,榛名,榛名,
하루나,鲑,zh-CN,ko,72,ship,战巡,304031,Haruna,榛名,榛名,
雾岛,鳗,zh-CN,zh-CN,73,ship,战巡,304041,Kirishima,霧島,霧島,
Kirishima,鳗,zh-CN,en,73,ship,战巡,304041,Kirishima,霧島,霧島,
霧島,鳗,zh-CN,ja,73,ship,战巡,304041,Kirishima,霧島,霧島,
霧島,鳗,zh-CN,zh-TW,73,ship,战巡,304041,Kirishima,霧島,霧島,
키리시마,鳗,zh-CN,ko,73,ship,战巡,304041,Kirishima,霧島,霧島,
长门,鲨,zh-CN,zh-CN,74,ship,战列,305051,Nagato,長門,長門,
Nagato,鲨,zh-CN,en,74,ship,战列,305051,Nagato,長門,長門,
長門,鲨,zh-CN,ja,74,ship,战列,305051,Nagato,長門,長門,
長門,鲨,zh-CN,zh-TW,74,ship,战列,305051,Nagato,長門,長門,
나가토,鲨,zh-CN,ko,74,ship,战列,305051,Nagato,長門,長門,
陆奥,鲛,zh-CN,zh-CN,75,ship,战列,305061,Mutsu,陸奥,陸奧,
Mutsu,鲛,zh-CN,en,75,ship,战列,305061,Mutsu,陸奥,陸奧,
陸奥,鲛,zh-CN,ja,75,ship,战列,305061,Mutsu,陸奥,陸奧,
陸奧,鲛,zh-CN,zh-TW,75,ship,战列,305061,Mutsu,陸奥,陸奧,
무츠,鲛,zh-CN,ko,75,ship,战列,305061,Mutsu,陸奥,陸奧,
伊势,鳌,zh-CN,zh-CN,76,ship,战列,305031,Ise,伊勢,伊勢,
Ise,鳌,zh-CN,en,76,ship,战列,305031,Ise,伊勢,伊勢,
伊勢,鳌,zh-CN,ja,76,ship,战列,305031,Ise,伊勢,伊勢,
伊勢,鳌,zh-CN,zh-TW,76,ship,战列,305031,Ise,伊勢,伊勢,
이세,鳌,zh-CN,ko,76,ship,战列,305031,Ise,伊勢,伊勢,
日向,螯,zh-CN,zh-CN,77,ship,战列,305041,Hyuuga,日向,日向,
Hyuuga,螯,zh-CN,en,77,ship,战列,305041,Hyuuga,日向,日向,
휴가,螯,zh-CN,ko,77,ship,战列,305041,Hyuuga,日向,日向,
扶桑,魟,zh-CN,zh-CN,78,ship,战列,305011,Fusou,扶桑,扶桑,wiki: 𫚉
Fusou,魟,zh-CN,en,78,ship,战列,305011,Fusou,扶桑,扶桑,wiki: 𫚉
후소,魟,zh-CN,ko,78,ship,战列,305011,Fusou,扶桑,扶桑,wiki: 𫚉
山城,鲼,zh-CN,zh-CN,79,ship,战列,305021,Yamashiro,山城,山城,
Yamashiro,鲼,zh-CN,en,79,ship,战列,305021,Yamashiro,山城,山城,
야마시로,鲼,zh-CN,ko,79,ship,战列,305021,Yamashiro,山城,山城,
纪伊,鲣,zh-CN,zh-CN,80,ship,战列,305121,Kii,紀伊,紀伊,
Kii,鲣,zh-CN,en,80,ship,战列,305121,Kii,紀伊,紀伊,
紀伊,鲣,zh-CN,ja,80,ship,战列,305121,Kii,紀伊,紀伊,
紀伊,鲣,zh-CN,zh-TW,80,ship,战列,305121,Kii,紀伊,紀伊,
키이,鲣,zh-CN,ko,80,ship,战列,305121,Kii,紀伊,紀伊,
土佐,䲠,zh-CN,zh-CN,81,ship,战列,305081,Tosa,土佐,土佐,
Tosa,䲠,zh-CN,en,81,ship,战列,305081,Tosa,土佐,土佐,
토사,䲠,zh-CN,ko,81,ship,战列,305081,Tosa,土佐,土佐,
三笠,鲐,zh-CN,zh-CN,82,ship,战列,305111,Mikasa,三笠,三笠,
Mikasa,鲐,zh-CN,en,82,ship,战列,305111,Mikasa,三笠,三笠,
미카사,鲐,zh-CN,ko,82,ship,战列,305111,Mikasa,三笠,三笠,
大和,鲸,zh-CN,zh-CN,83,ship,,,,,,
武藏,鳄,zh-CN,zh-CN,84,ship,战列,305101,Musashi,武蔵,武藏,
Musashi,鳄,zh-CN,en,84,ship,战列,305101,Musashi,武蔵,武藏,
武蔵,鳄,zh-CN,ja,84,ship,战列,305101,Musashi,武蔵,武藏,
무사시,鳄,zh-CN,ko,84,ship,战列,305101,Musashi,武蔵,武藏,
飞鹰,鸱,zh-CN,zh-CN,85,ship,轻航,306011,Hiyou,飛鷹,飛鷹,
Hiyou,鸱,zh-CN,en,85,ship,轻航,306011,Hiyou,飛鷹,飛鷹,
飛鷹,鸱,zh-CN,ja,85,ship,轻航,306011,Hiyou,飛鷹,飛鷹,
飛鷹,鸱,zh-CN,zh-TW,85,ship,轻航,306011,Hiyou,飛鷹,飛鷹,
히요,鸱,zh-CN,ko,85,ship,轻航,306011,Hiyou,飛鷹,飛鷹,
隼鹰,鸢,zh-CN,zh-CN,86,ship,轻航,306021,Junyou,隼鷹,隼鷹,
Junyou,鸢,zh-CN,en,86,ship,轻航,306021,Junyou,隼鷹,隼鷹,
隼鷹,鸢,zh-CN,ja,86,ship,轻航,306021,Junyou,隼鷹,隼鷹,
隼鷹,鸢,zh-CN,zh-TW,86,ship,轻航,306021,Junyou,隼鷹,隼鷹,
준요,鸢,zh-CN,ko,86,ship,轻航,306021,Junyou,隼鷹,隼鷹,
祥凤,鹞,zh-CN,zh-CN,87,ship,轻航,306051,Shouhou,祥鳳,祥鳳,
Shouhou,鹞,zh-CN,en,87,ship,轻航,306051,Shouhou,祥鳳,祥鳳,
祥鳳,鹞,zh-CN,ja,87,ship,轻航,306051,Shouhou,祥鳳,祥鳳,
祥鳳,鹞,zh-CN,zh-TW,87,ship,轻航,306051,Shouhou,祥鳳,祥鳳,
쇼호,鹞,zh-CN,ko,87,ship,轻航,306051,Shouhou,祥鳳,祥鳳,
瑞凤,鹳,zh-CN,zh-CN,88,ship,轻航,306041,Zuihou,瑞鳳,瑞鳳,
Zuihou,鹳,zh-CN,en,88,ship,轻航,306041,Zuihou,瑞鳳,瑞鳳,
瑞鳳,鹳,zh-CN,ja,88,ship,轻航,306041,Zuihou,瑞鳳,瑞鳳,
瑞鳳,鹳,zh-CN,zh-TW,88,ship,轻航,306041,Zuihou,瑞鳳,瑞鳳,
즈이호,鹳,zh-CN,ko,88,ship,轻航,306041,Zuihou,瑞鳳,瑞鳳,
凤翔,凤,zh-CN,zh-CN,89,ship,轻航,306031,Houshou,鳳翔,鳳翔,
Houshou,凤,zh-CN,en,89,ship,轻航,306031,Houshou,鳳翔,鳳翔,
鳳翔,凤,zh-CN,ja,89,ship,轻航,306031,Houshou,鳳翔,鳳翔,
鳳翔,凤,zh-CN,zh-TW,89,ship,轻航,306031,Houshou,鳳翔,鳳翔,
호쇼,凤,zh-CN,ko,89,ship,轻航,306031,Houshou,鳳翔,鳳翔,
龙骧,枭,zh-CN,zh-CN,90,ship,轻航,306061,Ryuujou,龍驤,龍驤,
Ryuujou,枭,zh-CN,en,90,ship,轻航,306061,Ryuujou,龍驤,龍驤,
龍驤,枭,zh-CN,ja,90,ship,轻航,306061,Ryuujou,龍驤,龍驤,
龍驤,枭,zh-CN,zh-TW,90,ship,轻航,306061,Ryuujou,龍驤,龍驤,
류조,枭,zh-CN,ko,90,ship,轻航,306061,Ryuujou,龍驤,龍驤,
赤城,凰,zh-CN,zh-CN,91,ship,正航,307011,Akagi,赤城,赤城,
Akagi,凰,zh-CN,en,91,ship,正航,307011,Akagi,赤城,赤城,
아카기,凰,zh-CN,ko,91,ship,正航,307011,Akagi,赤城,赤城,
加贺,鸾,zh-CN,zh-CN,92,ship,战列,305071,Kaga(BB),加賀,加賀,
Kaga(BB),鸾,zh-CN,en,92,ship,战列,305071,Kaga(BB),加賀,加賀,
加賀,鸾,zh-CN,ja,92,ship,战列,305071,Kaga(BB),加賀,加賀,
加賀,鸾,zh-CN,zh-TW,92,ship,战列,305071,Kaga(BB),加賀,加賀,
카가,鸾,zh-CN,ko,92,ship,战列,305071,Kaga(BB),加賀,加賀,
苍龙,蛟,zh-CN,zh-CN,93,ship,正航,307031,Souryuu,蒼龍,蒼龍,
Souryuu,蛟,zh-CN,en,93,ship,正航,307031,Souryuu,蒼龍,蒼龍,
蒼龍,蛟,zh-CN,ja,93,ship,正航,307031,Souryuu,蒼龍,蒼龍,
蒼龍,蛟,zh-CN,zh-TW,93,ship,正航,307031,Souryuu,蒼龍,蒼龍,
소류,蛟,zh-CN,ko,93,ship,正航,307031,Souryuu,蒼龍,蒼龍,
飞龙,龙,zh-CN,zh-CN,94,ship,正航,307041,Hiryuu,飛龍,飛龍,
