source,target,tgt_lng,src_lng,ship_id,ship_type,nation,variant,english_name,role
HMS Belfast,贝尔法斯特,zh-CN,en,202121,轻巡,皇家,,HMS Belfast,dominant
HMS Cheshire,小柴郡,zh-CN,en,203101,重巡,皇家,,HMS Cheshire,dominant
HMS Cheshire,柴郡,zh-CN,en,299031,重巡,皇家,,HMS Cheshire,alternative
HMS Dido,黛朵,zh-CN,en,202041,轻巡,皇家,,HMS Dido,dominant
HMS Dido,黛朵(μ兵装),zh-CN,en,202281,轻巡,皇家,μ兵装,HMS Dido,alternative
HMS Formidable,可畏,zh-CN,en,207051,正航,皇家,,HMS Formidable,dominant
HMS Formidable,可畏(μ兵装),zh-CN,en,207141,正航,皇家,μ兵装,HMS Formidable,alternative
HMS Formidable,小可畏,zh-CN,en,207131,正航,皇家,,HMS Formidable,alternative
HMS Illustrious,光辉,zh-CN,en,207031,正航,皇家,,HMS Illustrious,dominant
HMS Illustrious,光辉(μ兵装),zh-CN,en,207111,正航,皇家,μ兵装,HMS Illustrious,alternative
HMS Illustrious,小光辉,zh-CN,en,207091,正航,皇家,,HMS Illustrious,alternative
HMS Javelin,标枪,zh-CN,en,201211,驱逐,皇家,,HMS Javelin,dominant
HMS Javelin,标枪-传说级勇者,zh-CN,en,900410,驱逐,通用,,HMS Javelin,alternative
HMS Liverpool,利物浦,zh-CN,en,202341,轻巡,皇家,,HMS Liverpool,dominant
HMS Liverpool,利物浦-神官,zh-CN,en,900414,正航,通用,,HMS Liverpool,alternative
HMS Nubian,努比亚人,zh-CN,en,201371,驱逐,皇家,,HMS Nubian,dominant
HMS Nubian,努比亚人-药剂师,zh-CN,en,900416,战巡,通用,,HMS Nubian,alternative
HMS Renown,声望,zh-CN,en,204011,战巡,皇家,,HMS Renown,dominant
HMS Renown,小声望,zh-CN,en,204041,战巡,皇家,,HMS Renown,alternative
HMS Sheffield,谢菲尔德,zh-CN,en,202081,轻巡,皇家,,HMS Sheffield,dominant
HMS Sheffield,谢菲尔德(μ兵装),zh-CN,en,202251,轻巡,皇家,μ兵装,HMS Sheffield,alternative
HMS Unicorn,独角兽,zh-CN,en,206031,轻航,皇家,,HMS Unicorn,dominant
HMS Unicorn,独角兽-见习神官,zh-CN,en,900415,轻航,通用,,HMS Unicorn,alternative
HMS Vanguard,前卫,zh-CN,en,205131,战列,皇家,,HMS Vanguard,dominant
HMS Vanguard,前卫-王国军方旗骑士,zh-CN,en,900422,战列,通用,,HMS Vanguard,alternative
IJN Akagi,小赤城,zh-CN,en,307091,正航,重樱,,IJN Akagi,alternative
IJN Akagi,赤城,zh-CN,en,307011,正航,重樱,,IJN Akagi,dominant
IJN Akagi,赤城(μ兵装),zh-CN,en,307101,正航,重樱,μ兵装,IJN Akagi,alternative
IJN Amagi,天城,zh-CN,en,304051,战巡,重樱,,IJN Amagi,dominant
IJN Amagi,小天城,zh-CN,en,304071,战巡,重樱,,IJN Amagi,alternative
IJN Ayanami,绫波,zh-CN,en,301051,驱逐,重樱,,IJN Ayanami,dominant
IJN Ayanami,绫波-传说级格斗家,zh-CN,en,900412,驱逐,通用,,IJN Ayanami,alternative
IJN Hiei,小比叡,zh-CN,en,304061,战巡,重樱,,IJN Hiei,alternative
IJN Hiei,比叡,zh-CN,en,304021,战巡,重樱,,IJN Hiei,dominant
IJN Kongō,金刚,zh-CN,en,304011,战巡,重樱,,IJN Kongō,dominant
IJN Kongō,金刚(μ兵装),zh-CN,en,304081,战巡,重樱,μ兵装,IJN Kongō,alternative
IJN Noshiro,能代,zh-CN,en,302211,轻巡,重樱,,IJN Noshiro,dominant
IJN Noshiro,能代(μ兵装),zh-CN,en,302241,轻巡,重樱,μ兵装,IJN Noshiro,alternative
IJN Shinano,信浓,zh-CN,en,307081,正航,重樱,,IJN Shinano,dominant
IJN Shinano,小信浓,zh-CN,en,307141,正航,重樱,,IJN Shinano,alternative
IJN Taihou,大凤,zh-CN,en,307071,正航,重樱,,IJN Taihou,dominant
IJN Taihou,大凤(μ兵装),zh-CN,en,307111,正航,重樱,μ兵装,IJN Taihou,alternative
Javelin,标枪,zh-CN,en,201211,驱逐,皇家,,HMS Javelin,dominant
Javelin,标枪-传说级勇者,zh-CN,en,900410,驱逐,通用,,HMS Javelin,alternative
Jeanne d'Arc,圣女贞德,zh-CN,en,802021,轻巡,自由鸢尾,,FFNF Jeanne d'Arc,dominant
Jeanne d'Arc,圣女贞德-王国军圣女,zh-CN,en,900421,轻巡,通用,,FFNF Jeanne d'Arc,alternative
Joffre,霞飞,zh-CN,en,907011,正航,维希教廷,,MNF Joffre,alternative
Joffre,霞飞-战斗天使,zh-CN,en,900423,正航,通用,,MNF Joffre,dominant
KMS Admiral Graf Spee,小斯佩,zh-CN,en,403131,重巡,铁血,,KMS Admiral Graf Spee,alternative
KMS Admiral Graf Spee,斯佩伯爵海军上将,zh-CN,en,403051,重巡,铁血,,KMS Admiral Graf Spee,dominant
KMS Admiral Hipper,希佩尔海军上将,zh-CN,en,403011,重巡,铁血,,KMS Admiral Hipper,dominant
KMS Admiral Hipper,希佩尔海军上将(μ兵装),zh-CN,en,403071,重巡,铁血,μ兵装,KMS Admiral Hipper,alternative
KMS Bismarck,俾斯麦,zh-CN,en,405011,战列,铁血,,KMS Bismarck,dominant
KMS Bismarck,利根,zh-CN,en,900013,战列,铁血,,KMS Bismarck,alternative
KMS Friedrich Carl,腓特烈·卡尔,zh-CN,en,403141,重巡,铁血,,KMS Friedrich Carl,dominant
KMS Friedrich Carl,腓特烈·卡尔-钢铁教会机械师,zh-CN,en,900427,正航,通用,,KMS Friedrich Carl,alternative
KMS Graf Zeppelin,小齐柏林,zh-CN,en,407021,正航,铁血,,KMS Graf Zeppelin,alternative
KMS Graf Zeppelin,齐柏林伯爵,zh-CN,en,407011,正航,铁血,,KMS Graf Zeppelin,dominant
KMS Prinz Eugen,小欧根,zh-CN,en,403121,重巡,铁血,,KMS Prinz Eugen,alternative
KMS Prinz Eugen,欧根亲王,zh-CN,en,403031,重巡,铁血,,KMS Prinz Eugen,dominant
KMS Prinz Eugen,欧根亲王(μ兵装),zh-CN,en,403151,重巡,铁血,μ兵装,KMS Prinz Eugen,alternative
KMS Roon,罗恩,zh-CN,en,499011,重巡,铁血,,KMS Roon,alternative
KMS Roon,罗恩(μ兵装),zh-CN,en,403081,重巡,铁血,μ兵装,KMS Roon,dominant
KMS Z23,Z23,zh-CN,en,401231,驱逐,铁血,,KMS Z23,dominant
KMS Z23,Z23- 传说级战士,zh-CN,en,900411,驱逐,通用,,KMS Z23,alternative
KMS Ägir,埃吉尔,zh-CN,en,499051,超巡,铁血,,KMS Ägir,alternative
KMS Ägir,小埃吉尔,zh-CN,en,403161,超巡,铁血,,KMS Ägir,dominant
L'Indomptable,不屈,zh-CN,en,901131,驱逐,维希教廷,,MNF L'Indomptable,alternative
L'Indomptable,不屈-王国军守护骑士,zh-CN,en,900420,驱逐,通用,,MNF L'Indomptable,dominant
L'Opiniâtre,倔强,zh-CN,en,801041,驱逐,自由鸢尾,,FFNF L'Opiniâtre,dominant
L'Opiniâtre,倔强-王国军二级魔法师,zh-CN,en,900418,驱逐,通用,,FFNF L'Opiniâtre,alternative
Laffey,拉菲,zh-CN,en,101171,驱逐,白鹰,,USS Laffey,dominant
Laffey,拉菲-传说级魔法师,zh-CN,en,900409,战列,通用,,USS Laffey,alternative
Le Téméraire,鲁莽,zh-CN,en,801031,驱逐,自由鸢尾,,FFNF Le Téméraire,dominant
Le Téméraire,鲁莽-王国军二级魔法师,zh-CN,en,900417,驱逐,通用,,FFNF Le Téméraire,alternative
Liverpool,利物浦,zh-CN,en,202341,轻巡,皇家,,HMS Liverpool,dominant
Liverpool,利物浦-神官,zh-CN,en,900414,正航,通用,,HMS Liverpool,alternative
Marco Polo,马可波罗,zh-CN,en,699011,战列,撒丁帝国,,RN Marco Polo,dominant
Marco Polo,马可波罗（圣座 前排）,zh-CN,en,900536,超巡,撒丁帝国,,RN Marco Polo,alternative
Marco Polo,马可波罗（王座 前排）,zh-CN,en,900485,超巡,撒丁帝国,,RN Marco Polo,alternative
MNF Algérie,阿尔及利亚,zh-CN,en,903021,重巡,维希教廷,,MNF Algérie,alternative
MNF Algérie,阿尔及利亚-王国军方旗骑士,zh-CN,en,900419,重巡,通用,,MNF Algérie,dominant
MNF Gascogne,加斯科涅,zh-CN,en,900399,战列,皇家,,MNF Gascogne,dominant
MNF Gascogne,加斯科涅(μ兵装),zh-CN,en,905031,战列,维希教廷,μ兵装,MNF Gascogne,alternative
MNF Joffre,霞飞,zh-CN,en,907011,正航,维希教廷,,MNF Joffre,alternative
MNF Joffre,霞飞-战斗天使,zh-CN,en,900423,正航,通用,,MNF Joffre,dominant
MNF L'Indomptable,不屈,zh-CN,en,901131,驱逐,维希教廷,,MNF L'Indomptable,alternative
MNF L'Indomptable,不屈-王国军守护骑士,zh-CN,en,900420,驱逐,通用,,MNF L'Indomptable,dominant
MNF Le Malin,恶毒,zh-CN,en,901111,驱逐,维希教廷,,MNF Le Malin,dominant
MNF Le Malin,恶毒(μ兵装),zh-CN,en,901121,驱逐,维希教廷,μ兵装,MNF Le Malin,alternative
Neptune,海王星,zh-CN,en,299011,轻巡,皇家,,HMS Neptune,dominant
Neptune,涅普顿,zh-CN,en,10100011,轻巡,联动阵营,,HDN Neptune,alternative
Nubian,努比亚人,zh-CN,en,201371,驱逐,皇家,,HMS Nubian,dominant
Nubian,努比亚人-药剂师,zh-CN,en,900416,战巡,通用,,HMS Nubian,alternative
RN Marco Polo,马可波罗,zh-CN,en,699011,战列,撒丁帝国,,RN Marco Polo,dominant
RN Marco Polo,马可波罗（圣座 前排）,zh-CN,en,900536,超巡,撒丁帝国,,RN Marco Polo,alternative
RN Marco Polo,马可波罗（王座 前排）,zh-CN,en,900485,超巡,撒丁帝国,,RN Marco Polo,alternative
SN Tashkent,塔什干,zh-CN,en,701041,驱逐,北方联合,,SN Tashkent,dominant
SN Tashkent,塔什干(μ兵装),zh-CN,en,701051,驱逐,北方联合,μ兵装,SN Tashkent,alternative
Unicorn,独角兽,zh-CN,en,206031,轻航,皇家,,HMS Unicorn,dominant
Unicorn,独角兽-见习神官,zh-CN,en,900415,轻航,通用,,HMS Unicorn,alternative
USS Albacore,大青花鱼,zh-CN,en,108021,潜艇,白鹰,,USS Albacore,dominant
USS Albacore,大青花鱼(μ兵装),zh-CN,en,108051,潜艇,白鹰,μ兵装,USS Albacore,alternative
USS Anchorage,安克雷奇,zh-CN,en,199031,重巡,白鹰,,USS Anchorage,alternative
USS Anchorage,小安克雷奇,zh-CN,en,103291,重巡,白鹰,,USS Anchorage,dominant
USS Baltimore,巴尔的摩,zh-CN,en,103161,重巡,白鹰,,USS Baltimore,dominant
USS Baltimore,巴尔的摩(μ兵装),zh-CN,en,103251,重巡,白鹰,μ兵装,USS Baltimore,alternative
USS Boise,博伊西,zh-CN,en,102291,轻巡,白鹰,,USS Boise,dominant
USS Boise,博伊西(μ兵装),zh-CN,en,102321,轻巡,白鹰,μ兵装,USS Boise,alternative
USS Cleveland,克利夫兰,zh-CN,en,102091,轻巡,白鹰,,USS Cleveland,dominant
USS Cleveland,克利夫兰(μ兵装),zh-CN,en,102241,轻巡,白鹰,μ兵装,USS Cleveland,alternative
USS Cleveland,小克利夫兰,zh-CN,en,102201,轻巡,白鹰,,USS Cleveland,alternative
USS Enterprise,企业,zh-CN,en,107061,正航,白鹰,,USS Enterprise,dominant
USS Enterprise,小企业,zh-CN,en,107991,正航,白鹰,,USS Enterprise,alternative
USS Helena,小海伦娜,zh-CN,en,102191,轻巡,白鹰,,USS Helena,alternative
USS Helena,海伦娜,zh-CN,en,102051,轻巡,白鹰,,USS Helena,dominant
USS Laffey,拉菲,zh-CN,en,101171,驱逐,白鹰,,USS Laffey,dominant
USS Laffey,拉菲-传说级魔法师,zh-CN,en,900409,战列,通用,,USS Laffey,alternative
USS San Diego,圣地亚哥,zh-CN,en,102081,轻巡,白鹰,,USS San Diego,dominant
USS San Diego,小圣地亚哥,zh-CN,en,102211,轻巡,白鹰,,USS San Diego,alternative
Vanguard,前卫,zh-CN,en,205131,战列,皇家,,HMS Vanguard,dominant
Vanguard,前卫-王国军方旗骑士,zh-CN,en,900422,战列,通用,,HMS Vanguard,alternative
エンタープライズ,企业,zh-CN,ja,107061,正航,白鹰,,USS Enterprise,dominant
エンタープライズ,进取,zh-CN,ja,202321,轻巡,皇家,,HMS Enterprise,alternative
ジャン・バール,让·巴尔,zh-CN,ja,905011,战列,维希教廷,,MNF Jean Bart,alternative
ジャン・バール,让巴尔,zh-CN,ja,900092,轻巡,白鹰,,,dominant
ジュノー,天后,zh-CN,ja,201221,驱逐,皇家,,HMS Juno,alternative
ジュノー,朱诺,zh-CN,ja,102071,轻巡,白鹰,,USS Juneau,dominant
넵튠,海王星,zh-CN,ko,299011,轻巡,皇家,,HMS Neptune,dominant
넵튠,涅普顿,zh-CN,ko,10100011,轻巡,联动阵营,,HDN Neptune,alternative
벨,贝尔,zh-CN,ko,101521,驱逐,白鹰,,USS Bell,dominant
벨,贝露,zh-CN,ko,900077,正航,联动阵营,,HDN Vert,alternative
엔터프라이즈,企业,zh-CN,ko,107061,正航,白鹰,,USS Enterprise,dominant
엔터프라이즈,进取,zh-CN,ko,202321,轻巡,皇家,,HMS Enterprise,alternative
장 바르,让·巴尔,zh-CN,ko,905011,战列,维希教廷,,MNF Jean Bart,alternative
장 바르,让巴尔,zh-CN,ko,900092,轻巡,白鹰,,,dominant
후부키,吹雪,zh-CN,ko,301011,驱逐,重樱,,IJN Fubuki,dominant
후부키,雪不归,zh-CN,ko,11000051,战列,联动阵营,,Fubuki,alternative
企業,企业,zh-CN,zh-TW,107061,正航,白鹰,,USS Enterprise,dominant
企業,进取,zh-CN,zh-TW,202321,轻巡,皇家,,HMS Enterprise,alternative
大膽,大胆,zh-CN,zh-TW,801051,驱逐,自由鸢尾,,FFNF LeHardi,dominant
大膽,果敢,zh-CN,zh-TW,900444,驱逐,维希教廷,,MNF L'Audacieux,alternative
讓·巴爾,让·巴尔,zh-CN,zh-TW,905011,战列,维希教廷,,MNF Jean Bart,alternative
讓·巴爾,让巴尔,zh-CN,zh-TW,900092,轻巡,白鹰,,,dominant
