source,target,tgt_lng,src_lng,ship_id,ship_type,nation,variant,zh_CN_standard,zh_CN_target,same_source_alternatives
Bunker Hill,邦克山,zh-CN,en,107171,正航,白鹰,,邦克山,邦克山,
Bush,布什,zh-CN,en,101331,驱逐,白鹰,,布什,布什,
Béarn,贝亚恩,zh-CN,en,807011,正航,自由鸢尾,,贝亚恩,贝亚恩,
Béarn META,贝亚恩·META,zh-CN,en,9707041,正航,META,META,贝亚恩·META,贝亚恩·META,
Béarn.META,贝亚恩·META,zh-CN,en,9707041,正航,META,META,贝亚恩·META,贝亚恩·META,
California,加利福尼亚,zh-CN,en,105081,战列,白鹰,,加利福尼亚,加利福尼亚,
Carabiniere,龙骑兵,zh-CN,en,601021,驱逐,撒丁帝国,,龙骑兵,龙骑兵,
Carabiniere META,龙骑兵·META,zh-CN,en,9701111,驱逐,META,META,龙骑兵·META,龙骑兵·META,
Carabiniere.META,龙骑兵·META,zh-CN,en,9701111,驱逐,META,META,龙骑兵·META,龙骑兵·META,
Casablanca,卡萨布兰卡,zh-CN,en,106551,轻航,白鹰,,卡萨布兰卡,卡萨布兰卡,
Cassin,卡辛,zh-CN,en,101031,驱逐,白鹰,,卡辛,卡辛,
Cavalla,棘鳍,zh-CN,en,108031,潜艇,白鹰,,棘鳍,棘鳍,
Centaur,半人马,zh-CN,en,206041,轻航,皇家,,半人马,半人马,
Champagne,香槟,zh-CN,en,899021,战列,自由鸢尾,,香槟,香槟,
Chang Chun,长春,zh-CN,en,501031,驱逐,东煌,,长春,长春,
Chang Feng,长风,zh-CN,en,501081,驱逐,东煌,,长风,长风,
Chang Wu,彰武,zh-CN,en,503021,重巡,东煌,,彰武,彰武,
Chao Ho,肇和,zh-CN,en,502051,轻巡,东煌,,肇和,肇和,
Chapayev,恰巴耶夫,zh-CN,en,702031,轻巡,北方联合,,恰巴耶夫,恰巴耶夫,
Chariot.VII,仲裁者·提尔瑞特·VII,zh-CN,en,900538,战列,塞壬,,仲裁者·提尔瑞特·VII,仲裁者·提尔瑞特·VII,
Charles Ausburne,查尔斯·奥斯本,zh-CN,en,101111,驱逐,白鹰,,查尔斯·奥斯本,查尔斯·奥斯本,
Charybdis,卡律布狄斯,zh-CN,en,202301,轻巡,皇家,,卡律布狄斯,卡律布狄斯,
Chaser,追赶者,zh-CN,en,206051,轻航,皇家,,追赶者,追赶者,
Chen Hai,镇海,zh-CN,en,506011,轻航,东煌,,镇海,镇海,
Cheshire,柴郡,zh-CN,en,299031,重巡,皇家,,柴郡,柴郡,
Chi An,济安,zh-CN,en,502091,轻巡,东煌,,济安,济安,
Chicago,芝加哥,zh-CN,en,103041,重巡,白鹰,,芝加哥,芝加哥,
Chien Wu,建武,zh-CN,en,503011,重巡,东煌,,建武,建武,
Chihaya Kisaragi,如月千早,zh-CN,en,10700021,正航,联动阵营,,如月千早,如月千早,
Chikuma,狘,zh-CN,en,303061,重巡,重樱,,筑摩,狘,
Chise Asukagawa,飞鸟川千濑,zh-CN,en,10800061,正航,联动阵营,,飞鸟川千濑,飞鸟川千濑,
Chitose,鹂,zh-CN,en,306081,轻航,重樱,,千岁,鹂,
Chiyoda,鹃,zh-CN,en,306091,轻航,重樱,,千代田,鹃,
Chkalov,契卡洛夫,zh-CN,en,799011,正航,北方联合,,契卡洛夫,契卡洛夫,
Choukai,猋,zh-CN,en,303141,重巡,重樱,,鸟海,猋,
Clarence K. Bronson,克拉伦斯·K·布朗森,zh-CN,en,101551,驱逐,白鹰,,克拉伦斯·K·布朗森,克拉伦斯·K·布朗森,
Clemenceau,克莱蒙梭,zh-CN,en,905021,战列,维希教廷,,克莱蒙梭,克莱蒙梭,
Cleopatra,克利奥佩特拉,zh-CN,en,202351,轻巡,皇家,,克利奥佩特拉,克利奥佩特拉,
Clevelad,小克利夫兰,zh-CN,en,102201,轻巡,白鹰,,小克利夫兰,小克利夫兰,
Cleveland,克利夫兰,zh-CN,en,102091,轻巡,白鹰,,克利夫兰,克利夫兰,
Cleveland META,克利夫兰·META,zh-CN,en,9702091,轻巡,META,META,克利夫兰·META,克利夫兰·META,
Cleveland μ,克利夫兰(μ兵装),zh-CN,en,102241,轻巡,白鹰,μ兵装,克利夫兰(μ兵装),克利夫兰(μ兵装),
Cleveland.META,克利夫兰·META,zh-CN,en,9702091,轻巡,META,META,克利夫兰·META,克利夫兰·META,
Colorado,科罗拉多,zh-CN,en,105091,战列,白鹰,,科罗拉多,科罗拉多,
Columbia,哥伦比亚,zh-CN,en,102101,轻巡,白鹰,,哥伦比亚,哥伦比亚,
Comet,彗星,zh-CN,en,201081,驱逐,皇家,,彗星,彗星,
Compiler,构建者,zh-CN,en,900506,正航,塞壬,,构建者,构建者,
Concord,康克德,zh-CN,en,102181,轻巡,白鹰,,康克德,康克德,
Constellation,星座,zh-CN,en,104011,战巡,白鹰,,星座,星座,
Conte di Cavour,加富尔伯爵,zh-CN,en,605051,战列,撒丁帝国,,加富尔伯爵,加富尔伯爵,
Cooper,库珀,zh-CN,en,101441,驱逐,白鹰,,库珀,库珀,
Cowpens,科本斯,zh-CN,en,107251,轻航,白鹰,,科本斯,科本斯,
Craven,克雷文,zh-CN,en,101061,驱逐,白鹰,,克雷文,克雷文,
Crescent,枥,zh-CN,en,201091,驱逐,皇家,,新月,枥,
Curacoa,库拉索,zh-CN,en,202211,轻巡,皇家,,库拉索,库拉索,
Curlew,杓鹬,zh-CN,en,202221,轻巡,皇家,,杓鹬,杓鹬,
Cygnet,小天鹅,zh-CN,en,201101,驱逐,皇家,,小天鹅,小天鹅,
Dace,鲦鱼,zh-CN,en,108011,潜艇,白鹰,,鲦鱼,鲦鱼,
Daisen,鳝,zh-CN,en,399071,战列,重樱,,大山,鳝,
De Zeven Provinciën,七省,zh-CN,en,900496,轻巡,郁金王国,,七省,七省,
DEAD MASTER,死亡主宰,zh-CN,en,900511,正航,联动阵营,,死亡主宰,死亡主宰,
Denver,丹佛,zh-CN,en,102151,轻巡,白鹰,,丹佛,丹佛,
Deutschland,亚勒玛妮亚,zh-CN,en,403041,重巡,铁血,,德意志,亚勒玛妮亚,
Devonshire,德文郡,zh-CN,en,203131,重巡,皇家,,德文郡,德文郡,
Dewey,杜威,zh-CN,en,101021,驱逐,白鹰,,杜威,杜威,
Dewey META,杜威·META,zh-CN,en,9701101,驱逐,META,META,杜威·META,杜威·META,
Dewey.META,杜威·META,zh-CN,en,9701101,驱逐,META,META,杜威·META,杜威·META,
Dido,黛朵,zh-CN,en,202041,轻巡,皇家,,黛朵,黛朵,
Dido μ,黛朵(μ兵装),zh-CN,en,202281,轻巡,皇家,μ兵装,黛朵(μ兵装),黛朵(μ兵装),
Dmitri Donskoi,迪米特里·顿斯科伊,zh-CN,en,799031,轻巡,北方联合,,迪米特里·顿斯科伊,迪米特里·顿斯科伊,
Dolphin,海豚号,zh-CN,en,9600111,风帆,飓风船团,,海豚号,海豚号,
Dorsetshire,多塞特郡,zh-CN,en,203061,重巡,皇家,,多塞特郡,多塞特郡,
Downes,唐斯,zh-CN,en,101041,驱逐,白鹰,,唐斯,唐斯,
Drake,德雷克,zh-CN,en,299041,重巡,皇家,,德雷克,德雷克,
Duca degli Abruzzi,阿布鲁齐公爵,zh-CN,en,602011,轻巡,撒丁帝国,,阿布鲁齐公爵,阿布鲁齐公爵,
Duguay-Trouin,迪盖·特鲁因,zh-CN,en,802041,轻巡,自由鸢尾,,迪盖·特鲁因,迪盖·特鲁因,
Duisburg,多琳妮娅,zh-CN,en,402111,轻巡,铁血,,杜伊斯堡,多琳妮娅,
Duke of York,约克公爵,zh-CN,en,205071,战列,皇家,,约克公爵,约克公爵,
Dunkerque,敦刻尔克,zh-CN,en,904011,战巡,维希教廷,,敦刻尔克,敦刻尔克,
Dunkerque META,敦刻尔克·META,zh-CN,en,9704061,战巡,META,META,敦刻尔克·META,敦刻尔克·META,
Dunkerque.META,敦刻尔克·META,zh-CN,en,9704061,战巡,META,META,敦刻尔克·META,敦刻尔克·META,
Dupleix,迪普莱克斯,zh-CN,en,900445,重巡,维希教廷,,迪普莱克斯,迪普莱克斯,
Duquesne,迪凯纳,zh-CN,en,803031,重巡,自由鸢尾,,迪凯纳,迪凯纳,
Eagle,鹰,zh-CN,en,207011,正航,皇家,,鹰,鹰,
Echo,回声,zh-CN,en,201291,驱逐,皇家,,回声,回声,
Edinburgh,爱丁堡,zh-CN,en,202111,轻巡,皇家,,爱丁堡,爱丁堡,
Elbe,埃尔斯贝特,zh-CN,en,406021,轻航,铁血,,易北,埃尔斯贝特,
Elbing,埃尔薇菈,zh-CN,en,402081,轻巡,铁血,,埃尔宾,埃尔薇菈,
Eldridge,埃尔德里奇,zh-CN,en,101261,驱逐,白鹰,,埃尔德里奇,埃尔德里奇,
Elegant Kizuna AI,绊爱·Elegant,zh-CN,en,10400021,重巡,联动阵营,,绊爱·Elegant,绊爱·Elegant,
Elise,伊莉丝,zh-CN,en,10600101,正航,联动阵营,,伊莉丝,伊莉丝,
Emanuele Pessagno,埃曼努埃尔·佩萨格诺,zh-CN,en,601091,驱逐,撒丁帝国,,埃曼努埃尔·佩萨格诺,埃曼努埃尔·佩萨格诺,
Emden,埃玛,zh-CN,en,402071,轻巡,铁血,,埃姆登,埃玛,
Enterprise,企业,zh-CN,en,107061,正航,白鹰,,企业,企业,企业 [白鹰 正航] | 进取 [皇家 轻巡]
Enterprise,进取,zh-CN,en,202321,轻巡,皇家,,进取,进取,企业 [白鹰 正航] | 进取 [皇家 轻巡]
Enterprise META,企业·META,zh-CN,en,900524,正航,META,META,企业·META,企业·META,
Enterprise.META,企业·META,zh-CN,en,900524,正航,META,META,企业·META,企业·META,
Erebus,黑暗界,zh-CN,en,213011,重炮,皇家,,黑暗界,黑暗界,
Erebus META,黑暗界·META,zh-CN,en,9713011,重炮,META,META,黑暗界·META,黑暗界·META,
Erebus.META,黑暗界·META,zh-CN,en,9713011,重炮,META,META,黑暗界·META,黑暗界·META,
Eskimo,爱斯基摩人,zh-CN,en,201321,驱逐,皇家,,爱斯基摩人,爱斯基摩人,
Essex,埃塞克斯,zh-CN,en,107091,正航,白鹰,,埃塞克斯,埃塞克斯,
Evertsen,埃佛森,zh-CN,en,900497,驱逐,郁金王国,,埃佛森,埃佛森,
Exeter,埃克塞特,zh-CN,en,203081,重巡,皇家,,埃克塞特,埃克塞特,
Fancy,幻想号,zh-CN,en,9600081,风帆,飓风船团,,幻想号,幻想号,
Fargo,法戈,zh-CN,en,102331,轻巡,白鹰,,法戈,法戈,
Fei Yuen,飞云,zh-CN,en,501071,驱逐,东煌,,飞云,飞云,
Felix Schultz,弗郎西斯卡·舒伯特,zh-CN,en,499081,驱逐,铁血,,菲利克斯·舒尔茨,弗郎西斯卡·舒伯特,
FFNF Alsace,阿尔萨斯,zh-CN,en,805031,战列,自由鸢尾,,阿尔萨斯,阿尔萨斯,
FFNF Bayard,贝亚德,zh-CN,en,899041,轻巡,自由鸢尾,,贝亚德,贝亚德,
FFNF Bois Belleau,贝劳森林,zh-CN,en,806011,轻航,自由鸢尾,,贝劳森林,贝劳森林,
FFNF Brennus,布伦努斯,zh-CN,en,803021,重巡,自由鸢尾,,布伦努斯,布伦努斯,
FFNF Brest,布雷斯特,zh-CN,en,899031,超巡,自由鸢尾,,布雷斯特,布雷斯特,
FFNF Béarn,贝亚恩,zh-CN,en,807011,正航,自由鸢尾,,贝亚恩,贝亚恩,
FFNF Champagne,香槟,zh-CN,en,899021,战列,自由鸢尾,,香槟,香槟,
FFNF Duguay Trouin,迪盖·特鲁因,zh-CN,en,802041,轻巡,自由鸢尾,,迪盖·特鲁因,迪盖·特鲁因,
FFNF Duquesne,迪凯纳,zh-CN,en,803031,重巡,自由鸢尾,,迪凯纳,迪凯纳,
FFNF Forbin,福尔班,zh-CN,en,801021,驱逐,自由鸢尾,,福尔班,福尔班,
FFNF Guichen,吉尚,zh-CN,en,802031,轻巡,自由鸢尾,,吉尚,吉尚,
FFNF Jeanne d'Arc,圣女贞德,zh-CN,en,802021,轻巡,自由鸢尾,,圣女贞德,圣女贞德,圣女贞德 [自由鸢尾 轻巡] | 圣女贞德-王国军圣女 [通用 轻巡]
FFNF Jeanne d'Arc,圣女贞德-王国军圣女,zh-CN,en,900421,轻巡,通用,,圣女贞德-王国军圣女,圣女贞德-王国军圣女,圣女贞德 [自由鸢尾 轻巡] | 圣女贞德-王国军圣女 [通用 轻巡]
FFNF L'Opiniâtre,倔强,zh-CN,en,801041,驱逐,自由鸢尾,,倔强,倔强,倔强 [自由鸢尾 驱逐] | 倔强-王国军二级魔法师 [通用 驱逐]
FFNF L'Opiniâtre,倔强-王国军二级魔法师,zh-CN,en,900418,驱逐,通用,,倔强-王国军二级魔法师,倔强-王国军二级魔法师,倔强 [自由鸢尾 驱逐] | 倔强-王国军二级魔法师 [通用 驱逐]
FFNF Le Terrible,可怖,zh-CN,en,801071,驱逐,自由鸢尾,,可怖,可怖,
FFNF Le Triomphant,凯旋,zh-CN,en,801011,驱逐,自由鸢尾,,凯旋,凯旋,
FFNF Le Téméraire,鲁莽,zh-CN,en,801031,驱逐,自由鸢尾,,鲁莽,鲁莽,鲁莽 [自由鸢尾 驱逐] | 鲁莽(μ兵装) [自由鸢尾 驱逐] | 鲁莽-王国军二级魔法师 [通用 驱逐]
FFNF Le Téméraire,鲁莽(μ兵装),zh-CN,en,801091,驱逐,自由鸢尾,μ兵装,鲁莽(μ兵装),鲁莽(μ兵装),鲁莽 [自由鸢尾 驱逐] | 鲁莽(μ兵装) [自由鸢尾 驱逐] | 鲁莽-王国军二级魔法师 [通用 驱逐]
FFNF Le Téméraire,鲁莽-王国军二级魔法师,zh-CN,en,900417,驱逐,通用,,鲁莽-王国军二级魔法师,鲁莽-王国军二级魔法师,鲁莽 [自由鸢尾 驱逐] | 鲁莽(μ兵装) [自由鸢尾 驱逐] | 鲁莽-王国军二级魔法师 [通用 驱逐]
FFNF LeHardi,大胆,zh-CN,en,801051,驱逐,自由鸢尾,,大胆,大胆,
FFNF Lyon,里昂,zh-CN,en,805021,战列,自由鸢尾,,里昂,里昂,
FFNF Maillé Brézé,马耶·布雷泽,zh-CN,en,801081,驱逐,自由鸢尾,,马耶·布雷泽,马耶·布雷泽,
FFNF Masséna,马塞纳,zh-CN,en,804011,战巡,自由鸢尾,,马塞纳,马塞纳,
FFNF Painlevé,伴尔维,zh-CN,en,807021,正航,自由鸢尾,,伴尔维,伴尔维,
FFNF Richelieu,黎塞留,zh-CN,en,805011,战列,自由鸢尾,,黎塞留,黎塞留,
FFNF Saint-Louis,路易九世,zh-CN,en,899011,重巡,自由鸢尾,,路易九世,路易九世,
FFNF Suffren,絮弗伦,zh-CN,en,803011,重巡,自由鸢尾,,絮弗伦,絮弗伦,
FFNF Surcouf,絮库夫,zh-CN,en,808011,潜艇,自由鸢尾,,絮库夫,絮库夫,
FFNF Émile Bertin,埃米尔·贝尔汀,zh-CN,en,802011,轻巡,自由鸢尾,,埃米尔·贝尔汀,埃米尔·贝尔汀,
Fiji,斐济,zh-CN,en,202161,轻巡,皇家,,斐济,斐济,
