source,target,tgt_lng,src_lng,ship_id,ship_type,nation,variant
Ardent,热心,zh-CN,en,201031,驱逐,皇家,
Arethusa,阿瑞托莎,zh-CN,en,202131,轻巡,皇家,
Argus,百眼巨人,zh-CN,en,206021,轻航,皇家,
Ariake,有明,zh-CN,en,301251,驱逐,重樱,
Arizona,亚利桑那,zh-CN,en,105041,战列,白鹰,
Arizona META,亚利桑那·META,zh-CN,en,9705031,战列,META,META
Arizona.META,亚利桑那·META,zh-CN,en,9705031,战列,META,META
Ark Royal,皇家方舟,zh-CN,en,207021,正航,皇家,
Ark Royal.META,皇家方舟·META,zh-CN,en,900334,正航,META,META
Arkhangelsk,阿尔汉格尔斯克,zh-CN,en,705061,战列,北方联合,
Asama,浅间,zh-CN,en,303201,重巡,重樱,
Asanagi,朝凪,zh-CN,en,301901,驱逐,重樱,
Asashio,朝潮,zh-CN,en,301631,驱逐,重樱,
Ashigara,足柄,zh-CN,en,303091,重巡,重樱,
Astoria,阿斯托利亚,zh-CN,en,103081,重巡,白鹰,
Asuka,飞鸟,zh-CN,en,11000011,轻巡,联动阵营,
Atago,爱宕,zh-CN,en,303121,重巡,重樱,
Atlanta,亚特兰大,zh-CN,en,102061,轻巡,白鹰,
Attilio Regolo,阿蒂利奥·雷戈洛,zh-CN,en,601101,驱逐,撒丁帝国,
August von Parseval,奥古斯特·冯·帕塞瓦尔,zh-CN,en,499061,正航,铁血,
Aulick,奥利克,zh-CN,en,101131,驱逐,白鹰,
Aurora,欧若拉,zh-CN,en,202151,轻巡,皇家,
Avrora,阿芙乐尔,zh-CN,en,702011,轻巡,北方联合,
Ayanami,绫波,zh-CN,en,301051,驱逐,重樱,
Ayase,绫濑,zh-CN,en,302261,轻巡,重樱,
Aylwin,艾尔温,zh-CN,en,101401,驱逐,白鹰,
Azuma,吾妻,zh-CN,en,399041,超巡,重樱,
Azusa Miura,三浦 梓,zh-CN,en,10700041,重巡,联动阵营,
Bache,贝奇,zh-CN,en,101351,驱逐,白鹰,
Bailey,贝利,zh-CN,en,101271,驱逐,白鹰,
Baltimore,巴尔的摩,zh-CN,en,103161,重巡,白鹰,
Baltimore μ,巴尔的摩(μ兵装),zh-CN,en,103251,重巡,白鹰,μ兵装
Bartolomeo Colleoni,巴托洛梅奥·科莱奥尼,zh-CN,en,602031,轻巡,撒丁帝国,
Bataan,巴丹,zh-CN,en,107291,轻航,白鹰,
Bayard,贝亚德,zh-CN,en,899041,轻巡,自由鸢尾,
Beagle,小猎兔犬,zh-CN,en,201061,驱逐,皇家,
Belfast,贝尔法斯特,zh-CN,en,202121,轻巡,皇家,
Bell,贝尔,zh-CN,en,101521,驱逐,白鹰,
Bellona,司战女神,zh-CN,en,202311,轻巡,皇家,
Benson,本森,zh-CN,en,101161,驱逐,白鹰,
Biloxi,比洛克西,zh-CN,en,102251,轻巡,白鹰,
Birmingham,伯明翰,zh-CN,en,102231,轻巡,白鹰,
Bismarck,俾斯麦,zh-CN,en,405011,战列,铁血,
Bismarck Zwei,俾斯麦Zwei,zh-CN,en,405051,战列,铁血,
Black Heart,圣黑之心,zh-CN,en,10100061,重巡,联动阵营,
Black Prince,黑太子,zh-CN,en,202241,轻巡,皇家,
BLACK★ROCK SHOOTER,BLACK★ROCK SHOOTER（后排）,zh-CN,en,900509,战巡,联动阵营,
Blanc,布兰,zh-CN,en,900076,驱逐,联动阵营,
Bluegill,蓝鳃鱼,zh-CN,en,108041,潜艇,白鹰,
Blücher,布吕歇尔,zh-CN,en,403021,重巡,铁血,
Bogatyr,博加特里,zh-CN,en,702101,轻巡,北方联合,
Bogue,博格,zh-CN,en,106021,轻航,白鹰,
Bois Belleau,贝劳森林,zh-CN,en,806011,轻航,自由鸢尾,
Boise,博伊西,zh-CN,en,102291,轻巡,白鹰,
Boise META,博伊西·META,zh-CN,en,9702081,轻巡,META,META
Boise μ,博伊西(μ兵装),zh-CN,en,102321,轻巡,白鹰,μ兵装
Boise.META,博伊西·META,zh-CN,en,9702081,轻巡,META,META
Bolzano,博尔扎诺,zh-CN,en,603051,重巡,撒丁帝国,
Bolzano META,博尔扎诺·META,zh-CN,en,900489,重巡,META,META
Bolzano.META,博尔扎诺·META,zh-CN,en,900489,重巡,META,META
Bremerton,布莱默顿,zh-CN,en,103241,重巡,白鹰,
Brennus,布伦努斯,zh-CN,en,803021,重巡,自由鸢尾,
Brest,布雷斯特,zh-CN,en,899031,超巡,自由鸢尾,
Bristol,布里斯托尔,zh-CN,en,101491,驱逐,白鹰,
Brooklyn,布鲁克林,zh-CN,en,102031,轻巡,白鹰,
Brünhilde,布伦希尔德,zh-CN,en,404051,战巡,铁血,
Bulldog,大斗犬,zh-CN,en,201071,驱逐,皇家,
Bunker Hill,邦克山,zh-CN,en,107171,正航,白鹰,
Bush,布什,zh-CN,en,101331,驱逐,白鹰,
Béarn,贝亚恩,zh-CN,en,807011,正航,自由鸢尾,
Béarn META,贝亚恩·META,zh-CN,en,9707041,正航,META,META
Béarn.META,贝亚恩·META,zh-CN,en,9707041,正航,META,META
California,加利福尼亚,zh-CN,en,105081,战列,白鹰,
Carabiniere,龙骑兵,zh-CN,en,601021,驱逐,撒丁帝国,
Carabiniere META,龙骑兵·META,zh-CN,en,9701111,驱逐,META,META
Carabiniere.META,龙骑兵·META,zh-CN,en,9701111,驱逐,META,META
Casablanca,卡萨布兰卡,zh-CN,en,106551,轻航,白鹰,
Cassin,卡辛,zh-CN,en,101031,驱逐,白鹰,
Cavalla,棘鳍,zh-CN,en,108031,潜艇,白鹰,
Centaur,半人马,zh-CN,en,206041,轻航,皇家,
Champagne,香槟,zh-CN,en,899021,战列,自由鸢尾,
Chang Chun,长春,zh-CN,en,501031,驱逐,东煌,
Chang Feng,长风,zh-CN,en,501081,驱逐,东煌,
Chang Wu,彰武,zh-CN,en,503021,重巡,东煌,
Chao Ho,肇和,zh-CN,en,502051,轻巡,东煌,
Chapayev,恰巴耶夫,zh-CN,en,702031,轻巡,北方联合,
Chariot.VII,仲裁者·提尔瑞特·VII,zh-CN,en,900538,战列,塞壬,
Charles Ausburne,查尔斯·奥斯本,zh-CN,en,101111,驱逐,白鹰,
Charybdis,卡律布狄斯,zh-CN,en,202301,轻巡,皇家,
Chaser,追赶者,zh-CN,en,206051,轻航,皇家,
Chen Hai,镇海,zh-CN,en,506011,轻航,东煌,
Cheshire,柴郡,zh-CN,en,299031,重巡,皇家,
Chi An,济安,zh-CN,en,502091,轻巡,东煌,
Chicago,芝加哥,zh-CN,en,103041,重巡,白鹰,
Chien Wu,建武,zh-CN,en,503011,重巡,东煌,
Chihaya Kisaragi,如月千早,zh-CN,en,10700021,正航,联动阵营,
Chikuma,筑摩,zh-CN,en,303061,重巡,重樱,
Chise Asukagawa,飞鸟川千濑,zh-CN,en,10800061,正航,联动阵营,
Chitose,千岁,zh-CN,en,306081,轻航,重樱,
Chiyoda,千代田,zh-CN,en,306091,轻航,重樱,
Chkalov,契卡洛夫,zh-CN,en,799011,正航,北方联合,
Choukai,鸟海,zh-CN,en,303141,重巡,重樱,
Clarence K. Bronson,克拉伦斯·K·布朗森,zh-CN,en,101551,驱逐,白鹰,
Clemenceau,克莱蒙梭,zh-CN,en,905021,战列,维希教廷,
Cleopatra,克利奥佩特拉,zh-CN,en,202351,轻巡,皇家,
Clevelad,小克利夫兰,zh-CN,en,102201,轻巡,白鹰,
Cleveland,克利夫兰,zh-CN,en,102091,轻巡,白鹰,
Cleveland META,克利夫兰·META,zh-CN,en,9702091,轻巡,META,META
Cleveland μ,克利夫兰(μ兵装),zh-CN,en,102241,轻巡,白鹰,μ兵装
Cleveland.META,克利夫兰·META,zh-CN,en,9702091,轻巡,META,META
Colorado,科罗拉多,zh-CN,en,105091,战列,白鹰,
Columbia,哥伦比亚,zh-CN,en,102101,轻巡,白鹰,
Comet,彗星,zh-CN,en,201081,驱逐,皇家,
Compiler,构建者,zh-CN,en,900506,正航,塞壬,
Concord,康克德,zh-CN,en,102181,轻巡,白鹰,
Constellation,星座,zh-CN,en,104011,战巡,白鹰,
Conte di Cavour,加富尔伯爵,zh-CN,en,605051,战列,撒丁帝国,
Cooper,库珀,zh-CN,en,101441,驱逐,白鹰,
Cowpens,科本斯,zh-CN,en,107251,轻航,白鹰,
Craven,克雷文,zh-CN,en,101061,驱逐,白鹰,
Crescent,新月,zh-CN,en,201091,驱逐,皇家,
Curacoa,库拉索,zh-CN,en,202211,轻巡,皇家,
Curlew,杓鹬,zh-CN,en,202221,轻巡,皇家,
Cygnet,小天鹅,zh-CN,en,201101,驱逐,皇家,
Dace,鲦鱼,zh-CN,en,108011,潜艇,白鹰,
Daisen,大山,zh-CN,en,399071,战列,重樱,
De Zeven Provinciën,七省,zh-CN,en,900496,轻巡,郁金王国,
DEAD MASTER,死亡主宰,zh-CN,en,900511,正航,联动阵营,
Denver,丹佛,zh-CN,en,102151,轻巡,白鹰,
Deutschland,德意志,zh-CN,en,403041,重巡,铁血,
Devonshire,德文郡,zh-CN,en,203131,重巡,皇家,
Dewey,杜威,zh-CN,en,101021,驱逐,白鹰,
Dewey META,杜威·META,zh-CN,en,9701101,驱逐,META,META
Dewey.META,杜威·META,zh-CN,en,9701101,驱逐,META,META
Dido,黛朵,zh-CN,en,202041,轻巡,皇家,
Dido μ,黛朵(μ兵装),zh-CN,en,202281,轻巡,皇家,μ兵装
Dmitri Donskoi,迪米特里·顿斯科伊,zh-CN,en,799031,轻巡,北方联合,
Dolphin,海豚号,zh-CN,en,9600111,风帆,飓风船团,
Dorsetshire,多塞特郡,zh-CN,en,203061,重巡,皇家,
Downes,唐斯,zh-CN,en,101041,驱逐,白鹰,
Drake,德雷克,zh-CN,en,299041,重巡,皇家,
Duca degli Abruzzi,阿布鲁齐公爵,zh-CN,en,602011,轻巡,撒丁帝国,
Duguay-Trouin,迪盖·特鲁因,zh-CN,en,802041,轻巡,自由鸢尾,
Duisburg,杜伊斯堡,zh-CN,en,402111,轻巡,铁血,
Duke of York,约克公爵,zh-CN,en,205071,战列,皇家,
Dunkerque,敦刻尔克,zh-CN,en,904011,战巡,维希教廷,
Dunkerque META,敦刻尔克·META,zh-CN,en,9704061,战巡,META,META
Dunkerque.META,敦刻尔克·META,zh-CN,en,9704061,战巡,META,META
Dupleix,迪普莱克斯,zh-CN,en,900445,重巡,维希教廷,
Duquesne,迪凯纳,zh-CN,en,803031,重巡,自由鸢尾,
Eagle,鹰,zh-CN,en,207011,正航,皇家,
Echo,回声,zh-CN,en,201291,驱逐,皇家,
Edinburgh,爱丁堡,zh-CN,en,202111,轻巡,皇家,
Elbe,易北,zh-CN,en,406021,轻航,铁血,
Elbing,埃尔宾,zh-CN,en,402081,轻巡,铁血,
Eldridge,埃尔德里奇,zh-CN,en,101261,驱逐,白鹰,
Elegant Kizuna AI,绊爱·Elegant,zh-CN,en,10400021,重巡,联动阵营,
Elise,伊莉丝,zh-CN,en,10600101,正航,联动阵营,
Emanuele Pessagno,埃曼努埃尔·佩萨格诺,zh-CN,en,601091,驱逐,撒丁帝国,
Emden,埃姆登,zh-CN,en,402071,轻巡,铁血,
Enterprise,企业,zh-CN,en,107061,正航,白鹰,
Enterprise META,企业·META,zh-CN,en,900524,正航,META,META
Enterprise.META,企业·META,zh-CN,en,900524,正航,META,META
Erebus,黑暗界,zh-CN,en,213011,重炮,皇家,
Erebus META,黑暗界·META,zh-CN,en,9713011,重炮,META,META
Erebus.META,黑暗界·META,zh-CN,en,9713011,重炮,META,META
Eskimo,爱斯基摩人,zh-CN,en,201321,驱逐,皇家,
Essex,埃塞克斯,zh-CN,en,107091,正航,白鹰,
Evertsen,埃佛森,zh-CN,en,900497,驱逐,郁金王国,
Exeter,埃克塞特,zh-CN,en,203081,重巡,皇家,
Fancy,幻想号,zh-CN,en,9600081,风帆,飓风船团,
Fargo,法戈,zh-CN,en,102331,轻巡,白鹰,
Fei Yuen,飞云,zh-CN,en,501071,驱逐,东煌,
Felix Schultz,菲利克斯·舒尔茨,zh-CN,en,499081,驱逐,铁血,
FFNF Alsace,阿尔萨斯,zh-CN,en,805031,战列,自由鸢尾,
FFNF Bayard,贝亚德,zh-CN,en,899041,轻巡,自由鸢尾,
FFNF Bois Belleau,贝劳森林,zh-CN,en,806011,轻航,自由鸢尾,
FFNF Brennus,布伦努斯,zh-CN,en,803021,重巡,自由鸢尾,
FFNF Brest,布雷斯特,zh-CN,en,899031,超巡,自由鸢尾,
FFNF Béarn,贝亚恩,zh-CN,en,807011,正航,自由鸢尾,
FFNF Champagne,香槟,zh-CN,en,899021,战列,自由鸢尾,
FFNF Duguay Trouin,迪盖·特鲁因,zh-CN,en,802041,轻巡,自由鸢尾,
FFNF Duquesne,迪凯纳,zh-CN,en,803031,重巡,自由鸢尾,
FFNF Forbin,福尔班,zh-CN,en,801021,驱逐,自由鸢尾,
FFNF Guichen,吉尚,zh-CN,en,802031,轻巡,自由鸢尾,
FFNF Jeanne d'Arc,圣女贞德,zh-CN,en,802021,轻巡,自由鸢尾,
FFNF L'Opiniâtre,倔强,zh-CN,en,801041,驱逐,自由鸢尾,
FFNF Le Terrible,可怖,zh-CN,en,801071,驱逐,自由鸢尾,
FFNF Le Triomphant,凯旋,zh-CN,en,801011,驱逐,自由鸢尾,
FFNF Le Téméraire,鲁莽,zh-CN,en,801031,驱逐,自由鸢尾,
FFNF LeHardi,大胆,zh-CN,en,801051,驱逐,自由鸢尾,
FFNF Lyon,里昂,zh-CN,en,805021,战列,自由鸢尾,
FFNF Maillé Brézé,马耶·布雷泽,zh-CN,en,801081,驱逐,自由鸢尾,
FFNF Masséna,马塞纳,zh-CN,en,804011,战巡,自由鸢尾,
FFNF Painlevé,伴尔维,zh-CN,en,807021,正航,自由鸢尾,
FFNF Richelieu,黎塞留,zh-CN,en,805011,战列,自由鸢尾,
FFNF Saint-Louis,路易九世,zh-CN,en,899011,重巡,自由鸢尾,
FFNF Suffren,絮弗伦,zh-CN,en,803011,重巡,自由鸢尾,
FFNF Surcouf,絮库夫,zh-CN,en,808011,潜艇,自由鸢尾,
FFNF Émile Bertin,埃米尔·贝尔汀,zh-CN,en,802011,轻巡,自由鸢尾,
Fiji,斐济,zh-CN,en,202161,轻巡,皇家,
Flandre,弗兰德尔,zh-CN,en,900398,超巡,维希教廷,
Flasher,松鲷,zh-CN,en,108081,潜艇,白鹰,
Fletcher,弗莱彻,zh-CN,en,101091,驱逐,白鹰,
Fleuret,花剑,zh-CN,en,901051,驱逐,维希教廷,
Foch,福煦,zh-CN,en,903011,重巡,维希教廷,
Foch META,福煦·META,zh-CN,en,9703031,重巡,META,META
Foch.META,福煦·META,zh-CN,en,9703031,重巡,META,META
Foote,富特,zh-CN,en,101141,驱逐,白鹰,
Forbin,福尔班,zh-CN,en,801021,驱逐,自由鸢尾,
Formidable,可畏,zh-CN,en,207051,正航,皇家,
Formidable μ,可畏(μ兵装),zh-CN,en,207141,正航,皇家,μ兵装
Fortune,命运女神,zh-CN,en,201121,驱逐,皇家,
Fortune META,命运女神·META,zh-CN,en,9701021,驱逐,META,META
Fortune.META,命运女神·META,zh-CN,en,9701021,驱逐,META,META
Foxhound,狐提,zh-CN,en,201111,驱逐,皇家,
Francesco Caracciolo,弗朗西斯科·卡拉乔洛,zh-CN,en,605091,战列,撒丁帝国,
Franklin,富兰克林,zh-CN,en,107131,正航,白鹰,
Friedrich Carl,腓特烈·卡尔,zh-CN,en,403141,重巡,铁血,
Friedrich der Große,腓特烈大帝,zh-CN,en,499021,战列,铁血,
Fritz Rumey,弗里茨·鲁梅,zh-CN,en,407041,正航,铁血,
Fu Po,伏波,zh-CN,en,501091,驱逐,东煌,
Fu Shun,抚顺,zh-CN,en,501021,驱逐,东煌,
Fu shun,抚顺-勇者,zh-CN,en,900413,轻巡,通用,
Fu Shun - Hero,抚顺-勇者,zh-CN,en,900413,轻巡,通用,
Fubuki,雪不归,zh-CN,en,11000051,战列,联动阵营,
Fujinami,藤波,zh-CN,en,301941,驱逐,重樱,
Fumizuki,文月,zh-CN,en,301381,驱逐,重樱,
Furutaka,古鹰,zh-CN,en,303011,重巡,重樱,
Fusou,扶桑,zh-CN,en,305011,战列,重樱,
Fusou META,扶桑·META,zh-CN,en,9705011,战列,META,META
Galatea,加拉蒂亚,zh-CN,en,202141,轻巡,皇家,
Gallant,勇气,zh-CN,en,201391,驱逐,皇家,
Gangut,甘古特,zh-CN,en,705011,战列,北方联合,
Gangut META,甘古特·META,zh-CN,en,9705101,战列,META,META
Gangut.META,甘古特·META,zh-CN,en,9705101,战列,META,META
Ganj-i-Sawai,冈依沙瓦号,zh-CN,en,900468,风帆,飓风船团,
Gascogne,加斯科涅,zh-CN,en,900399,战列,皇家,
Gascogne μ,加斯科涅(μ兵装),zh-CN,en,905031,战列,维希教廷,μ兵装
Georgia,佐治亚,zh-CN,en,199021,战列,白鹰,
Gilded Age Mech MKI,金布里机甲1号,zh-CN,en,900424,超巡,通用,
Giosuè Carducci,焦苏埃·卡尔杜齐,zh-CN,en,601111,驱逐,撒丁帝国,
Giulio Cesare,朱利奥·凯撒,zh-CN,en,605061,战列,撒丁帝国,
Giulio Cesare META,朱利奥·凯撒·META,zh-CN,en,900491,战列,META,META
Giulio Cesare.META,朱利奥·凯撒·META,zh-CN,en,900491,战列,META,META
Giuseppe Garibaldi,朱塞佩·加里波第,zh-CN,en,602021,轻巡,撒丁帝国,
Glasgow,格拉斯哥,zh-CN,en,202261,轻巡,皇家,
Glorious,光荣,zh-CN,en,207061,正航,皇家,
Glorious META,光荣·META,zh-CN,en,9707071,正航,META,META
Glorious.META,光荣·META,zh-CN,en,9707071,正航,META,META
Gloucester,格罗斯特,zh-CN,en,202101,轻巡,皇家,
Glowworm,萤火虫,zh-CN,en,201141,驱逐,皇家,
Gneisenau,格奈森瑙,zh-CN,en,404021,战巡,铁血,
Gneisenau META,格奈森瑙·META,zh-CN,en,900383,超巡,META,META
Gneisenau.META,格奈森瑙·META,zh-CN,en,900383,超巡,META,META
Golden Darkness,金色暗影,zh-CN,en,900476,战列,联动阵营,
Golden Hind,金鹿号,zh-CN,en,900464,风帆,飓风船团,
Gorizia,戈里齐亚,zh-CN,en,603061,重巡,撒丁帝国,
Gouden Leeuw,金狮,zh-CN,en,900943,重巡,郁金王国,
Graf Zeppelin,齐柏林伯爵,zh-CN,en,407011,正航,铁血,
Green Heart,翡绿之心,zh-CN,en,10100081,正航,联动阵营,
Gremyashchy,雷鸣,zh-CN,en,701071,驱逐,北方联合,
Grenville,格伦维尔,zh-CN,en,201131,驱逐,皇家,
Grenville META,格伦维尔·META,zh-CN,en,9701071,驱逐,META,META
Grenville.META,格伦维尔·META,zh-CN,en,9701071,驱逐,META,META
Gridley,格里德利,zh-CN,en,101051,驱逐,白鹰,
Gromky,洪亮,zh-CN,en,701081,驱逐,北方联合,
Grozny,威严,zh-CN,en,701021,驱逐,北方联合,
Guam,关岛,zh-CN,en,118021,超巡,白鹰,
Guichen,吉尚,zh-CN,en,802031,轻巡,自由鸢尾,
Haguro,羽黑,zh-CN,en,303101,重巡,重樱,
Hai Chi,海圻,zh-CN,en,502081,轻巡,东煌,
Hai Chou,海筹,zh-CN,en,502121,轻巡,东煌,
Hai Tien,海天,zh-CN,en,502071,轻巡,东煌,
Hai Yung,海容,zh-CN,en,502101,轻巡,东煌,
Hakuhou,白凤,zh-CN,en,307161,正航,重樱,
Hakuryuu,白龙,zh-CN,en,399051,正航,重樱,
Halford,哈尔福德,zh-CN,en,199051,驱逐,白鹰,
Halsey Powell,哈尔西·鲍威尔,zh-CN,en,101431,驱逐,白鹰,
Hamakaze,滨风,zh-CN,en,301611,驱逐,重樱,
Hammann,哈曼,zh-CN,en,101251,驱逐,白鹰,
Hammann II,哈曼II,zh-CN,en,101501,驱逐,白鹰,II型
Hanazuki,花月,zh-CN,en,301821,驱逐,重樱,
Harbin,哈尔滨,zh-CN,en,599011,轻巡,东煌,
Hardy,勇敢,zh-CN,en,201161,驱逐,皇家,
Haruka Amami,天海春香,zh-CN,en,10700011,轻巡,联动阵营,
Haruna,榛名,zh-CN,en,304031,战巡,重樱,
Haruna Sairenji,西连寺春菜,zh-CN,en,900477,战巡,联动阵营,
Harutsuki,春月,zh-CN,en,301571,驱逐,重樱,
Hass,莲,zh-CN,en,10800031,轻巡,联动阵营,
Hatakaze,旗风,zh-CN,en,301791,驱逐,重樱,
Hatakaze META,旗风·META,zh-CN,en,9701031,驱逐,META,META
Hatakaze.META,旗风·META,zh-CN,en,9701031,驱逐,META,META
Hatsuharu,初春,zh-CN,en,301211,驱逐,重樱,
Hatsushimo,初霜,zh-CN,en,301241,驱逐,重樱,
Hatsuzuki,初月,zh-CN,en,301891,驱逐,重樱,
Hazelwood,黑泽伍德,zh-CN,en,101341,驱逐,白鹰,
HDN Black Heart,圣黑之心,zh-CN,en,10100061,重巡,联动阵营,
HDN Blanc,布兰,zh-CN,en,900076,驱逐,联动阵营,
HDN Green Heart,翡绿之心,zh-CN,en,10100081,正航,联动阵营,
HDN Neptune,涅普顿,zh-CN,en,10100011,轻巡,联动阵营,
HDN Noire,诺瓦露,zh-CN,en,10100021,重巡,联动阵营,
HDN Purple Heart,绀紫之心,zh-CN,en,10100051,轻巡,联动阵营,
HDN Vert,贝露,zh-CN,en,900077,正航,联动阵营,
HDN White Heart,群白之心,zh-CN,en,10100071,驱逐,联动阵营,
Helena,海伦娜,zh-CN,en,102051,轻巡,白鹰,
Helena META,海伦娜·META,zh-CN,en,9702011,轻巡,META,META
Hermes,竞技神,zh-CN,en,206011,轻航,皇家,
Hermione,赫敏,zh-CN,en,202271,轻巡,皇家,
Hero,英雄,zh-CN,en,201361,驱逐,皇家,
Herring,鲱鱼,zh-CN,en,108091,潜艇,白鹰,
Hestia,赫斯缇雅,zh-CN,en,11400011,维修,联动阵营,
Hibiki,响,zh-CN,en,301101,驱逐,重樱,
Hiei,比叡,zh-CN,en,304021,战巡,重樱,
Hiei META,比叡·META（前排）,zh-CN,en,900450,超巡,META,META
Hiei-chan,小比叡,zh-CN,en,304061,战巡,重樱,
Hiei.META,比叡·META（前排）,zh-CN,en,900450,超巡,META,META
Hime,公主,zh-CN,en,10800091,运输,联动阵营,
Hindenburg,兴登堡,zh-CN,en,499091,重巡,铁血,
Hiryu.META,飞龙·META,zh-CN,en,900333,正航,META,META
Hiryuu,飞龙,zh-CN,en,307041,正航,重樱,
Hiyou,飞鹰,zh-CN,en,306011,轻航,重樱,
Hiyou META,飞鹰·META,zh-CN,en,9706011,轻航,META,META
HMS Abercrombie,阿贝克隆比,zh-CN,en,213041,重炮,皇家,
HMS Acasta,阿卡司塔,zh-CN,en,201021,驱逐,皇家,
HMS Achilles,阿基里斯,zh-CN,en,202021,轻巡,皇家,
HMS Ajax,阿贾克斯,zh-CN,en,202031,轻巡,皇家,
HMS Albion,阿尔比恩,zh-CN,en,206071,轻航,皇家,
HMS Amazon,女将,zh-CN,en,201011,驱逐,皇家,
HMS Ardent,热心,zh-CN,en,201031,驱逐,皇家,
HMS Arethusa,阿瑞托莎,zh-CN,en,202131,轻巡,皇家,
HMS Argus,百眼巨人,zh-CN,en,206021,轻航,皇家,
HMS Ark Royal,皇家方舟,zh-CN,en,207021,正航,皇家,
HMS Aurora,欧若拉,zh-CN,en,202151,轻巡,皇家,
HMS Beagle,小猎兔犬,zh-CN,en,201061,驱逐,皇家,
HMS Belfast,贝尔法斯特,zh-CN,en,202121,轻巡,皇家,
HMS Bellona,司战女神,zh-CN,en,202311,轻巡,皇家,
HMS Black Prince,黑太子,zh-CN,en,202241,轻巡,皇家,
HMS Bulldog,大斗犬,zh-CN,en,201071,驱逐,皇家,
HMS Centaur,半人马,zh-CN,en,206041,轻航,皇家,
HMS Charybdis,卡律布狄斯,zh-CN,en,202301,轻巡,皇家,
HMS Chaser,追赶者,zh-CN,en,206051,轻航,皇家,
HMS Cheshire,小柴郡,zh-CN,en,203101,重巡,皇家,
HMS Cleopatra,克利奥佩特拉,zh-CN,en,202351,轻巡,皇家,
HMS Comet,彗星,zh-CN,en,201081,驱逐,皇家,
