id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
AffinityQuest.10801.1,卡西米拉完成{1}次星塔探索,Complete {1} Ascension with Kasimira,カシミラと星ノ塔を{1}回探索する,카시미라와 별의 탑 탐색 {1}회 완료,卡西米拉完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.10802.1,完成{1}次与卡西米拉的邀约,Invited and hung out with Kasimira {1} time,カシミラと{1}回デートする,카시미라와 약속 {1}회 진행,完成{1}次與卡西米拉的邀約,AffinityQuest.json
AffinityQuest.10803.1,卡西米拉进阶到{1}阶,Kasimira reaches Tier {1},カシミラをランク{1}にする,카시미라 {1}승급 달성,卡西米拉進階到{1}階,AffinityQuest.json
AffinityQuest.10804.1,卡西米拉累计升级{1}次技能,Upgraded Kasimira's skills {1} times,カシミラのスキルを{1}回レベルアップする,카시미라 스킬 {1}회 레벨업,卡西米拉升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.10805.1,卡西米拉保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Kasimira,カシミラを含む記録レベルが{2}以上の記録を{1}件保存する,카시미라로 {1}개의 평점 레벨 {2} 기록 저장,卡西米拉保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.10807.1,卡西米拉所有技能等级提升到{1}级或以上,All Kasimira's skills ≥ Lv.{1},カシミラのすべてのスキルレベルを{1}以上にする,카시미라의 모든 스킬 {1}레벨 이상 달성,卡西米拉的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.10809.1,累计收集卡西米拉的潜能数量达到{1},Collect Kasimira's Potential ×{1},カシミラの素質を{1}種類収集する,카시미라 잠재력 수집 누적 수량 {1}개 달성,收集卡西米拉的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.11001.1,翡冷翠完成{1}次星塔探索,Complete {1} Ascension with Firenze,フィレンと星ノ塔を{1}回探索する,피렌과 별의 탑 탐색 {1}회 완료,翡冷翠完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.11002.1,完成{1}次与翡冷翠的邀约,Invited and hung out with Firenze {1} time,フィレンと{1}回デートする,피렌과 약속 {1}회 진행,完成{1}次與翡冷翠的邀約,AffinityQuest.json
AffinityQuest.11003.1,翡冷翠进阶到{1}阶,Firenze reaches Tier {1},フィレンをランク{1}にする,피렌 {1}승급 달성,翡冷翠進階到{1}階,AffinityQuest.json
AffinityQuest.11004.1,翡冷翠累计升级{1}次技能,Upgraded Firenze's skills {1} times,フィレンのスキルを{1}回レベルアップする,피렌 스킬 {1}회 레벨업,翡冷翠升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.11005.1,翡冷翠保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Firenze,フィレンを含む記録レベルが{2}以上の記録を{1}件保存する,피렌으로 {1}개의 평점 레벨 {2} 기록 저장,翡冷翠保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.11007.1,翡冷翠所有技能等级提升到{1}级或以上,All Firenze's skills ≥Lv.{1},フィレンのすべてのスキルレベルを{1}以上にする,피렌의 모든 스킬 {1}레벨 이상 달성,翡冷翠的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.11009.1,累计收集翡冷翠的潜能数量达到{1},Collect Firenze's Potential ×{1},フィレンの素質を{1}種類収集する,피렌 잠재력 수집 누적 수량 {1}개 달성,收集翡冷翠的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.11101.1,鸢尾完成{1}次星塔探索,Complete {1} Ascension with Iris,アヤメと星ノ塔を{1}回探索する,아야메와 별의 탑 탐색 {1}회 완료,鳶尾完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.11102.1,完成{1}次与鸢尾的邀约,Invited and hung out with Iris {1} time,アヤメと{1}回デートする,아야메와 약속 {1}회 진행,完成{1}次與鳶尾的邀約,AffinityQuest.json
AffinityQuest.11103.1,鸢尾进阶到{1}阶,Iris reaches Tier {1},アヤメをランク{1}にする,아야메 {1}승급 달성,鳶尾進階到{1}階,AffinityQuest.json
AffinityQuest.11104.1,鸢尾累计升级{1}次技能,Upgraded Iris's skills {1} times,アヤメのスキルを{1}回レベルアップする,아야메 스킬 {1}회 레벨업,鳶尾升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.11105.1,鸢尾保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Iris,アヤメを含む記録レベルが{2}以上の記録を{1}件保存する,아야메로 {1}개의 평점 레벨 {2} 기록 저장,鳶尾保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.11107.1,鸢尾所有技能等级提升到{1}级或以上,All Iris's skills ≥ Lv.{1},アヤメのすべてのスキルレベルを{1}以上にする,아야메의 모든 스킬 {1}레벨 이상 달성,鳶尾的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.11109.1,累计收集鸢尾的潜能数量达到{1},Collect Iris's Potential ×{1},アヤメの素質を{1}種類収集する,아야메 잠재력 수집 누적 수량 {1}개 달성,收集鳶尾的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.11201.1,尘沙完成{1}次星塔探索,Complete {1} Ascension with Noya,セイナと星ノ塔を{1}回探索する,세이나와 별의 탑 탐색 {1}회 완료,塵沙完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.11202.1,完成{1}次与尘沙的邀约,Invited and hung out with Noya {1} time,セイナと{1}回デートする,세이나와 약속 {1}회 진행,完成{1}次與塵沙的邀約,AffinityQuest.json
AffinityQuest.11203.1,尘沙进阶到{1}阶,Noya reaches Tier {1},セイナをランク{1}にする,세이나 {1}승급 달성,塵沙進階到{1}階,AffinityQuest.json
AffinityQuest.11204.1,尘沙累计升级{1}次技能,Upgraded Noya's skills {1} times,セイナのスキルを{1}回レベルアップする,세이나 스킬 {1}회 레벨업,塵沙升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.11205.1,尘沙保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Noya,セイナを含む記録レベルが{2}以上の記録を{1}件保存する,세이나로 {1}개의 평점 레벨 {2} 기록 저장,塵沙保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.11207.1,尘沙所有技能等级提升到{1}级或以上,All Noya's skills ≥ Lv.{1},セイナのすべてのスキルレベルを{1}以上にする,세이나의 모든 스킬 {1}레벨 이상 달성,塵沙的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.11209.1,累计收集尘沙的潜能数量达到{1},Collect Noya's Potential ×{1},セイナの素質を{1}種類収集する,세이나 잠재력 수집 누적 수량 {1}개 달성,收集塵沙的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.11301.1,师渺完成{1}次星塔探索,Complete {1} Ascension with Shimiao,シーミャオと星ノ塔を{1}回探索する,시먀오와 별의 탑 탐색 {1}회 완료,師渺完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.11302.1,完成{1}次与师渺的邀约,Invited and hung out with Shimiao {1} time,シーミャオと{1}回デートする,시먀오와 약속 {1}회 진행,完成{1}次與師渺的邀約,AffinityQuest.json
AffinityQuest.11303.1,师渺进阶到{1}阶,Shimiao reaches Tier {1},シーミャオをランク{1}にする,시먀오 {1}승급 달성,師渺進階到{1}階,AffinityQuest.json
AffinityQuest.11304.1,师渺累计升级{1}次技能,Upgraded Shimiao's skills {1} times,シーミャオのスキルを{1}回レベルアップする,시먀오 스킬 {1}회 레벨업,師渺升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.11305.1,师渺保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Shimiao,シーミャオを含む記録レベルが{2}以上の記録を{1}件保存する,시먀오로 {1}개의 평점 레벨 {2} 기록 저장,師渺保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.11307.1,师渺所有技能等级提升到{1}级或以上,All Shimiao's skills ≥ Lv.{1},シーミャオのすべてのスキルレベルを{1}以上にする,시먀오의 모든 스킬 {1}레벨 이상 달성,師渺的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.11309.1,累计收集师渺的潜能数量达到{1},Collect Shimiao's Potential ×{1},シーミャオの素質を{1}種類収集する,시먀오 잠재력 수집 누적 수량 {1}개 달성,收集師渺的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.11401.1,猫眼完成{1}次星塔探索,Complete {1} Ascension with Chaton,シャトンと星ノ塔を{1}回探索する,샤통과 별의 탑 탐색 {1}회 완료,貓眼完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.11402.1,完成{1}次与猫眼的邀约,Invited and hung out with Chaton {1} times,シャトンと{1}回デートする,샤통과 약속 {1}회 진행,完成{1}次與貓眼的邀約,AffinityQuest.json
AffinityQuest.11403.1,猫眼进阶到{1}阶,Chaton reaches Tier {1},シャトンをランク{1}にする,샤통 {1}승급 달성,貓眼進階到{1}階,AffinityQuest.json
AffinityQuest.11404.1,猫眼累计升级{1}次技能,Upgraded Chaton's skills {1} times,シャトンのスキルを{1}回レベルアップする,샤통 스킬 {1}회 레벨업,貓眼升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.11405.1,猫眼保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Chaton,シャトンを含む記録レベルが{2}以上の記録を{1}件保存する,샤통으로 {1}개의 평점 레벨 {2} 기록 저장,貓眼保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.11407.1,猫眼所有技能等级提升到{1}级或以上,All Chaton's skills ≥{1},シャトンのすべてのスキルレベルを{1}以上にする,샤통의 모든 스킬 {1}레벨 이상 달성,貓眼的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.11409.1,累计收集猫眼的潜能数量达到{1},Collect Chaton's Potential ×{1},シャトンの素質を{1}種類収集する,샤통 잠재력 수집 누적 수량 {1}개 달성,收集貓眼的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.11501.1,火垂完成{1}次星塔探索,Firefly has completed {1} Ascensions.,ホタルと星ノ塔を{1}回探索する,호타루와 별의 탑 탐색 {1}회 완료,火垂完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.11502.1,完成{1}次与火垂的邀约,Invited and hung out with Firefly {1} times.,ホタルと{1}回デートする,호타루와 약속 {1}회 진행,完成{1}次與火垂的邀約,AffinityQuest.json
AffinityQuest.11503.1,火垂进阶到{1}阶,Firefly has reached Tier {1}.,ホタルをランク{1}にする,호타루 {1}승급 달성,火垂進階到{1}階,AffinityQuest.json
AffinityQuest.11504.1,火垂累计升级{1}次技能,Upgraded Firefly's skills {1} times.,ホタルのスキルを{1}回レベルアップする,호타루 스킬 {1}회 레벨업,火垂升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.11505.1,火垂保存{1}份评分等级达到{2}级的纪录,Firefly has saved {1} records with a rating level of {2}.,ホタルを含む記録レベルが{2}以上の記録を{1}件保存する,호타루로 {1}개의 평점 레벨 {2} 기록 저장,火垂保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.11507.1,火垂所有技能等级提升到{1}级或以上,All of Firefly's skills are at Level {1} or higher.,ホタルのすべてのスキルレベルを{1}以上にする,호타루의 모든 스킬 {1}레벨 이상 달성,火垂的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.11509.1,累计收集火垂的潜能数量达到{1},Obtained {1} Firefly's Potentials.,ホタルの素質を{1}種類収集する,호타루 잠재력 수집 누적 수량 {1}개 달성,收集火垂的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.11601.1,岭川完成{1}次星塔探索,Complete {1} Ascension with Ridge,レイセンと星ノ塔を{1}回探索する,레이센와 별의 탑 탐색 {1}회 완료,嶺川完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.11602.1,完成{1}次与岭川的邀约,Invite and hang out with Ridge {1} time,レイセンと{1}回デートする,레이센와 약속 {1}회 진행,完成{1}次與嶺川的邀約,AffinityQuest.json
AffinityQuest.11603.1,岭川进阶到{1}阶,Ridge reaches Tier {1},レイセンをランク{1}にする,레이센 {1}승급 달성,嶺川進階到{1}階,AffinityQuest.json
AffinityQuest.11604.1,岭川累计升级{1}次技能,Upgrade Ridge's skills {1} times,レイセンのスキルを{1}回レベルアップする,레이센 스킬 {1}회 레벨업,嶺川升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.11605.1,岭川保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Ridge,レイセンを含む記録レベルが{2}以上の記録を{1}件保存する,레이센으로 {1}개의 평점 레벨 {2} 기록 저장,嶺川保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.11607.1,岭川所有技能等级提升到{1}级或以上,All Ridge's skills ≥ Lv.{1},レイセンのすべてのスキルレベルを{1}以上にする,레이센의 모든 스킬 {1}레벨 이상 달성,嶺川的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.11609.1,累计收集岭川的潜能数量达到{1},Collect Ridge's Potential ×{1},レイセンの素質を{1}種類収集する,레이센 잠재력 수집 누적 수량 {1}개 달성,收集嶺川的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.11701.1,璟麟完成{1}次星塔探索,Complete {1} Ascension with Jinglin,ジンリンと星ノ塔を{1}回探索する,징린과 별의 탑 탐색 {1}회 완료,璟麟完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.11702.1,完成{1}次与璟麟的邀约,Invited and hung out with Jinglin {1} time,ジンリンと{1}回デートする,징린과 약속 {1}회 진행,完成{1}次與璟麟的邀約,AffinityQuest.json
AffinityQuest.11703.1,璟麟进阶到{1}阶,Jinglin reaches Tier {1},ジンリンをランク{1}にする,징린 {1}승급 달성,璟麟進階到{1}階,AffinityQuest.json
AffinityQuest.11704.1,璟麟累计升级{1}次技能,Upgraded Jinglin's skills {1} times,ジンリンのスキルを{1}回レベルアップする,징린 스킬 {1}회 레벨업,璟麟升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.11705.1,璟麟保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Jinglin,ジンリンを含む記録レベルが{2}以上の記録を{1}件保存する,징린으로 {1}개의 평점 레벨 {2} 기록 저장,璟麟保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.11707.1,璟麟所有技能等级提升到{1}级或以上,All Jinglin's skills ≥ Lv.{1},ジンリンのすべてのスキルレベルを{1}以上にする,징린의 모든 스킬 {1}레벨 이상 달성,璟麟的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.11709.1,累计收集璟麟的潜能数量达到{1},Collect Jinglin's Potential ×{1},ジンリンの素質を{1}種類収集する,징린 잠재력 수집 누적 수량 {1}개 달성,收集璟麟的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.11801.1,科洛妮丝完成{1}次星塔探索,Complete {1} Ascension with Coronis,クルニスと星ノ塔を{1}回探索する,크루니스와 별의 탑 탐색 {1}회 완료,柯洛妮絲完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.11802.1,完成{1}次与科洛妮丝的邀约,Invited and hung out with Coronis {1} time,クルニスと{1}回デートする,크루니스와 약속 {1}회 진행,完成{1}次與柯洛妮絲的邀約,AffinityQuest.json
AffinityQuest.11803.1,科洛妮丝进阶到{1}阶,Coronis reaches Tier {1},クルニスをランク{1}にする,크루니스 {1}승급 달성,柯洛妮絲進階到{1}階,AffinityQuest.json
AffinityQuest.11804.1,科洛妮丝累计升级{1}次技能,Upgraded Coronis's skills {1} times,クルニスのスキルを{1}回レベルアップする,크루니스 스킬 {1}회 레벨업,柯洛妮絲升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.11805.1,科洛妮丝保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Coronis,クルニスを含む記録レベルが{2}以上の記録を{1}件保存する,크루니스로 {1}개의 평점 레벨 {2} 기록 저장,柯洛妮絲保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.11807.1,科洛妮丝所有技能等级提升到{1}级或以上,All Coronis's skills ≥ Lv.{1},クルニスのすべてのスキルレベルを{1}以上にする,크루니스의 모든 스킬 {1}레벨 이상 달성,柯洛妮絲的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.11809.1,累计收集科洛妮丝的潜能数量达到{1},Collect Coronis's Potential ×{1},クルニスの素質を{1}種類収集する,크루니스 잠재력 수집 누적 수량 {1}개 달성,收集柯洛妮絲的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.11901.1,花原完成{1}次星塔探索,Complete {1} Ascension with Nanoha,ナノハと星ノ塔を{1}回探索する,나노하와 별의 탑 탐색 {1}회 완료,花原完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.11902.1,完成{1}次与花原的邀约,Invited and hung out with Nanoha {1} time,ナノハと{1}回デートする,나노하와 약속 {1}회 진행,完成{1}次與花原的邀約,AffinityQuest.json
AffinityQuest.11903.1,花原进阶到{1}阶,Nanoha reaches Tier {1},ナノハをランク{1}にする,나노하 {1}승급 달성,花原進階到{1}階,AffinityQuest.json
AffinityQuest.11904.1,花原累计升级{1}次技能,Upgraded Nanoha's skills {1} times,ナノハのスキルを{1}回レベルアップする,나노하 스킬 {1}회 레벨업,花原升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.11905.1,花原保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Nanoha,ナノハを含む記録レベルが{2}以上の記録を{1}件保存する,나노하로 {1}개의 평점 레벨 {2} 기록 저장,花原保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.11907.1,花原所有技能等级提升到{1}级或以上,All Nanoha's skills ≥ Lv.{1},ナノハのすべてのスキルレベルを{1}以上にする,나노하의 모든 스킬 {1}레벨 이상 달성,花原的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.11909.1,累计收集花原的潜能数量达到{1},Collect Nanoha's Potential ×{1},ナノハの素質を{1}種類収集する,나노하 잠재력 수집 누적 수량 {1}개 달성,收集花原的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.12001.1,卡娜丝完成{1}次星塔探索,Complete {1} Ascension with Canace,カナーチェと星ノ塔を{1}回探索する,카나체와 별의 탑 탐색 {1}회 완료,卡娜絲完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.12002.1,完成{1}次与卡娜丝的邀约,Invited and hung out with Canace {1} time,カナーチェと{1}回デートする,카나체와 약속 {1}회 진행,完成{1}次與卡娜絲的邀約,AffinityQuest.json
AffinityQuest.12003.1,卡娜丝进阶到{1}阶,Canace reaches Tier {1},カナーチェをランク{1}にする,카나체 {1}승급 달성,卡娜絲進階到{1}階,AffinityQuest.json
AffinityQuest.12004.1,卡娜丝累计升级{1}次技能,Upgraded Canace's skills {1} times,カナーチェのスキルを{1}回レベルアップする,카나체 스킬 {1}회 레벨업,卡娜絲升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.12005.1,卡娜丝保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Canace,カナーチェを含む記録レベルが{2}以上の記録を{1}件保存する,카나체로 {1}개의 평점 레벨 {2} 기록 저장,卡娜絲保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.12007.1,卡娜丝所有技能等级提升到{1}级或以上,All Canace's skills ≥ Lv.{1},カナーチェのすべてのスキルレベルを{1}以上にする,카나체의 모든 스킬 {1}레벨 이상 달성,卡娜絲的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.12009.1,累计收集卡娜丝的潜能数量达到{1},Collect Canace's Potentials ×{1},カナーチェの素質を{1}種類収集する,카나체 잠재력 수집 누적 수량 {1}개 달성,收集卡娜絲的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.12301.1,杏子完成{1}次星塔探索,Complete {1} Ascension with Ann,アンズと星ノ塔を{1}回探索する,안즈와 별의 탑 탐색 {1}회 완료,杏子完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.12302.1,完成{1}次与杏子的邀约,Invited and hung out with Ann {1} time,アンズと{1}回デートする,안즈와 약속 {1}회 진행,完成{1}次與杏子的邀約,AffinityQuest.json
AffinityQuest.12303.1,杏子进阶到{1}阶,Ann reaches Tier {1},アンズをランク{1}にする,안즈 {1}승급 달성,杏子進階到{1}階,AffinityQuest.json
AffinityQuest.12304.1,杏子累计升级{1}次技能,Upgraded Ann's skills {1} times,アンズのスキルを{1}回レベルアップする,안즈 스킬 {1}회 레벨업,杏子升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.12305.1,杏子保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Ann,アンズを含む記録レベルが{2}以上の記録を{1}件保存する,안즈로 {1}개의 평점 레벨 {2} 기록 저장,杏子保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.12307.1,杏子所有技能等级提升到{1}级或以上,All Ann's skills ≥ Lv.{1},アンズのすべてのスキルレベルを{1}以上にする,안즈의 모든 스킬 {1}레벨 이상 달성,杏子的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.12309.1,累计收集杏子的潜能数量达到{1},Collect Ann's Potential ×{1},アンズの素質を{1}種類収集する,안즈 잠재력 수집 누적 수량 {1}개 달성,收集杏子的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.12501.1,苍兰完成{1}次星塔探索,Complete {1} Ascension with Freesia,フリージアと星ノ塔を{1}回探索する,프리지아와 별의 탑 탐색 {1}회 완료,蒼蘭完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.12502.1,完成{1}次与苍兰的邀约,Invited and hung out with Freesia {1} time,フリージアと{1}回デートする,프리지아와 약속 {1}회 진행,完成{1}次與蒼蘭的邀約,AffinityQuest.json
AffinityQuest.12503.1,苍兰进阶到{1}阶,Freesia reaches Tier {1},フリージアをランク{1}にする,프리지아 {1}승급 달성,蒼蘭進階到{1}階,AffinityQuest.json
AffinityQuest.12504.1,苍兰累计升级{1}次技能,Upgraded Freesia's skills {1} times,フリージアのスキルを{1}回レベルアップする,프리지아 스킬 {1}회 레벨업,蒼蘭升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.12505.1,苍兰保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Freesia,フリージアを含む記録レベルが{2}以上の記録を{1}件保存する,프리지아로 {1}개의 평점 레벨 {2} 기록 저장,蒼蘭保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.12507.1,苍兰所有技能等级提升到{1}级或以上,All Freesia's skills ≥ Lv.{1},フリージアのすべてのスキルレベルを{1}以上にする,프리지아의 모든 스킬 {1}레벨 이상 달성,蒼蘭的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.12509.1,累计收集苍兰的潜能数量达到{1},Collect Freesia's Potential ×{1},フリージアの素質を{1}種類収集する,프리지아 잠재력 수집 누적 수량 {1}개 달성,收集蒼蘭的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.12601.1,紫槿完成{1}次星塔探索,Complete {1} Ascension with Flora,フローラと星ノ塔を{1}回探索する,플로라와 별의 탑 탐색 {1}회 완료,紫槿完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.12602.1,完成{1}次与紫槿的邀约,Invited and hung out with Flora {1} time,フローラと{1}回デートする,플로라와 약속 {1}회 진행,完成{1}次與紫槿的邀約,AffinityQuest.json
AffinityQuest.12603.1,紫槿进阶到{1}阶,Flora reaches Tier {1},フローラをランク{1}にする,플로라 {1}승급 달성,紫槿進階到{1}階,AffinityQuest.json
AffinityQuest.12604.1,紫槿累计升级{1}次技能,Upgraded Flora's skills {1} times,フローラのスキルを{1}回レベルアップする,플로라 스킬 {1}회 레벨업,紫槿升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.12605.1,紫槿保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Flora,フローラを含む記録レベルが{2}以上の記録を{1}件保存する,플로라로 {1}개의 평점 레벨 {2} 기록 저장,紫槿保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
