source,target,tgt_lng,src_lng,ship_id,ship_type_zh,ship_type_en,nation_zh,nation_en,variant,zh_CN_form,zh_CN_standard,zh_CN_harmonised,same_source_alternatives
Akatsuki,暁,ja-JP,en-US,301091,驱逐,Destroyer,重樱,Sakura Empire,,,晓,枫,
Alabama,アラバマ,ja-JP,en-US,105201,战列,Battleship,白鹰,Eagle Union,,,阿拉巴马,,
Albacore,アルバコア,ja-JP,en-US,108021,潜艇,Submarine,白鹰,Eagle Union,,,大青花鱼,,
Albacore μ,アルバコア(μ兵装),ja-JP,en-US,108051,潜艇,Submarine,白鹰,Eagle Union,μ兵装,,大青花鱼(μ兵装),,
Alberto di Giussano,アルベルト・ディ・ジュッサーノ,ja-JP,en-US,602041,轻巡,Light Cruiser,撒丁帝国,Sardegna Empire,,,阿尔贝托·迪·朱塞诺,,
Albion,アルビオン,ja-JP,en-US,206071,轻航,Light Carrier,皇家,Royal Navy,,,阿尔比恩,,
Alfredo Oriani,アルフレード・オリアーニ,ja-JP,en-US,601081,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,阿尔弗雷多·奥里亚尼,,
Algérie,阿尔及利亚-王国军方旗骑士,ja-JP,en-US,900419,重巡,Heavy Cruiser,通用,Universal,,,阿尔及利亚-王国军方旗骑士,,阿尔及利亚-王国军方旗骑士 [通用 重巡] | アルジェリー [维希教廷 重巡]
Algérie,アルジェリー,ja-JP,en-US,903021,重巡,Heavy Cruiser,维希教廷,Vichya Dominion,,,阿尔及利亚,,阿尔及利亚-王国军方旗骑士 [通用 重巡] | アルジェリー [维希教廷 重巡]
Algérie META,アルジェリー(META),ja-JP,en-US,9703021,重巡,Heavy Cruiser,META,META,META,,阿尔及利亚·META,,
Algérie.META,アルジェリー(META),ja-JP,en-US,9703021,重巡,Heavy Cruiser,META,META,META,,阿尔及利亚·META,,
Allen M. Sumner,アレン・M・サムナー,ja-JP,en-US,101451,驱逐,Destroyer,白鹰,Eagle Union,,,艾伦·萨姆纳,,
Alsace,アルザス,ja-JP,en-US,805031,战列,Battleship,自由鸢尾,Iris Libre,,,阿尔萨斯,,
Alvitr,アルヴィト,ja-JP,en-US,404061,战巡,Battlecruiser,铁血,Iron Blood,,,亚尔薇特,,
Amagi,天城,ja-JP,en-US,304051,战巡,Battlecruiser,重樱,Sakura Empire,,,天城,鳐,
Amagi(CV),天城(空母),ja-JP,en-US,307151,正航,Aircraft Carrier,重樱,Sakura Empire,,,天城,鳐,
Amagi-chan,天城ちゃん,ja-JP,en-US,304071,战巡,Battlecruiser,重樱,Sakura Empire,,,小天城,小鳐,
Amazon,アマゾン,ja-JP,en-US,201011,驱逐,Destroyer,皇家,Royal Navy,,,女将,,
Ami Futami,双海亜美,ja-JP,en-US,10700061,潜艇,Submarine,联动阵营,Collab,,,双海亚美,,
Amity,和睦号,ja-JP,en-US,900523,风帆,Sailing Frigate,飓风船团,Tempesta,,,和睦号,,
An Shan,鞍山,ja-JP,en-US,501011,驱逐,Destroyer,东煌,Dragon Empery,,,鞍山,,
Anchorage,アンカレッジ,ja-JP,en-US,199031,重巡,Heavy Cruiser,白鹰,Eagle Union,,,安克雷奇,,
Andrea Doria,アンドレア・ドーリア,ja-JP,en-US,605071,战列,Battleship,撒丁帝国,Sardegna Empire,,,安德烈亚·多利亚,,
Andrea Doria META,安德烈亚·多利亚·META,ja-JP,en-US,900492,战列,Battleship,META,META,META,,安德烈亚·多利亚·META,,
Andrea Doria.META,安德烈亚·多利亚·META,ja-JP,en-US,900492,战列,Battleship,META,META,META,,安德烈亚·多利亚·META,,
Anniversary Kizuna AI,キズナアイ・アニバーサリー,ja-JP,en-US,10400031,正航,Aircraft Carrier,联动阵营,Collab,,,绊爱·Anniversary,,
Aoba,青葉,ja-JP,en-US,303031,重巡,Heavy Cruiser,重樱,Sakura Empire,,,青叶,犹,
Aquila,アクィラ,ja-JP,en-US,607011,正航,Aircraft Carrier,撒丁帝国,Sardegna Empire,,,天鹰,,
Arashio,荒潮,ja-JP,en-US,301661,驱逐,Destroyer,重樱,Sakura Empire,,,荒潮,栘,
Archerfish,アーチャーフィッシュ,ja-JP,en-US,108061,潜艇,Submarine,白鹰,Eagle Union,,,射水鱼,喷水鱼,
Ardent,アーデント,ja-JP,en-US,201031,驱逐,Destroyer,皇家,Royal Navy,,,热心,,
Arethusa,アリシューザ,ja-JP,en-US,202131,轻巡,Light Cruiser,皇家,Royal Navy,,,阿瑞托莎,,
Argus,アーガス,ja-JP,en-US,206021,轻航,Light Carrier,皇家,Royal Navy,,,百眼巨人,,
Ariake,有明,ja-JP,en-US,301251,驱逐,Destroyer,重樱,Sakura Empire,,,有明,榎,
Arizona,アリゾナ,ja-JP,en-US,105041,战列,Battleship,白鹰,Eagle Union,,,亚利桑那,,
Arizona META,アリゾナ(META),ja-JP,en-US,9705031,战列,Battleship,META,META,META,,亚利桑那·META,,
Arizona.META,アリゾナ(META),ja-JP,en-US,9705031,战列,Battleship,META,META,META,,亚利桑那·META,,
Ark Royal,アーク・ロイヤル,ja-JP,en-US,207021,正航,Aircraft Carrier,皇家,Royal Navy,,,皇家方舟,,
Ark Royal.META,アーク・ロイヤル(META),ja-JP,en-US,900334,正航,Aircraft Carrier,META,META,META,,皇家方舟·META,,
Arkhangelsk,アルハンゲリスク,ja-JP,en-US,705061,战列,Battleship,北方联合,Northern Parliament,,,阿尔汉格尔斯克,,
Asama,浅間,ja-JP,en-US,303201,重巡,Heavy Cruiser,重樱,Sakura Empire,,,浅间,猏,
Asanagi,朝凪,ja-JP,en-US,301901,驱逐,Destroyer,重樱,Sakura Empire,,,朝凪,桎,
Asashio,朝潮,ja-JP,en-US,301631,驱逐,Destroyer,重樱,Sakura Empire,,,朝潮,棹,
Ashigara,足柄,ja-JP,en-US,303091,重巡,Heavy Cruiser,重樱,Sakura Empire,,,足柄,狳,
Astoria,アストリア,ja-JP,en-US,103081,重巡,Heavy Cruiser,白鹰,Eagle Union,,,阿斯托利亚,,
Asuka,飛鳥,ja-JP,en-US,11000011,轻巡,Light Cruiser,联动阵营,Collab,,,飞鸟,,
Atago,愛宕,ja-JP,en-US,303121,重巡,Heavy Cruiser,重樱,Sakura Empire,,,爱宕,犬,
Atlanta,アトランタ,ja-JP,en-US,102061,轻巡,Light Cruiser,白鹰,Eagle Union,,,亚特兰大,,
Attilio Regolo,アッティリオ・レゴロ,ja-JP,en-US,601101,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,阿蒂利奥·雷戈洛,,
August von Parseval,アウグスト・フォン・パーセヴァル,ja-JP,en-US,499061,正航,Aircraft Carrier,铁血,Iron Blood,,,奥古斯特·冯·帕塞瓦尔,奥斯特雷德·冯·帕赫贝尔,
Aulick,オーリック,ja-JP,en-US,101131,驱逐,Destroyer,白鹰,Eagle Union,,,奥利克,,
Aurora,オーロラ,ja-JP,en-US,202151,轻巡,Light Cruiser,皇家,Royal Navy,,,欧若拉,,
Avrora,アヴローラ,ja-JP,en-US,702011,轻巡,Light Cruiser,北方联合,Northern Parliament,,,阿芙乐尔,,
Ayanami,綾波,ja-JP,en-US,301051,驱逐,Destroyer,重樱,Sakura Empire,,,绫波,柚,綾波 [重樱 驱逐] | 绫波-传说级格斗家 [通用 驱逐]
Ayanami,绫波-传说级格斗家,ja-JP,en-US,900412,驱逐,Destroyer,通用,Universal,,,绫波-传说级格斗家,,綾波 [重樱 驱逐] | 绫波-传说级格斗家 [通用 驱逐]
Ayase,綾瀬,ja-JP,en-US,302261,轻巡,Light Cruiser,重樱,Sakura Empire,,,绫濑,狑,
Aylwin,エールウィン,ja-JP,en-US,101401,驱逐,Destroyer,白鹰,Eagle Union,,,艾尔温,,
Azuma,吾妻,ja-JP,en-US,399041,超巡,Large Cruiser,重樱,Sakura Empire,,,吾妻,猉,
Azusa Miura,三浦あずさ,ja-JP,en-US,10700041,重巡,Heavy Cruiser,联动阵营,Collab,,,三浦 梓,,
Bache,バッチ,ja-JP,en-US,101351,驱逐,Destroyer,白鹰,Eagle Union,,,贝奇,,
Bailey,ベイリー,ja-JP,en-US,101271,驱逐,Destroyer,白鹰,Eagle Union,,,贝利,,
Baltimore,ボルチモア,ja-JP,en-US,103161,重巡,Heavy Cruiser,白鹰,Eagle Union,,,巴尔的摩,,
Baltimore μ,ボルチモア(μ兵装),ja-JP,en-US,103251,重巡,Heavy Cruiser,白鹰,Eagle Union,μ兵装,,巴尔的摩(μ兵装),,
Bartolomeo Colleoni,バルトロメオ・コレオーニ,ja-JP,en-US,602031,轻巡,Light Cruiser,撒丁帝国,Sardegna Empire,,,巴托洛梅奥·科莱奥尼,,
Bataan,バターン,ja-JP,en-US,107291,轻航,Light Carrier,白鹰,Eagle Union,,,巴丹,,
Bayard,バヤール,ja-JP,en-US,899041,轻巡,Light Cruiser,自由鸢尾,Iris Libre,,,贝亚德,,
Beagle,ビーグル,ja-JP,en-US,201061,驱逐,Destroyer,皇家,Royal Navy,,,小猎兔犬,,
Belfast,ベルファスト,ja-JP,en-US,202121,轻巡,Light Cruiser,皇家,Royal Navy,,,贝尔法斯特,,
Bell,ベル,ja-JP,en-US,101521,驱逐,Destroyer,白鹰,Eagle Union,,,贝尔,,
Bellona,ベローナ,ja-JP,en-US,202311,轻巡,Light Cruiser,皇家,Royal Navy,,,司战女神,,
Benson,ベンソン,ja-JP,en-US,101161,驱逐,Destroyer,白鹰,Eagle Union,,,本森,,
Biloxi,ビロクシ,ja-JP,en-US,102251,轻巡,Light Cruiser,白鹰,Eagle Union,,,比洛克西,,
Birmingham,バーミンガム,ja-JP,en-US,102231,轻巡,Light Cruiser,白鹰,Eagle Union,,,伯明翰,,
Bismarck,ビスマルク,ja-JP,en-US,405011,战列,Battleship,铁血,Iron Blood,,,俾斯麦,奥德莉亚,
Bismarck Zwei,ビスマルクZwei,ja-JP,en-US,405051,战列,Battleship,铁血,Iron Blood,,,俾斯麦Zwei,奥德莉亚Zwei,
Black Heart,ブラックハート,ja-JP,en-US,10100061,重巡,Heavy Cruiser,联动阵营,Collab,,,圣黑之心,,
Black Prince,ブラック・プリンス,ja-JP,en-US,202241,轻巡,Light Cruiser,皇家,Royal Navy,,,黑太子,,
BLACK★ROCK SHOOTER,BLACK★ROCK SHOOTER（后排）,ja-JP,en-US,900509,战巡,Battlecruiser,联动阵营,Collab,,,BLACK★ROCK SHOOTER（后排）,,
Blanc,ブラン,ja-JP,en-US,900076,驱逐,Destroyer,联动阵营,Collab,,,布兰,,
Bluegill,ブルーギル,ja-JP,en-US,108041,潜艇,Submarine,白鹰,Eagle Union,,,蓝鳃鱼,,
Blücher,ブリュッヒャー,ja-JP,en-US,403021,重巡,Heavy Cruiser,铁血,Iron Blood,,,布吕歇尔,布丽吉特,
Bogatyr,ボガトィーリ,ja-JP,en-US,702101,轻巡,Light Cruiser,北方联合,Northern Parliament,,,博加特里,,
Bogue,ボーグ,ja-JP,en-US,106021,轻航,Light Carrier,白鹰,Eagle Union,,,博格,,
Bois Belleau,ボア・ベロー,ja-JP,en-US,806011,轻航,Light Carrier,自由鸢尾,Iris Libre,,,贝劳森林,,
Boise,ボイシ,ja-JP,en-US,102291,轻巡,Light Cruiser,白鹰,Eagle Union,,,博伊西,树城,
Boise META,ボイシ(META),ja-JP,en-US,9702081,轻巡,Light Cruiser,META,META,META,,博伊西·META,树城·META,
Boise μ,ボイシ(μ兵装),ja-JP,en-US,102321,轻巡,Light Cruiser,白鹰,Eagle Union,μ兵装,,博伊西(μ兵装),树城(μ兵装),
Boise.META,ボイシ(META),ja-JP,en-US,9702081,轻巡,Light Cruiser,META,META,META,,博伊西·META,树城·META,
Bolzano,ボルツァーノ,ja-JP,en-US,603051,重巡,Heavy Cruiser,撒丁帝国,Sardegna Empire,,,博尔扎诺,,
Bolzano META,博尔扎诺·META,ja-JP,en-US,900489,重巡,Heavy Cruiser,META,META,META,,博尔扎诺·META,,
Bolzano.META,博尔扎诺·META,ja-JP,en-US,900489,重巡,Heavy Cruiser,META,META,META,,博尔扎诺·META,,
Bremerton,ブレマートン,ja-JP,en-US,103241,重巡,Heavy Cruiser,白鹰,Eagle Union,,,布莱默顿,,
Brennus,ブレンヌス,ja-JP,en-US,803021,重巡,Heavy Cruiser,自由鸢尾,Iris Libre,,,布伦努斯,,
Brest,ブレスト,ja-JP,en-US,899031,超巡,Large Cruiser,自由鸢尾,Iris Libre,,,布雷斯特,,
Bristol,ブリストル,ja-JP,en-US,101491,驱逐,Destroyer,白鹰,Eagle Union,,,布里斯托尔,,
Brooklyn,ブルックリン,ja-JP,en-US,102031,轻巡,Light Cruiser,白鹰,Eagle Union,,,布鲁克林,,
Brünhilde,ブリュンヒルデ,ja-JP,en-US,404051,战巡,Battlecruiser,铁血,Iron Blood,,,布伦希尔德,贝尔莎,
Bulldog,ブルドッグ,ja-JP,en-US,201071,驱逐,Destroyer,皇家,Royal Navy,,,大斗犬,,
Bunker Hill,バンカー・ヒル,ja-JP,en-US,107171,正航,Aircraft Carrier,白鹰,Eagle Union,,,邦克山,,
Bush,ブッシュ,ja-JP,en-US,101331,驱逐,Destroyer,白鹰,Eagle Union,,,布什,,
Béarn,ベアルン,ja-JP,en-US,807011,正航,Aircraft Carrier,自由鸢尾,Iris Libre,,,贝亚恩,,
Béarn META,ベアルン(META),ja-JP,en-US,9707041,正航,Aircraft Carrier,META,META,META,,贝亚恩·META,,
Béarn.META,ベアルン(META),ja-JP,en-US,9707041,正航,Aircraft Carrier,META,META,META,,贝亚恩·META,,
California,カリフォルニア,ja-JP,en-US,105081,战列,Battleship,白鹰,Eagle Union,,,加利福尼亚,,
Carabiniere,カラビニエーレ,ja-JP,en-US,601021,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,龙骑兵,,
Carabiniere META,カラビニエーレ(META),ja-JP,en-US,9701111,驱逐,Destroyer,META,META,META,,龙骑兵·META,,
Carabiniere.META,カラビニエーレ(META),ja-JP,en-US,9701111,驱逐,Destroyer,META,META,META,,龙骑兵·META,,
Casablanca,カサブランカ,ja-JP,en-US,106551,轻航,Light Carrier,白鹰,Eagle Union,,,卡萨布兰卡,,
Cassin,カッシン,ja-JP,en-US,101031,驱逐,Destroyer,白鹰,Eagle Union,,,卡辛,,
Cavalla,カヴァラ,ja-JP,en-US,108031,潜艇,Submarine,白鹰,Eagle Union,,,棘鳍,,
Centaur,セントー,ja-JP,en-US,206041,轻航,Light Carrier,皇家,Royal Navy,,,半人马,,
Champagne,シャンパーニュ,ja-JP,en-US,899021,战列,Battleship,自由鸢尾,Iris Libre,,,香槟,,
Chang Chun,長春,ja-JP,en-US,501031,驱逐,Destroyer,东煌,Dragon Empery,,,长春,,
Chang Feng,長風,ja-JP,en-US,501081,驱逐,Destroyer,东煌,Dragon Empery,,,长风,,
Chang Wu,彰武,ja-JP,en-US,503021,重巡,Heavy Cruiser,东煌,Dragon Empery,,,彰武,,
Chao Ho,肇和,ja-JP,en-US,502051,轻巡,Light Cruiser,东煌,Dragon Empery,,,肇和,,
Chapayev,チャパエフ,ja-JP,en-US,702031,轻巡,Light Cruiser,北方联合,Northern Parliament,,,恰巴耶夫,,
Chariot.VII,仲裁者·提尔瑞特·VII,ja-JP,en-US,900538,战列,Battleship,塞壬,Siren,,,仲裁者·提尔瑞特·VII,,
Charles Ausburne,チャールズ・オースバーン,ja-JP,en-US,101111,驱逐,Destroyer,白鹰,Eagle Union,,,查尔斯·奥斯本,,
Charybdis,カリブディス,ja-JP,en-US,202301,轻巡,Light Cruiser,皇家,Royal Navy,,,卡律布狄斯,,
Chaser,チェイサー,ja-JP,en-US,206051,轻航,Light Carrier,皇家,Royal Navy,,,追赶者,,
Chen Hai,鎮海,ja-JP,en-US,506011,轻航,Light Carrier,东煌,Dragon Empery,,,镇海,,
Cheshire,チェシャー,ja-JP,en-US,299031,重巡,Heavy Cruiser,皇家,Royal Navy,,,柴郡,,
Chi An,済安,ja-JP,en-US,502091,轻巡,Light Cruiser,东煌,Dragon Empery,,,济安,,
Chicago,シカゴ,ja-JP,en-US,103041,重巡,Heavy Cruiser,白鹰,Eagle Union,,,芝加哥,,
Chien Wu,建武,ja-JP,en-US,503011,重巡,Heavy Cruiser,东煌,Dragon Empery,,,建武,,
Chihaya Kisaragi,如月千早,ja-JP,en-US,10700021,正航,Aircraft Carrier,联动阵营,Collab,,,如月千早,,
Chikuma,筑摩,ja-JP,en-US,303061,重巡,Heavy Cruiser,重樱,Sakura Empire,,,筑摩,狘,
Chise Asukagawa,飛鳥川ちせ,ja-JP,en-US,10800061,正航,Aircraft Carrier,联动阵营,Collab,,,飞鸟川千濑,,
Chitose,千歳,ja-JP,en-US,306081,轻航,Light Carrier,重樱,Sakura Empire,,,千岁,鹂,
Chiyoda,千代田,ja-JP,en-US,306091,轻航,Light Carrier,重樱,Sakura Empire,,,千代田,鹃,
Chkalov,チカロフ,ja-JP,en-US,799011,正航,Aircraft Carrier,北方联合,Northern Parliament,,,契卡洛夫,,
Choukai,鳥海,ja-JP,en-US,303141,重巡,Heavy Cruiser,重樱,Sakura Empire,,,鸟海,猋,
Clarence K. Bronson,クラレンス・K・ブロンソン,ja-JP,en-US,101551,驱逐,Destroyer,白鹰,Eagle Union,,,克拉伦斯·K·布朗森,,
Clemenceau,クレマンソー,ja-JP,en-US,905021,战列,Battleship,维希教廷,Vichya Dominion,,,克莱蒙梭,,
Cleopatra,クレオパトラ,ja-JP,en-US,202351,轻巡,Light Cruiser,皇家,Royal Navy,,,克利奥佩特拉,,
Clevelad,リトル・クリーブランド,ja-JP,en-US,102201,轻巡,Light Cruiser,白鹰,Eagle Union,,,小克利夫兰,,
Cleveland,クリーブランド,ja-JP,en-US,102091,轻巡,Light Cruiser,白鹰,Eagle Union,,,克利夫兰,,
Cleveland META,クリーブランド(META),ja-JP,en-US,9702091,轻巡,Light Cruiser,META,META,META,,克利夫兰·META,,
Cleveland μ,クリーブランド(μ兵装),ja-JP,en-US,102241,轻巡,Light Cruiser,白鹰,Eagle Union,μ兵装,,克利夫兰(μ兵装),,
Cleveland.META,クリーブランド(META),ja-JP,en-US,9702091,轻巡,Light Cruiser,META,META,META,,克利夫兰·META,,
Colorado,コロラド,ja-JP,en-US,105091,战列,Battleship,白鹰,Eagle Union,,,科罗拉多,,
Columbia,コロンビア,ja-JP,en-US,102101,轻巡,Light Cruiser,白鹰,Eagle Union,,,哥伦比亚,,
Comet,コメット,ja-JP,en-US,201081,驱逐,Destroyer,皇家,Royal Navy,,,彗星,,
Compiler,构建者,ja-JP,en-US,900506,正航,Aircraft Carrier,塞壬,Siren,,,构建者,,
Concord,コンコード,ja-JP,en-US,102181,轻巡,Light Cruiser,白鹰,Eagle Union,,,康克德,,
Constellation,コンステレーション,ja-JP,en-US,104011,战巡,Battlecruiser,白鹰,Eagle Union,,,星座,,
Conte di Cavour,コンテ・ディ・カブール,ja-JP,en-US,605051,战列,Battleship,撒丁帝国,Sardegna Empire,,,加富尔伯爵,,
Cooper,クーパー,ja-JP,en-US,101441,驱逐,Destroyer,白鹰,Eagle Union,,,库珀,,
Cowpens,カウペンス,ja-JP,en-US,107251,轻航,Light Carrier,白鹰,Eagle Union,,,科本斯,,
Craven,クレイヴン,ja-JP,en-US,101061,驱逐,Destroyer,白鹰,Eagle Union,,,克雷文,,
Crescent,クレセント,ja-JP,en-US,201091,驱逐,Destroyer,皇家,Royal Navy,,,新月,枥,
Curacoa,キュラソー,ja-JP,en-US,202211,轻巡,Light Cruiser,皇家,Royal Navy,,,库拉索,,
Curlew,カーリュー,ja-JP,en-US,202221,轻巡,Light Cruiser,皇家,Royal Navy,,,杓鹬,,
Cygnet,シグニット,ja-JP,en-US,201101,驱逐,Destroyer,皇家,Royal Navy,,,小天鹅,,
Dace,デイス,ja-JP,en-US,108011,潜艇,Submarine,白鹰,Eagle Union,,,鲦鱼,,
Daisen,大山,ja-JP,en-US,399071,战列,Battleship,重樱,Sakura Empire,,,大山,鳝,
De Zeven Provinciën,七省,ja-JP,en-US,900496,轻巡,Light Cruiser,郁金王国,Kingdom of Tulipa,,,七省,,
DEAD MASTER,死亡主宰,ja-JP,en-US,900511,正航,Aircraft Carrier,联动阵营,Collab,,,死亡主宰,,
Denver,デンバー,ja-JP,en-US,102151,轻巡,Light Cruiser,白鹰,Eagle Union,,,丹佛,,
Deutschland,ドイッチュラント,ja-JP,en-US,403041,重巡,Heavy Cruiser,铁血,Iron Blood,,,德意志,亚勒玛妮亚,
Devonshire,デヴォンシャー,ja-JP,en-US,203131,重巡,Heavy Cruiser,皇家,Royal Navy,,,德文郡,,
Dewey,デューイ,ja-JP,en-US,101021,驱逐,Destroyer,白鹰,Eagle Union,,,杜威,,
Dewey META,デューイ(META),ja-JP,en-US,9701101,驱逐,Destroyer,META,META,META,,杜威·META,,
Dewey.META,デューイ(META),ja-JP,en-US,9701101,驱逐,Destroyer,META,META,META,,杜威·META,,
Dido,ダイドー,ja-JP,en-US,202041,轻巡,Light Cruiser,皇家,Royal Navy,,,黛朵,,
Dido μ,ダイドー(μ兵装),ja-JP,en-US,202281,轻巡,Light Cruiser,皇家,Royal Navy,μ兵装,,黛朵(μ兵装),,
Dmitri Donskoi,ドミートリィ・ドンスコイ,ja-JP,en-US,799031,轻巡,Light Cruiser,北方联合,Northern Parliament,,,迪米特里·顿斯科伊,,
Dolphin,ドルフィン,ja-JP,en-US,9600111,风帆,Sailing Frigate,飓风船团,Tempesta,,,海豚号,,
Dorsetshire,ドーセットシャー,ja-JP,en-US,203061,重巡,Heavy Cruiser,皇家,Royal Navy,,,多塞特郡,,
Downes,ダウンズ,ja-JP,en-US,101041,驱逐,Destroyer,白鹰,Eagle Union,,,唐斯,,
Drake,ドレイク,ja-JP,en-US,299041,重巡,Heavy Cruiser,皇家,Royal Navy,,,德雷克,,
Duca degli Abruzzi,ドゥーカ・デッリ・アブルッツィ,ja-JP,en-US,602011,轻巡,Light Cruiser,撒丁帝国,Sardegna Empire,,,阿布鲁齐公爵,,
Duguay-Trouin,デュゲイ・トルーアン,ja-JP,en-US,802041,轻巡,Light Cruiser,自由鸢尾,Iris Libre,,,迪盖·特鲁因,,
Duisburg,デュイスブルク,ja-JP,en-US,402111,轻巡,Light Cruiser,铁血,Iron Blood,,,杜伊斯堡,多琳妮娅,
Duke of York,デューク・オブ・ヨーク,ja-JP,en-US,205071,战列,Battleship,皇家,Royal Navy,,,约克公爵,,
Dunkerque,ダンケルク,ja-JP,en-US,904011,战巡,Battlecruiser,维希教廷,Vichya Dominion,,,敦刻尔克,,
Dunkerque META,ダンケルク(META),ja-JP,en-US,9704061,战巡,Battlecruiser,META,META,META,,敦刻尔克·META,,
Dunkerque.META,ダンケルク(META),ja-JP,en-US,9704061,战巡,Battlecruiser,META,META,META,,敦刻尔克·META,,
Dupleix,デュプレクス,ja-JP,en-US,900445,重巡,Heavy Cruiser,维希教廷,Vichya Dominion,,,迪普莱克斯,,
Duquesne,デュケーヌ,ja-JP,en-US,803031,重巡,Heavy Cruiser,自由鸢尾,Iris Libre,,,迪凯纳,,
Eagle,イーグル,ja-JP,en-US,207011,正航,Aircraft Carrier,皇家,Royal Navy,,,鹰,,
Echo,エコー,ja-JP,en-US,201291,驱逐,Destroyer,皇家,Royal Navy,,,回声,,
Edinburgh,エディンバラ,ja-JP,en-US,202111,轻巡,Light Cruiser,皇家,Royal Navy,,,爱丁堡,,
Elbe,エルベ,ja-JP,en-US,406021,轻航,Light Carrier,铁血,Iron Blood,,,易北,埃尔斯贝特,
Elbing,エルビング,ja-JP,en-US,402081,轻巡,Light Cruiser,铁血,Iron Blood,,,埃尔宾,埃尔薇菈,
Eldridge,エルドリッジ,ja-JP,en-US,101261,驱逐,Destroyer,白鹰,Eagle Union,,,埃尔德里奇,,
Elegant Kizuna AI,キズナアイ・エレガント,ja-JP,en-US,10400021,重巡,Heavy Cruiser,联动阵营,Collab,,,绊爱·Elegant,,
Elise,エリーゼ,ja-JP,en-US,10600101,正航,Aircraft Carrier,联动阵营,Collab,,,伊莉丝,,
Emanuele Pessagno,エマヌエーレ・ペッサーニョ,ja-JP,en-US,601091,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,埃曼努埃尔·佩萨格诺,,
Emden,エムデン,ja-JP,en-US,402071,轻巡,Light Cruiser,铁血,Iron Blood,,,埃姆登,埃玛,
Enterprise,エンタープライズ,ja-JP,en-US,107061,正航,Aircraft Carrier,白鹰,Eagle Union,,,企业,,
Enterprise META,企业·META,ja-JP,en-US,900524,正航,Aircraft Carrier,META,META,META,,企业·META,,
Enterprise.META,企业·META,ja-JP,en-US,900524,正航,Aircraft Carrier,META,META,META,,企业·META,,
Erebus,エレバス,ja-JP,en-US,213011,重炮,Monitor,皇家,Royal Navy,,,黑暗界,,
