source,target,tgt_lng,src_lng,ship_id,ship_type_zh,ship_type_en,nation_zh,nation_en,variant,zh_CN_form,zh_CN_standard,zh_CN_harmonised,same_source_alternatives
Akagi-chan,꼬마 아카기,ko-KR,en-US,307091,正航,Aircraft Carrier,重樱,Sakura Empire,,,小赤城,小凰,
Akane Shinjo,신죠 아카네,ko-KR,en-US,10800021,战列,Battleship,联动阵营,Collab,,,新条茜,,
Akashi,아카시,ko-KR,en-US,312011,维修,Repair,重樱,Sakura Empire,,,明石,茗,
Akatsuki,아카츠키,ko-KR,en-US,301091,驱逐,Destroyer,重樱,Sakura Empire,,,晓,枫,
Alabama,앨라배마,ko-KR,en-US,105201,战列,Battleship,白鹰,Eagle Union,,,阿拉巴马,,
Albacore,알바코어,ko-KR,en-US,108021,潜艇,Submarine,白鹰,Eagle Union,,,大青花鱼,,
Albacore μ,알바코어(μ장비),ko-KR,en-US,108051,潜艇,Submarine,白鹰,Eagle Union,μ兵装,,大青花鱼(μ兵装),,
Alberto di Giussano,알베르토 디 주사노,ko-KR,en-US,602041,轻巡,Light Cruiser,撒丁帝国,Sardegna Empire,,,阿尔贝托·迪·朱塞诺,,
Albion,알비온,ko-KR,en-US,206071,轻航,Light Carrier,皇家,Royal Navy,,,阿尔比恩,,
Alfredo Oriani,알프레도 오리아니,ko-KR,en-US,601081,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,阿尔弗雷多·奥里亚尼,,
Algérie,알제리,ko-KR,en-US,903021,重巡,Heavy Cruiser,维希教廷,Vichya Dominion,,,阿尔及利亚,,
Algérie META,알제리·META,ko-KR,en-US,9703021,重巡,Heavy Cruiser,META,META,META,,阿尔及利亚·META,,
Algérie.META,알제리·META,ko-KR,en-US,9703021,重巡,Heavy Cruiser,META,META,META,,阿尔及利亚·META,,
Allen M. Sumner,알렌 M. 섬너,ko-KR,en-US,101451,驱逐,Destroyer,白鹰,Eagle Union,,,艾伦·萨姆纳,,
Alsace,알자스,ko-KR,en-US,805031,战列,Battleship,自由鸢尾,Iris Libre,,,阿尔萨斯,,
Alvitr,알비트,ko-KR,en-US,404061,战巡,Battlecruiser,铁血,Iron Blood,,,亚尔薇特,,
Amagi,아마기,ko-KR,en-US,304051,战巡,Battlecruiser,重樱,Sakura Empire,,,天城,鳐,
Amagi(CV),아마기(항공모함),ko-KR,en-US,307151,正航,Aircraft Carrier,重樱,Sakura Empire,,,天城,鳐,
Amagi-chan,꼬마 아마기,ko-KR,en-US,304071,战巡,Battlecruiser,重樱,Sakura Empire,,,小天城,小鳐,
Amazon,아마존,ko-KR,en-US,201011,驱逐,Destroyer,皇家,Royal Navy,,,女将,,
Ami Futami,후타미 아미,ko-KR,en-US,10700061,潜艇,Submarine,联动阵营,Collab,,,双海亚美,,
An Shan,안샨,ko-KR,en-US,501011,驱逐,Destroyer,东煌,Dragon Empery,,,鞍山,,
Anchorage,앵커리지,ko-KR,en-US,199031,重巡,Heavy Cruiser,白鹰,Eagle Union,,,安克雷奇,,
Andrea Doria,안드레아 도리아,ko-KR,en-US,605071,战列,Battleship,撒丁帝国,Sardegna Empire,,,安德烈亚·多利亚,,
Andrea Doria META,안드레아 도리아·META,ko-KR,en-US,900492,战列,Battleship,META,META,META,,安德烈亚·多利亚·META,,
Andrea Doria.META,안드레아 도리아·META,ko-KR,en-US,900492,战列,Battleship,META,META,META,,安德烈亚·多利亚·META,,
Anniversary Kizuna AI,키즈나 아이 - 애니버서리,ko-KR,en-US,10400031,正航,Aircraft Carrier,联动阵营,Collab,,,绊爱·Anniversary,,
Aoba,아오바,ko-KR,en-US,303031,重巡,Heavy Cruiser,重樱,Sakura Empire,,,青叶,犹,
Aquila,아퀼라,ko-KR,en-US,607011,正航,Aircraft Carrier,撒丁帝国,Sardegna Empire,,,天鹰,,
Arashio,아라시오,ko-KR,en-US,301661,驱逐,Destroyer,重樱,Sakura Empire,,,荒潮,栘,
Archerfish,아처피시,ko-KR,en-US,108061,潜艇,Submarine,白鹰,Eagle Union,,,射水鱼,喷水鱼,
Ardent,아덴트,ko-KR,en-US,201031,驱逐,Destroyer,皇家,Royal Navy,,,热心,,
Arethusa,아레투사,ko-KR,en-US,202131,轻巡,Light Cruiser,皇家,Royal Navy,,,阿瑞托莎,,
Argus,아거스,ko-KR,en-US,206021,轻航,Light Carrier,皇家,Royal Navy,,,百眼巨人,,
Ariake,아리아케,ko-KR,en-US,301251,驱逐,Destroyer,重樱,Sakura Empire,,,有明,榎,
Arizona,애리조나,ko-KR,en-US,105041,战列,Battleship,白鹰,Eagle Union,,,亚利桑那,,
Arizona META,애리조나·META,ko-KR,en-US,9705031,战列,Battleship,META,META,META,,亚利桑那·META,,
Arizona.META,애리조나·META,ko-KR,en-US,9705031,战列,Battleship,META,META,META,,亚利桑那·META,,
Ark Royal,아크 로열,ko-KR,en-US,207021,正航,Aircraft Carrier,皇家,Royal Navy,,,皇家方舟,,
Ark Royal.META,아크 로열·META,ko-KR,en-US,900334,正航,Aircraft Carrier,META,META,META,,皇家方舟·META,,
Arkhangelsk,아르한겔스크,ko-KR,en-US,705061,战列,Battleship,北方联合,Northern Parliament,,,阿尔汉格尔斯克,,
Asama,아사마,ko-KR,en-US,303201,重巡,Heavy Cruiser,重樱,Sakura Empire,,,浅间,猏,
Asanagi,아사나기,ko-KR,en-US,301901,驱逐,Destroyer,重樱,Sakura Empire,,,朝凪,桎,
Asashio,아사시오,ko-KR,en-US,301631,驱逐,Destroyer,重樱,Sakura Empire,,,朝潮,棹,
Ashigara,아시가라,ko-KR,en-US,303091,重巡,Heavy Cruiser,重樱,Sakura Empire,,,足柄,狳,
Astoria,아스토리아,ko-KR,en-US,103081,重巡,Heavy Cruiser,白鹰,Eagle Union,,,阿斯托利亚,,
Asuka,아스카,ko-KR,en-US,11000011,轻巡,Light Cruiser,联动阵营,Collab,,,飞鸟,,
Atago,아타고,ko-KR,en-US,303121,重巡,Heavy Cruiser,重樱,Sakura Empire,,,爱宕,犬,
Atlanta,애틀란타,ko-KR,en-US,102061,轻巡,Light Cruiser,白鹰,Eagle Union,,,亚特兰大,,
Attilio Regolo,아틸리오 레골로,ko-KR,en-US,601101,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,阿蒂利奥·雷戈洛,,
August von Parseval,아우구스트 폰 파르제팔,ko-KR,en-US,499061,正航,Aircraft Carrier,铁血,Iron Blood,,,奥古斯特·冯·帕塞瓦尔,奥斯特雷德·冯·帕赫贝尔,
Aulick,얼릭,ko-KR,en-US,101131,驱逐,Destroyer,白鹰,Eagle Union,,,奥利克,,
Aurora,오로라,ko-KR,en-US,202151,轻巡,Light Cruiser,皇家,Royal Navy,,,欧若拉,,
Avrora,아브로라,ko-KR,en-US,702011,轻巡,Light Cruiser,北方联合,Northern Parliament,,,阿芙乐尔,,
Ayanami,아야나미,ko-KR,en-US,301051,驱逐,Destroyer,重樱,Sakura Empire,,,绫波,柚,
Ayase,아야세,ko-KR,en-US,302261,轻巡,Light Cruiser,重樱,Sakura Empire,,,绫濑,狑,
Aylwin,아일윈,ko-KR,en-US,101401,驱逐,Destroyer,白鹰,Eagle Union,,,艾尔温,,
Azuma,아즈마,ko-KR,en-US,399041,超巡,Large Cruiser,重樱,Sakura Empire,,,吾妻,猉,
Azusa Miura,미우라 아즈사,ko-KR,en-US,10700041,重巡,Heavy Cruiser,联动阵营,Collab,,,三浦 梓,,
Bache,배시,ko-KR,en-US,101351,驱逐,Destroyer,白鹰,Eagle Union,,,贝奇,,
Bailey,베일리,ko-KR,en-US,101271,驱逐,Destroyer,白鹰,Eagle Union,,,贝利,,
Baltimore,볼티모어,ko-KR,en-US,103161,重巡,Heavy Cruiser,白鹰,Eagle Union,,,巴尔的摩,,
Baltimore μ,볼티모어(μ장비),ko-KR,en-US,103251,重巡,Heavy Cruiser,白鹰,Eagle Union,μ兵装,,巴尔的摩(μ兵装),,
Bartolomeo Colleoni,바르톨로메오 콜레오니,ko-KR,en-US,602031,轻巡,Light Cruiser,撒丁帝国,Sardegna Empire,,,巴托洛梅奥·科莱奥尼,,
Bataan,바탄,ko-KR,en-US,107291,轻航,Light Carrier,白鹰,Eagle Union,,,巴丹,,
Bayard,바야르,ko-KR,en-US,899041,轻巡,Light Cruiser,自由鸢尾,Iris Libre,,,贝亚德,,
Beagle,비글,ko-KR,en-US,201061,驱逐,Destroyer,皇家,Royal Navy,,,小猎兔犬,,
Belfast,벨파스트,ko-KR,en-US,202121,轻巡,Light Cruiser,皇家,Royal Navy,,,贝尔法斯特,,
Bell,벨,ko-KR,en-US,101521,驱逐,Destroyer,白鹰,Eagle Union,,,贝尔,,
Bellona,벨로나,ko-KR,en-US,202311,轻巡,Light Cruiser,皇家,Royal Navy,,,司战女神,,
Benson,벤슨,ko-KR,en-US,101161,驱逐,Destroyer,白鹰,Eagle Union,,,本森,,
Biloxi,빌럭시,ko-KR,en-US,102251,轻巡,Light Cruiser,白鹰,Eagle Union,,,比洛克西,,
Birmingham,버밍햄,ko-KR,en-US,102231,轻巡,Light Cruiser,白鹰,Eagle Union,,,伯明翰,,
Bismarck,비스마르크,ko-KR,en-US,405011,战列,Battleship,铁血,Iron Blood,,,俾斯麦,奥德莉亚,
Bismarck Zwei,비스마르크 Zwei,ko-KR,en-US,405051,战列,Battleship,铁血,Iron Blood,,,俾斯麦Zwei,奥德莉亚Zwei,
Black Heart,블랙 하트,ko-KR,en-US,10100061,重巡,Heavy Cruiser,联动阵营,Collab,,,圣黑之心,,
Black Prince,블랙 프린스,ko-KR,en-US,202241,轻巡,Light Cruiser,皇家,Royal Navy,,,黑太子,,
Blanc,블랑,ko-KR,en-US,900076,驱逐,Destroyer,联动阵营,Collab,,,布兰,,
Bluegill,블루길,ko-KR,en-US,108041,潜艇,Submarine,白鹰,Eagle Union,,,蓝鳃鱼,,
Blücher,블뤼허,ko-KR,en-US,403021,重巡,Heavy Cruiser,铁血,Iron Blood,,,布吕歇尔,布丽吉特,
Bogatyr,바가티르,ko-KR,en-US,702101,轻巡,Light Cruiser,北方联合,Northern Parliament,,,博加特里,,
Bogue,보그,ko-KR,en-US,106021,轻航,Light Carrier,白鹰,Eagle Union,,,博格,,
Bois Belleau,부아 벨루,ko-KR,en-US,806011,轻航,Light Carrier,自由鸢尾,Iris Libre,,,贝劳森林,,
Boise,보이시,ko-KR,en-US,102291,轻巡,Light Cruiser,白鹰,Eagle Union,,,博伊西,树城,
Boise META,보이시·META,ko-KR,en-US,9702081,轻巡,Light Cruiser,META,META,META,,博伊西·META,树城·META,
Boise μ,보이시(μ장비),ko-KR,en-US,102321,轻巡,Light Cruiser,白鹰,Eagle Union,μ兵装,,博伊西(μ兵装),树城(μ兵装),
Boise.META,보이시·META,ko-KR,en-US,9702081,轻巡,Light Cruiser,META,META,META,,博伊西·META,树城·META,
Bolzano,볼차노,ko-KR,en-US,603051,重巡,Heavy Cruiser,撒丁帝国,Sardegna Empire,,,博尔扎诺,,
Bolzano META,볼차노·META,ko-KR,en-US,900489,重巡,Heavy Cruiser,META,META,META,,博尔扎诺·META,,
Bolzano.META,볼차노·META,ko-KR,en-US,900489,重巡,Heavy Cruiser,META,META,META,,博尔扎诺·META,,
Bremerton,브레머튼,ko-KR,en-US,103241,重巡,Heavy Cruiser,白鹰,Eagle Union,,,布莱默顿,,
Brennus,브렌누스,ko-KR,en-US,803021,重巡,Heavy Cruiser,自由鸢尾,Iris Libre,,,布伦努斯,,
Brest,브레스트,ko-KR,en-US,899031,超巡,Large Cruiser,自由鸢尾,Iris Libre,,,布雷斯特,,
Bristol,브리스톨,ko-KR,en-US,101491,驱逐,Destroyer,白鹰,Eagle Union,,,布里斯托尔,,
Brooklyn,브루클린,ko-KR,en-US,102031,轻巡,Light Cruiser,白鹰,Eagle Union,,,布鲁克林,,
Brünhilde,브륀힐드,ko-KR,en-US,404051,战巡,Battlecruiser,铁血,Iron Blood,,,布伦希尔德,贝尔莎,
Bulldog,불독,ko-KR,en-US,201071,驱逐,Destroyer,皇家,Royal Navy,,,大斗犬,,
Bunker Hill,벙커힐,ko-KR,en-US,107171,正航,Aircraft Carrier,白鹰,Eagle Union,,,邦克山,,
Bush,부시,ko-KR,en-US,101331,驱逐,Destroyer,白鹰,Eagle Union,,,布什,,
Béarn,베아른,ko-KR,en-US,807011,正航,Aircraft Carrier,自由鸢尾,Iris Libre,,,贝亚恩,,
Béarn META,베아른·META,ko-KR,en-US,9707041,正航,Aircraft Carrier,META,META,META,,贝亚恩·META,,
Béarn.META,베아른·META,ko-KR,en-US,9707041,正航,Aircraft Carrier,META,META,META,,贝亚恩·META,,
California,캘리포니아,ko-KR,en-US,105081,战列,Battleship,白鹰,Eagle Union,,,加利福尼亚,,
Carabiniere,카라비니에레,ko-KR,en-US,601021,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,龙骑兵,,
Carabiniere META,카라비니에레·META,ko-KR,en-US,9701111,驱逐,Destroyer,META,META,META,,龙骑兵·META,,
Carabiniere.META,카라비니에레·META,ko-KR,en-US,9701111,驱逐,Destroyer,META,META,META,,龙骑兵·META,,
Casablanca,카사블랑카,ko-KR,en-US,106551,轻航,Light Carrier,白鹰,Eagle Union,,,卡萨布兰卡,,
Cassin,캐신,ko-KR,en-US,101031,驱逐,Destroyer,白鹰,Eagle Union,,,卡辛,,
Cavalla,카발라,ko-KR,en-US,108031,潜艇,Submarine,白鹰,Eagle Union,,,棘鳍,,
Centaur,센토,ko-KR,en-US,206041,轻航,Light Carrier,皇家,Royal Navy,,,半人马,,
Champagne,샹파뉴,ko-KR,en-US,899021,战列,Battleship,自由鸢尾,Iris Libre,,,香槟,,
Chang Chun,창춘,ko-KR,en-US,501031,驱逐,Destroyer,东煌,Dragon Empery,,,长春,,
Chang Feng,창펑,ko-KR,en-US,501081,驱逐,Destroyer,东煌,Dragon Empery,,,长风,,
Chang Wu,장우,ko-KR,en-US,503021,重巡,Heavy Cruiser,东煌,Dragon Empery,,,彰武,,
Chao Ho,차오 호,ko-KR,en-US,502051,轻巡,Light Cruiser,东煌,Dragon Empery,,,肇和,,
Chapayev,차파예프,ko-KR,en-US,702031,轻巡,Light Cruiser,北方联合,Northern Parliament,,,恰巴耶夫,,
Charles Ausburne,찰스 오스본,ko-KR,en-US,101111,驱逐,Destroyer,白鹰,Eagle Union,,,查尔斯·奥斯本,,
Charybdis,카리브디스,ko-KR,en-US,202301,轻巡,Light Cruiser,皇家,Royal Navy,,,卡律布狄斯,,
Chaser,체이서,ko-KR,en-US,206051,轻航,Light Carrier,皇家,Royal Navy,,,追赶者,,
Chen Hai,젠하이,ko-KR,en-US,506011,轻航,Light Carrier,东煌,Dragon Empery,,,镇海,,
Cheshire,체셔,ko-KR,en-US,299031,重巡,Heavy Cruiser,皇家,Royal Navy,,,柴郡,,
Chi An,지안,ko-KR,en-US,502091,轻巡,Light Cruiser,东煌,Dragon Empery,,,济安,,
Chicago,시카고,ko-KR,en-US,103041,重巡,Heavy Cruiser,白鹰,Eagle Union,,,芝加哥,,
Chien Wu,지엔우,ko-KR,en-US,503011,重巡,Heavy Cruiser,东煌,Dragon Empery,,,建武,,
Chihaya Kisaragi,키사라기 치하야,ko-KR,en-US,10700021,正航,Aircraft Carrier,联动阵营,Collab,,,如月千早,,
Chikuma,치쿠마,ko-KR,en-US,303061,重巡,Heavy Cruiser,重樱,Sakura Empire,,,筑摩,狘,
Chise Asukagawa,아스카가와 치세,ko-KR,en-US,10800061,正航,Aircraft Carrier,联动阵营,Collab,,,飞鸟川千濑,,
Chitose,치토세,ko-KR,en-US,306081,轻航,Light Carrier,重樱,Sakura Empire,,,千岁,鹂,
Chiyoda,치요다,ko-KR,en-US,306091,轻航,Light Carrier,重樱,Sakura Empire,,,千代田,鹃,
Chkalov,치칼로프,ko-KR,en-US,799011,正航,Aircraft Carrier,北方联合,Northern Parliament,,,契卡洛夫,,
Choukai,초카이,ko-KR,en-US,303141,重巡,Heavy Cruiser,重樱,Sakura Empire,,,鸟海,猋,
Clarence K. Bronson,클래런스 K 브론슨,ko-KR,en-US,101551,驱逐,Destroyer,白鹰,Eagle Union,,,克拉伦斯·K·布朗森,,
Clemenceau,클레망소,ko-KR,en-US,905021,战列,Battleship,维希教廷,Vichya Dominion,,,克莱蒙梭,,
Cleopatra,클레오파트라,ko-KR,en-US,202351,轻巡,Light Cruiser,皇家,Royal Navy,,,克利奥佩特拉,,
Clevelad,꼬마 클리블랜드,ko-KR,en-US,102201,轻巡,Light Cruiser,白鹰,Eagle Union,,,小克利夫兰,,
Cleveland,클리블랜드,ko-KR,en-US,102091,轻巡,Light Cruiser,白鹰,Eagle Union,,,克利夫兰,,
Cleveland META,클리블랜드·META,ko-KR,en-US,9702091,轻巡,Light Cruiser,META,META,META,,克利夫兰·META,,
Cleveland μ,클리블랜드(μ장비),ko-KR,en-US,102241,轻巡,Light Cruiser,白鹰,Eagle Union,μ兵装,,克利夫兰(μ兵装),,
Cleveland.META,클리블랜드·META,ko-KR,en-US,9702091,轻巡,Light Cruiser,META,META,META,,克利夫兰·META,,
Colorado,콜로라도,ko-KR,en-US,105091,战列,Battleship,白鹰,Eagle Union,,,科罗拉多,,
Columbia,컬럼비아,ko-KR,en-US,102101,轻巡,Light Cruiser,白鹰,Eagle Union,,,哥伦比亚,,
Comet,코멧,ko-KR,en-US,201081,驱逐,Destroyer,皇家,Royal Navy,,,彗星,,
Concord,콩코드,ko-KR,en-US,102181,轻巡,Light Cruiser,白鹰,Eagle Union,,,康克德,,
Constellation,컨스텔레이션,ko-KR,en-US,104011,战巡,Battlecruiser,白鹰,Eagle Union,,,星座,,
Conte di Cavour,콘테 디 카보우르,ko-KR,en-US,605051,战列,Battleship,撒丁帝国,Sardegna Empire,,,加富尔伯爵,,
Cooper,쿠퍼,ko-KR,en-US,101441,驱逐,Destroyer,白鹰,Eagle Union,,,库珀,,
Cowpens,카우펜스,ko-KR,en-US,107251,轻航,Light Carrier,白鹰,Eagle Union,,,科本斯,,
Craven,크레이븐,ko-KR,en-US,101061,驱逐,Destroyer,白鹰,Eagle Union,,,克雷文,,
Crescent,크레센트,ko-KR,en-US,201091,驱逐,Destroyer,皇家,Royal Navy,,,新月,枥,
Curacoa,퀴라소,ko-KR,en-US,202211,轻巡,Light Cruiser,皇家,Royal Navy,,,库拉索,,
Curlew,컬루,ko-KR,en-US,202221,轻巡,Light Cruiser,皇家,Royal Navy,,,杓鹬,,
Cygnet,시그넷,ko-KR,en-US,201101,驱逐,Destroyer,皇家,Royal Navy,,,小天鹅,,
Dace,데이스,ko-KR,en-US,108011,潜艇,Submarine,白鹰,Eagle Union,,,鲦鱼,,
Daisen,다이센,ko-KR,en-US,399071,战列,Battleship,重樱,Sakura Empire,,,大山,鳝,
De Zeven Provinciën,드 제번 프로빈시엔,ko-KR,en-US,900496,轻巡,Light Cruiser,郁金王国,Kingdom of Tulipa,,,七省,,
Denver,덴버,ko-KR,en-US,102151,轻巡,Light Cruiser,白鹰,Eagle Union,,,丹佛,,
Deutschland,도이칠란트,ko-KR,en-US,403041,重巡,Heavy Cruiser,铁血,Iron Blood,,,德意志,亚勒玛妮亚,
Devonshire,데본셔,ko-KR,en-US,203131,重巡,Heavy Cruiser,皇家,Royal Navy,,,德文郡,,
Dewey,듀이,ko-KR,en-US,101021,驱逐,Destroyer,白鹰,Eagle Union,,,杜威,,
Dewey META,듀이·META,ko-KR,en-US,9701101,驱逐,Destroyer,META,META,META,,杜威·META,,
Dewey.META,듀이·META,ko-KR,en-US,9701101,驱逐,Destroyer,META,META,META,,杜威·META,,
Dido,다이도,ko-KR,en-US,202041,轻巡,Light Cruiser,皇家,Royal Navy,,,黛朵,,
Dido μ,다이도(μ장비),ko-KR,en-US,202281,轻巡,Light Cruiser,皇家,Royal Navy,μ兵装,,黛朵(μ兵装),,
Dmitri Donskoi,드미트리 돈스코이,ko-KR,en-US,799031,轻巡,Light Cruiser,北方联合,Northern Parliament,,,迪米特里·顿斯科伊,,
Dolphin,돌핀,ko-KR,en-US,9600111,风帆,Sailing Frigate,飓风船团,Tempesta,,,海豚号,,
Dorsetshire,도셋셔,ko-KR,en-US,203061,重巡,Heavy Cruiser,皇家,Royal Navy,,,多塞特郡,,
Downes,다운즈,ko-KR,en-US,101041,驱逐,Destroyer,白鹰,Eagle Union,,,唐斯,,
Drake,드레이크,ko-KR,en-US,299041,重巡,Heavy Cruiser,皇家,Royal Navy,,,德雷克,,
Duca degli Abruzzi,두카 델리 아브루치,ko-KR,en-US,602011,轻巡,Light Cruiser,撒丁帝国,Sardegna Empire,,,阿布鲁齐公爵,,
Duguay-Trouin,뒤게 트루앵,ko-KR,en-US,802041,轻巡,Light Cruiser,自由鸢尾,Iris Libre,,,迪盖·特鲁因,,
Duisburg,뒤스부르크,ko-KR,en-US,402111,轻巡,Light Cruiser,铁血,Iron Blood,,,杜伊斯堡,多琳妮娅,
Duke of York,듀크 오브 요크,ko-KR,en-US,205071,战列,Battleship,皇家,Royal Navy,,,约克公爵,,
Dunkerque,됭케르크,ko-KR,en-US,904011,战巡,Battlecruiser,维希教廷,Vichya Dominion,,,敦刻尔克,,
Dunkerque META,됭케르크·META,ko-KR,en-US,9704061,战巡,Battlecruiser,META,META,META,,敦刻尔克·META,,
Dunkerque.META,됭케르크·META,ko-KR,en-US,9704061,战巡,Battlecruiser,META,META,META,,敦刻尔克·META,,
Dupleix,듀플렉스,ko-KR,en-US,900445,重巡,Heavy Cruiser,维希教廷,Vichya Dominion,,,迪普莱克斯,,
Duquesne,뒤켄,ko-KR,en-US,803031,重巡,Heavy Cruiser,自由鸢尾,Iris Libre,,,迪凯纳,,
Eagle,이글,ko-KR,en-US,207011,正航,Aircraft Carrier,皇家,Royal Navy,,,鹰,,
Echo,에코,ko-KR,en-US,201291,驱逐,Destroyer,皇家,Royal Navy,,,回声,,
Edinburgh,에든버러,ko-KR,en-US,202111,轻巡,Light Cruiser,皇家,Royal Navy,,,爱丁堡,,
Elbe,엘베,ko-KR,en-US,406021,轻航,Light Carrier,铁血,Iron Blood,,,易北,埃尔斯贝特,
Elbing,엘빙,ko-KR,en-US,402081,轻巡,Light Cruiser,铁血,Iron Blood,,,埃尔宾,埃尔薇菈,
Eldridge,엘드릿지,ko-KR,en-US,101261,驱逐,Destroyer,白鹰,Eagle Union,,,埃尔德里奇,,
Elegant Kizuna AI,키즈나 아이 - 엘레강트,ko-KR,en-US,10400021,重巡,Heavy Cruiser,联动阵营,Collab,,,绊爱·Elegant,,
Elise,엘리제,ko-KR,en-US,10600101,正航,Aircraft Carrier,联动阵营,Collab,,,伊莉丝,,
Emanuele Pessagno,에마누엘레 페사노,ko-KR,en-US,601091,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,埃曼努埃尔·佩萨格诺,,
Emden,엠덴,ko-KR,en-US,402071,轻巡,Light Cruiser,铁血,Iron Blood,,,埃姆登,埃玛,
Enterprise,엔터프라이즈,ko-KR,en-US,107061,正航,Aircraft Carrier,白鹰,Eagle Union,,,企业,,
Erebus,에레버스,ko-KR,en-US,213011,重炮,Monitor,皇家,Royal Navy,,,黑暗界,,
Erebus META,에레버스·META,ko-KR,en-US,9713011,重炮,Monitor,META,META,META,,黑暗界·META,,
Erebus.META,에레버스·META,ko-KR,en-US,9713011,重炮,Monitor,META,META,META,,黑暗界·META,,
Eskimo,에스키모,ko-KR,en-US,201321,驱逐,Destroyer,皇家,Royal Navy,,,爱斯基摩人,,
Essex,에식스,ko-KR,en-US,107091,正航,Aircraft Carrier,白鹰,Eagle Union,,,埃塞克斯,,
Exeter,엑세터,ko-KR,en-US,203081,重巡,Heavy Cruiser,皇家,Royal Navy,,,埃克塞特,,
Fancy,팬시,ko-KR,en-US,9600081,风帆,Sailing Frigate,飓风船团,Tempesta,,,幻想号,,
Fargo,파고,ko-KR,en-US,102331,轻巡,Light Cruiser,白鹰,Eagle Union,,,法戈,,
Fei Yuen,페이윈,ko-KR,en-US,501071,驱逐,Destroyer,东煌,Dragon Empery,,,飞云,,
Felix Schultz,펠릭스 슐츠,ko-KR,en-US,499081,驱逐,Destroyer,铁血,Iron Blood,,,菲利克斯·舒尔茨,弗郎西斯卡·舒伯特,
FFNF Alsace,알자스,ko-KR,en-US,805031,战列,Battleship,自由鸢尾,Iris Libre,,,阿尔萨斯,,
FFNF Bayard,바야르,ko-KR,en-US,899041,轻巡,Light Cruiser,自由鸢尾,Iris Libre,,,贝亚德,,
FFNF Bois Belleau,부아 벨루,ko-KR,en-US,806011,轻航,Light Carrier,自由鸢尾,Iris Libre,,,贝劳森林,,
FFNF Brennus,브렌누스,ko-KR,en-US,803021,重巡,Heavy Cruiser,自由鸢尾,Iris Libre,,,布伦努斯,,
FFNF Brest,브레스트,ko-KR,en-US,899031,超巡,Large Cruiser,自由鸢尾,Iris Libre,,,布雷斯特,,
FFNF Béarn,베아른,ko-KR,en-US,807011,正航,Aircraft Carrier,自由鸢尾,Iris Libre,,,贝亚恩,,
FFNF Champagne,샹파뉴,ko-KR,en-US,899021,战列,Battleship,自由鸢尾,Iris Libre,,,香槟,,
